"","newDates","snips","items","sources","URL"
"1","Monday, February 11, 2013","KUWAIT - The Public Authority for Agriculture and Fish Resources announced, Sunday, a ban on import of all poultry, eggs, and chicks from Denmark, following international reports indicating the spread of bird flu in the country.","Kuwait Bans Poultry Imports from Denmark","Kuwait News Agency (KUNA)","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=1940"
"2","Monday, February 11, 2013","BHUTAN - The Bhutanese veterinary authorities have reported an outbreak of highly pathogenic avian influenza affecting farms with backyard free ranging local chicken in Chuzargang and Namkhaling villages, and in backyard and improved chicken in Pelrithang village, all located in Sarpang.","Bhutan Reports HPAI in Sarpang","ThePoultrySite News Desk","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=1940"
"3","Friday, February 08, 2013","CAMBODIA - Five people have died from bird flu in Cambodia this year, authorities said Friday, up from three for the whole of 2012.","Bird Flu Deaths Reach Five in Cambodia","The Nation","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=1940"
"4","Thursday, February 07, 2013","PHILIPPINES - The Department of Agriculture (DA) has temporarily suspended the importation of poultry and other poultry products from Germany, because of the occurrence of an outbreak of two separate strings of avian influenza.","Govt Stops German Poultry Imports ","The Manila Times.net","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=1940"
"5","Thursday, February 07, 2013","BANGLADESH - The Bangladeshi veterinary authorities have reported another outbreak of highly pathogenic avian influenza (HPAI) at a commercial poultry farm in Dhaka.","Bangladesh Reports Another HPAI Outbreak","ThePoultrySite News Desk","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=1940"
"6","Thursday, February 07, 2013","US & MEXICO - Current inactivated H7 vaccines were found in USDA ARS studies to be effective against the H7N3 subtype of the highly pathogenic avian influenza (HPAI) virus that caused the outbreaks of bird flu in Mexico in 2012 and a similar low-pathogenic virus of the same subtype. ","Evaluation of Inactivated Avian Influenza H7 Vaccines for Protection of Chickens against an HPAI Virus H7N3 Isolated from Chickens in Jalisco, Mexico, in 2012 ","ThePoultrySite","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=1940"
"7","Tuesday, February 05, 2013","NEPAL - Banke, Bardiya and Dang of Mid-western Tarai region are at high risk of bird flu, sources said.
","Tarai Districts at High Risk of Bird Flu","The Himalayan","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=1940"
"8","Friday, February 01, 2013","AUSTRALIA - Australian researchers are taking part in a global project to help protect people against the deadly bird flu virus.","Australia on Board in Global Bird Flu Fight","Radio Australia","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=1940"
"9","Friday, February 01, 2013","AUSTRALIA - Researchers in Newcastle are doing their bit to help protect the world against a potentially deadly outbreak of the bird flu virus.","Volunteers Wanted for Bird Flu Vaccine Trial","ABC News","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=1940"
"10","Friday, February 01, 2013","CAMBODIA - The Cambodian veterinary authorities have reported an outbreak of highly pathogenic avian influenza at a village in Kong Pisei District.","Cambodia Reports HPAI in Kong Pisei District","ThePoultrySite News Desk","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=1940"
"11","Friday, February 01, 2013","HONG KONG - A spokesman for the Agriculture, Fisheries and Conservation Department (AFCD) said today (1 February) that a black-headed gull found in Tuen Mun last week was confirmed to be H5N1-positive after a series of laboratory tests.","Black-headed Gull Tests Positive for H5N1 Virus","ThePoultrySite News Desk","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=1940"
