"","newDates","snips","items","sources","URL"
"1","Tuesday, October 03, 2006","WASHINGTON - The National Association of Governors is launching a project to help U.S. states prepare for the arrival of bird flu or some other deadly pandemic.","U.S. governors prepare for flu pandemic","UPI","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=5000"
"2","Tuesday, October 03, 2006","MANILA - The Philippine Department of Agriculture's Bureau of Animal Industry (BAI) has warned that the rampant smuggling of poultry products could help spread the deadly avian flu virus.","Philippines Warns Bird Smuggling Could Spread Bird Flu Virus","AHN","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=5000"
"3","Tuesday, October 03, 2006","US - Initial tests on wild ducks in Illinois suggest they have a low-pathogenic strain of avian influenza, not the deadly H5N1 strain, federal officials said late last week. Viruses containing H5 and N1 surface proteins (hemagglutinin and neuraminidase) were found in samples from healthy migratory green-winged teals in Fulton County in west-central Illinois. ","Mild flu virus found in Illinois ducks","CIDRAP","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=5000"
"4","Tuesday, October 03, 2006","JAKARTA - Bayu Krishnamurti's interview (The Jakarta Post, Sept. 26) confirms that Indonesia is the world's weakest link in the battle against bird flu.

The government faces an insurmountable dilemma, which can be summed up as follows: How can we ensure that 220 million people who live on hundreds and hundreds of islands have adequate information about prevention and then implement it? ","Alertness matters","The Jakarta Post","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=5000"
"5","Monday, October 02, 2006","CHINA - An outbreak of bird flu has been identified in North China's Inner Mongolia Autonomous Region, according to the Ministry of Agriculture (MOA).

The national avian influenza laboratory confirmed that the H5N1 virus was found in samples of the dead poultry in Xincheng village, Baotou City. ","New bird flu outbreak reported in Inner Mongolia","China Daily","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=5000"
"6","Monday, October 02, 2006","GENEVA - After 18 months of stalling and repeated calls for cooperation by international health officials, China is expected to deliver a batch of animal virus samples of the lethal avian influenza virus H5N1, senior global health officials say.","Avian-flu samples on the way to CDC","Washington Times","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=5000"
"7","Monday, October 02, 2006","UK - THE autumn migration season will bring a renewed bird flu threat, according to a local expert.
Jeremy Adams from Cambridgeshire Trading Standards has been appointed the lead officer for animal health and welfare at the Trading Standards' Institute - the professional association representing all trading standards professionals.
And although bird flu may have disappeared from the front pages of national newspapers, Mr Adams warned it may rear its ugly head again as the autumn migration season starts.","Bird flu scare to soar again this autumn","RuralBiz","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=5000"
"8","Friday, September 29, 2006","GENEVA - New drugs are needed to treat the H5N1 strain of bird flu, which has killed at least 148 people, because of the possibility that it could mutate and develop resistance to the most effective anti-viral medicines, a WHO scientist said Thursday.","WHO: New Drugs Needed for Bird Flu Virus","Chron.com","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=5000"
"9","Friday, September 29, 2006","JAKARTA - A 20-year-old Indonesian man who health officials thought had been part of a family cluster of bird flu cases died of the disease on Thursday, a hospital official said.","Indonesia man dies of bird flu, cluster case unlikely","Reuters","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=5000"
"10","Friday, September 29, 2006","HA NOI — Viet Nam has vaccinated approximately 54.4 million poultry and the bird flu epidemic in localities is still well under control, according to Ministry of Agriculture and Rural Development’s Animal Health Department.","Bird flu ‘well under control’","VNS","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=5000"
"11","Thursday, September 28, 2006","JAKARTA - An Indonesian man who had been suffering from bird flu for days died early on Thursday, a hospital official said, taking Indonesia's death toll from the disease to 52.","Indonesia's bird flu death toll rises to 52","Reuters","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=5000"
"12","Thursday, September 28, 2006","CAIRO - Another case of avian flu in birds has been confirmed in Egypt. Ministry of Health officials and World Health Organisation (WHO) staff said on Wednesday that a case of H5N1 (avian flu) in birds was detected in a house near Aswan, in Upper Egypt.","EGYPT: New case of bird flu detected in rural area","Reuters","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=5000"
"13","Thursday, September 28, 2006","ZIMBABWE - Zimbabwe is still free from avian influenza but remains on high alert to curb any possible outbreaks, with a multi-sectoral taskforce in place to monitor the situation, a cabinet minister said on Wednesday.","Zimbabwe on high alert to curb bird flu outbreaks","People's Daily Online","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=5000"
"14","Thursday, September 28, 2006","UK - An updated and revised strategy to screen wild birds for the presence of highly pathogenic H5N1 avian influenza has been announced.

DEFRA's targeted surveillance strategy will involve sampling for the disease in areas which have high numbers of migrating waterfowl and larger poultry populations. ","DEFRA revamps bird flu surveillance strategy","FWI.co.uk","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=5000"
"15","Thursday, September 28, 2006","HONG KONG - Hong Kong officials have seized about 6,000 live chickens being smuggled into the territory from mainland China, the government said.

The seizure on Tuesday highlights the challenges Hong Kong faces as it tries to protect against the threat of bird flu spreading from mainland China, where several outbreaks have been reported in the past year.","Hong Kong Officials Seize 6,000 Chickens Smuggled From China","Cattlenetwork.com","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=5000"
"16","Wednesday, September 27, 2006","US - Scientists reported yesterday that an experimental vaccine triggered a good immune response to H9N2 avian influenza virus, a type that has caused a few human infections and is considered capable of evolving into a pandemic strain.","H9N2 flu vaccine looks good in clinical trial","CIDRAP","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=5000"
"17","Wednesday, September 27, 2006","GENEVA - The International Labour Office (ILO) is to host an interagency meeting here which will provide an opportunity to examine critical occupational safety and health, employment and livelihood issues in the context of a recent UN Action Plan with regard to the potential spread of the avian flu virus.","ILO meeting to discuss avian flu and workplace impact","One World South Asia","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=5000"
"18","Wednesday, September 27, 2006","JAKARTA - The Health Ministry of Indonesia confirmed today that a 20-year-old man in Bandung, West Java, has H5N1 avian influenza. The man is currently being treated in Hasan Sadikin Hospital in Bandung. This is the 68th and most recent confirmed human case of avian influenza in Indonesia.","An Indonesian Family Infected by Bird Flu","Indonesia Relief","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=5000"
"19","Tuesday, September 26, 2006","US - The US Department of Agriculture (USDA) said last week it would, under certain conditions, reimburse commercial poultry farms for the cost of stopping low-pathogenic H5 and H7 avian influenza outbreaks.","USDA to help farms cover costs of avian flu","CIDRAP","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=5000"
"20","Tuesday, September 26, 2006","JAKARTA - The government has stepped up its fight against avian influenza with the launch of a mass vaccination campaign earlier this month. The executive chairman of the National Committee for Avian Influenza Control and Pandemic Influenza Preparedness, Bayu Krisnamurthi, recently spoke with The Jakarta Post's Emmy Fitri about measures and plans designed to contain the outbreak of the disease. ","'What we have done so far on bird flu may not be enough'","The Jakarta Post.com","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=5000"
"21","Wednesday, October 11, 2006","CAIRO - Egypt has detected its first human case of the highly pathogenic H5N1 bird flu virus since May in an Egyptian woman who raised ducks from her home, a World Health Organisation official said on Tuesday.","Egypt detects new human H5N1 bird flu case","Reuters","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=4980"
"22","Wednesday, October 11, 2006","NEW ZEALAND - A study of New Zealand chicken farms has given the all clear to the highly pathogenic bird flu. Biosecurity New Zealand has completed its first survey of commercial broiler and layer farms. The study is the first phase of an ongoing surveillance programme to meet international reporting obligations regarding avian influenza.","No bird flu in NZ chicken farms","NewsTalk","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=4980"
"23","Tuesday, October 10, 2006","JAKARTA - The H5N1 bird flu virus has infected pigs on the Indonesian resort island of Bali, a senior agriculture ministry official said on Monday.

""There were two pigs that were infected by bird flu in Bali. These were old cases that happened last July,"" Musni Suatmodjo, agriculture ministry director of animal health, told Reuters.","Bird flu found in pigs in Indonesia's Bali","Reuters","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=4980"
"24","Tuesday, October 10, 2006","CANADA - The Government of Canada and the Canadian Cooperative Wildlife Health Centre are reminding Canadians to report findings of dead wild birds for disease testing."," Public requested to watch wild birds","Starjournal.net","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=4980"
"25","Tuesday, October 10, 2006","BANGKOK - The bird flu virus has already developed signs of resistance to oseltamivir, the drug widely used to treat the disease's symptoms in humans, a research study has found.","Study finds signs virus resistant to oseltamivir","Bangkokpost.com","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=4980"
"26","Monday, October 09, 2006","NIGERIA - The federal government has suspended the payment of compensation to poultry farmers affected by the outbreak of bird flu in the country.","Bird flu: Govt suspends compensation to farmers","The Tide Online","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=4980"
"27","Monday, October 09, 2006","VIETNAM - Vietnam's bid to prevent the reoccurrence of avian influenza has shown progress, as no new outbreaks of bird flu had been reported nationwide since the last December.","No new bird flu outbreaks reported over ten months","Nhan Dan","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=4980"
"28","Monday, October 09, 2006","US - The U.S. Departments of Agriculture and Interior today announced final test results, which confirm that a low pathogenic H5 avian influenza virus was found in samples collected last month from wild Northern pintail ducks in Montana. ","Avian Influenza Tests Complete On Wild Northern Pintail Ducks In Montana","USDA","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=4980"
"29","Friday, October 06, 2006","JAKARTA - The Indonesian government has teamed up with a Singaporean firm to develop an early diagnostic bird flu test kit for humans, the health minister said on Thursday.","Indonesia to help develop rapid bird flu test","Reuters","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=4980"
"30","Friday, October 06, 2006","INDONESIA - The bird flu virus that's killed one person a week in Indonesia this year hasn't mutated to become more contagious to people, the country's agriculture ministry said, citing an analysis of virus samples.","Indonesia's Bird Flu Variant Shows No Major Changes","Bloomberg","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=4980"
"31","Friday, October 06, 2006","MAURITANIA - The government of Mauritania, considered a high-risk country for avian flu, has submitted a national prevention plan against the disease to international peers at a conference in Nouakchott","Mauritania submits bird flu prevention plan at global conference","Today online.com","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=4980"
"32","Friday, October 06, 2006","WASHINGTON - U.S. preparations against a possible outbreak of the deadly form of the H5N1 avian flu virus are solid, but other countries may not be as ready, a U.S. health safety official warned on Thursday.","U.S. bird flu plans near ""state of the art"": official","Reuters","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=4980"
"33","Friday, October 06, 2006","INDONESIA - Indonesia has recorded the 69th avian influenza infection in human being, Director of Animal Disease and Health Control under the Health Ministry Nyoman Kandun said in Jakarta Thursday.","Indonesia confirms 69th bird flu case","People's Daily Online","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=4980"
"34","Thursday, October 05, 2006","DALLAS - Major hunting seasons loom just around the calendar's bend.

When assembling supplies such as ammunition, ice chests and camping gear, include latex gloves in the mix. Stick a few gloves into the pockets of every hunting jacket and wear them while you're cleaning game. If nothing else, the inexpensive gloves make cleanup a snap.","Handling game with care means wearing gloves","Mercury News","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=4980"
"35","Thursday, October 05, 2006","INDONESIA - West Java, the Indonesian province worst-hit by avian influenza, has opted out of a government-backed special commission on public bird-flu education, saying it will instead focus its efforts on improving its existing bird-flu-prevention team.","West Java goes own way","UPI","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=4980"
"36","Thursday, October 05, 2006","BEIJING - China on Thursday confirmed another outbreak of H5N1 avian influenza among poultry in a northern region, its second outbreak reported within the last week.

The national avian influenza laboratory confirmed the presence of the virus after about 1,000 birds died in the Henan New Village, near Yinchuan in the Ningxia region, the official Xinhua news agency said.","New bird flu outbreak in China","Bangkokpost.com","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=4980"
"37","Wednesday, October 04, 2006","NIGERIA - The Nigerian government on Monday was urged to increase its focus on biosecurity as a preventive measure against bird flu to check the spread of the disease in the country.","Nigerian gov't urged to focus on biosecurity against bird flu","People's Daily Online","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=4980"
"38","Wednesday, October 04, 2006","JAKARTA - The deadly avian influenza doesn't faze Setyabudi, who raises chickens and pigeons at his home in Jakarta, Indonesia's capital.

`Why should we be afraid of bird flu?'' says the 39-year- old janitor, who uses a single name, as he caresses a pigeon. ``People die because it is God's will.'","Bird-Flu Festers in Indonesia as Deficit Hinders Disease Fight","Bloomberg","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=4980"
"39","Wednesday, October 04, 2006","VIETNAM - At the Anti-Avian Influenza National Steering Committee meeting, Head of the Veterinary Department Bui Quang Anh said another bird flu outbreak is likely to occur in October, and the prevention work across the country needs to be intensified.","Vietnam to import 6 mln H5N9 vaccine doses","Thanhnien News.com","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=4980"
"40","Tuesday, October 03, 2006","CHINA - An outbreak of bird flu in north China's Inner Mongolia Autonomous Region last week has been put under control and no human infection was reported, according to the regional government.","Bird flu outbreak in N. China under control","China Daily","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=4980"
"41","Friday, October 20, 2006","US - An Auburn University veterinary professor in collaboration with researchers at Vaxin Inc. of Birmingham has developed the first in ovo, or egg-injected, vaccine to protect chickens against avian influenza, a virus threatening human health and global poultry populations.
","AU professor develops first egg-injected poultry vaccination against avian influenza","ThePoultrysite News Desk","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=4960"
"42","Thursday, October 19, 2006","EU - Concerns that bird flu may return to ravage the poultry industry and humans have prompted the EU to invest ?28m in new research to better spot and control outbreaks.

The European Commission will fund 17 research projects covering a range of subjects, including new vaccines for birds, an early warning system, increased understanding of how the virus works and a network for monitoring migratory birds.","EU pledges more bird flu aid","Nutra ingredients.com","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=4960"
"43","Thursday, October 19, 2006","ZAMBIA - Poultry experts in the Southern African Development Community (SADC) region have warned of risks of bird flu being spread through poultry smuggling.","SADC experts warn of bird flu through poultry smuggling","People's Daily Online","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=4960"
"44","Wednesday, October 18, 2006","
KENYA - Kenyan authorities have issued an alert following a recent outbreak of the deadly H5N1 bird flu virus in southern Sudan.

The ministry of health's head of promotive services Nicholas Muraguri said teams of health workers and veterinarians are carrying out tests on people and poultry especially in Turkana and Lokichoggio districts bordering southern Sudan. ","Kenya issues alert as bird flu reported in southern Sudan","People's Daily Online","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=4960"
"45","Wednesday, October 18, 2006","TAIWAN - Taiwan is covering its poultry and pig farms with nets to prevent migratory birds from infecting local flocks and livestock with the deadly H5N1 bird flu virus, an agricultural official said on Tuesday. ","Officials step up efforts in H5N1 prevention","MyeGov","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=4960"
"46","Tuesday, October 17, 2006","FORT COLLINS - Researchers in Colorado State University's College of Veterinary Medicine and Biomedical Sciences recently were awarded $2.6 million from the Centers for Disease Control to study how interactions between humans and birds may lead to more widespread transmission of avian influenza.","CSU wins $2.6 million grant to study spread of avian flu","The Tribune","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=4960"
