"","Specimen.Code","Common.Name","Latin.Name","City","Province","Country","Latitude","Longitude","Matrix.PCR.Result","Matrix.PCR.Result.Date","PCRResultDate","week","weekNum"
"2","CWHC.136185.1","Ring-Billed Gull","Larus delawarensis","Wetaskiwin","Alberta","Canada",52.9695,-113.3772,"Negative ","2017-08-17",2017-08-17,4,2
"3","CWHC.136472.1","Bald Eagle","Haliaeetus leucocephalus","Barrhead","Alberta","Canada",54.1673,-114.5269,"Negative ","2017-09-19",2017-09-19,2,7
"5","CWHC.135779.1","Merlin","Falco columbarius","Saskatoon","Saskatchewan","Canada",52.1473939,-106.5910967,"Negative ","2017-08-31",2017-08-31,4,4
"6","CWHC.136077.1","Blue-Winged Teal","Anas discors","","Saskatchewan","Canada",51.701373,-106.51696,"Negative ","2017-10-11",2017-10-11,3,10
"7","CWHC.136088.1","Blue-Winged Teal","Anas discors","","Saskatchewan","Canada",51.701373,-106.51696,"Negative ","2017-09-07",2017-09-07,4,5
"8","CWHC.136650.1","Mallard","Anas platyrhynchos","Edmonton","Alberta","Canada",53.5444,-113.4909,"Negative ","2017-10-05",2017-10-05,4,9
"9","CWHC.136844.1","Canada Goose","Branta canadensis","Neuville","Québec","Canada",46.69777778,-71.6075,"Negative ","2017-11-02",2017-11-02,4,13
"10","CWHC.135716.2","Pine Siskin","Carduelis pinus","Sainte-Brigitte-de-Laval","Québec","Canada",47.002378,-71.1942119,"Negative ","2017-08-10",2017-08-10,4,1
"11","CWHC.137322.1","Ring-Billed Gull","Larus delawarensis","Longueuil","Québec","Canada",45.54363,-73.4715403,"Negative ","2017-11-28",2017-11-28,2,17
"12","CWHC.136914.1","Common Loon","Gavia immer","Chester Basin","Nova Scotia","Canada",44.6265,-64.30557,"Negative ","2018-01-11",2018-01-11,4,23
"13","CWHC.135695.1","American Kestrel","Falco sparverius","La Motte","Québec","Canada",48.33333333,-78.11666667,"Negative ","2017-08-15",2017-08-15,2,2
"14","CWHC.135784.1","American Crow","Corvus brachyrhynchos","Saskatoon","Saskatchewan","Canada",52.1741547,-106.61317,"Negative ","2017-08-31",2017-08-31,4,4
"15","CWHC.136265.1","Canada Goose","Branta canadensis","Toronto","Ontario","Canada",43.753005,-79.360058,"Negative ","2017-08-31",2017-08-31,4,4
"16","CWHC.136998.4","Long-Tailed Duck","Clangula hyemalis","Toronto","Ontario","Canada",43.662648,-79.3100073,"Negative ","2017-11-14",2017-11-14,2,15
"17","CWHC.136422.1","American Robin","Turdus migratorius","Edmonton","Alberta","Canada",53.5444,-113.4909,"Negative ","2017-09-14",2017-09-14,4,6
"18","CWHC.136468.1","Great Gray Owl","Strix nebulosa","Barrhead","Alberta","Canada",54.1231,-114.4017,"Negative ","2017-09-19",2017-09-19,2,7
"19","CWHC.136188.1","Ring-Billed Gull","Larus delawarensis","Edmonton","Alberta","Canada",53.5444,-113.4909,"Negative ","2017-08-17",2017-08-17,4,2
"21","CWHC.135904.1","Great Black-Backed Gull","Larus marinus","Covehead","Prince Edward Island","Canada",46.42429101,-63.15998213,"Negative ","2017-09-28",2017-09-28,4,8
"23","CWHC.136456.1","American Crow","Corvus brachyrhynchos","Edmonton","Alberta","Canada",53.5444,-113.4909,"Negative ","2017-09-14",2017-09-14,4,6
"24","CWHC.136400.1","Ruffed Grouse","Bonasa umbellus","Miltonvale Park","Prince Edward Island","Canada",46.32377,-63.19235,"Negative ","2017-10-31",2017-10-31,2,13
"25","CWHC.136656.1","Boreal Owl","Aegolius funereus","Cadomin","Alberta","Canada",53.0325,-117.3265,"Negative ","2017-10-05",2017-10-05,4,9
"26","CWHC.136998.1","Long-Tailed Duck","Clangula hyemalis","Toronto","Ontario","Canada",43.662648,-79.3100073,"Negative ","2017-11-14",2017-11-14,2,15
"27","CWHC.136068.1","Blue-Winged Teal","Anas discors","","Saskatchewan","Canada",51.701373,-106.51696,"Negative ","2017-09-07",2017-09-07,4,5
"28","CWHC.135870.1","American Crow","Corvus brachyrhynchos","Saskatoon","Saskatchewan","Canada",52.09619,-106.609097,"Negative ","2017-08-21",2017-08-21,1,3
"29","CWHC.136004.5","Herring Gull","Larus argentatus","Lac-Etchemin","Québec","Canada",46.39555556,-70.50833333,"Suspicious ","2017-08-30",2017-08-30,3,4
"30","CWHC.138429.1","Snowy Owl","Bubo scandiacus","Crediton","Ontario","Canada",43.295894,-81.59826,"Negative ","2018-01-15",2018-01-15,1,24
"31","CWHC.135729.1","Red-Tailed Hawk","Buteo jamaicensis","Saskatoon","Saskatchewan","Canada",52.148613,-106.5905669,"Negative ","2017-08-18",2017-08-18,5,2
