"","Location","X","newDates","snips","items","sources","URL","Date","wellFormed","week","weekNum","lng","lat","adminName1"
"1"," HANOI",1285,"Monday, March 17, 2008"," HANOI - Bird flu has killed a flock of ducks in a central Vietnamese province, raising the number of provinces in which outbreaks of the H5N1 virus have been detected to 13 since the beginning of this year, an official said Monday.","Bird Flu Spreads in Vietnam","TheEarthTimes","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=3720",2008-03-17,TRUE,1,-489,"105.84117","21.0245","Ha Nội"
"2"," Indonesia",375,"Wednesday, February 07, 2007"," Indonesia, which has had more human cases of avian flu than any other country, has stopped sending samples of the virus to the World Health Organization, apparently because it is negotiating a contract to sell the samples to an American vaccine company, a W.H.O. official said yesterday.The strains of the H5N1 virus circulating in Indonesia are considered crucial to developing up-to-date vaccines and following mutations in the virus. The official, Dr. David L. Heymann, said the agency was 'clearly concerned' about the development and was in talks with Indonesia. ","Indonesia May Sell, Not Give, Bird Flu Virus to Scientists","New York Times","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=4640",2007-02-07,TRUE,3,-547,"120","-5",""
"3"," SAVAR",718,"Sunday, May 06, 2007"," SAVAR - Some 8,500 chickens were culled in three poultry farms in the upazila Friday evening following detection of bird flu in a nearby poultry farm.","8,500 chickens culled in Savar following bird flu detection","Financial Express","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=4300",2007-05-06,TRUE,0,-534,"20.88444","41.92528","Bogovinje"
"4"," WASHINGTON",804,"Friday, June 22, 2007"," WASHINGTON - The United States has pledged more than a quarter of all the funds being used to prepare the world for an influenza pandemic, but is still having trouble identifying which countries need the most help, according to a report released on Thursday.","U.S. leads bird flu preparation efforts","Reuters","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=4200",2007-06-22,TRUE,5,-528,"-77.06223","38.85735","Virginia"
"5","ABATTA",142,"Friday, December 08, 2006","ABATTA - Poultry breeders in Cote d'Ivoire have accused the government of inventing two recent cases of bird flu in an attempt to slow down local production and cash in on pricier imported birds ahead of the Christian and Muslim holiday season.","Suspicion and denial over bird flu in the Ivory Coast","Reuters","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=4860",2006-12-08,TRUE,5,-556,"30.48333","19.51667","Northern State"
"6","ABU DHABI",1132,"Thursday, January 03, 2008","ABU DHABI - Cases of humans contracting the deadly bird flu virus have been registered in most continents, especially Asia, but no such cases have reached the UAE so far, authorities have said.","Plan in Place if Bird Flu Carrier Arrives in UAE","KhaleejTimes","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=3880",2008-01-03,TRUE,4,-500,"54.36667","24.46667","Abu Dhabi"
"7","ABU DHABI",1049,"Monday, November 19, 2007","ABU DHABI - A senior official of the United Arab Emirates (UAE) said that the country is ready to deal with any bird flu emergency situation after reports of an outbreak of the disease in neighboring Saudi Arabia, local newspaper Gulf News reported on Monday. ","UAE ready to deal with bird flu emergency","ChinaView","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=3960",2007-11-19,TRUE,1,-506,"54.36667","24.46667","Abu Dhabi"
"8","AFGHANISTAN",468,"Monday, February 26, 2007","AFGHANISTAN - Two outbreaks of bird flu in small flocks in Afghanistan have been identified as the dangerous H5N1 strain, world animal health officials said on Friday.The World Animal Health Organization or OIE said it had confirmed H5N1 in a flock of backyard poultry in Nangarhar province and in turkeys in Kunar province.","Bird flu outbreaks confirmed in Afghanistan flocks","Reuters","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=4540",2007-02-26,TRUE,1,-544,"66","33",""
"9","AFGHANISTAN",463,"Tuesday, February 27, 2007","AFGHANISTAN - Afghan government officials supported by the United Nations World Health Organisation (WHO) have quarantined poultry after two cases of the H5N1 avian virus were detected in eastern Afghanistan, a UN spokesman said on Monday.Samples taken from Jalalabad city, the capital of eastern Nengarhar province, and from the Sauki district of adjoining Kunar province, were confirmed positive on February 24, UN spokesman Adrian Edwards told reporters. ","Afghan Officials Quarantine Poultry After Bird Flu Outbreak","Playfuls.com","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=4540",2007-02-27,TRUE,2,-544,"66","33",""
"10","AFRICA",1701,"Wednesday, August 24, 2016","AFRICA - Despite problems with weather patterns, rising imports and disease outbreaks, prices and supplies of poultry products in leading Southern African markets continue to firm up, while chicken production in West Africa could be affected by shortages of layer pullets in an industry hard hit by outbreaks of bird flu this year. Tawanda Korombo reports.","African Poultry Wrap: Zambian Supplies Firm as West Africa Suffers Bird Flu Woes","ThePoultrySite","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=240",2016-08-24,TRUE,3,-49,"21.09375","7.1881",""
"11","AFRICA",1410,"Tuesday, July 21, 2015","AFRICA - Fears are growing that without timely intervention to stem outbreaks of avian flu across West Africa, further spread across the region and beyond is inevitable, the UN's Food and Agriculture Organisation (FAO) has said.","Fears Grow Over West African Avian Flu Outbreaks","ThePoultrySite News Desk","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=540",2015-07-21,TRUE,2,-106,"21.09375","7.1881",""
"12","AFRICA",2818,"Wednesday, January 11, 2012","AFRICA - The GRIPAVI project is aimed at characterising the circulation of avian influenza viruses and Newcastle disease in both wild birds and domestic poultry. It shows that the African continent is not free from risk and that vigilance should continue. By specifying the virus persistence mechanisms in Africa and identifying risk situations, it proposes avenues for targeting surveillance and control strategies and thereby making them more efficient.","Targeting vigilance: Avian influenza in Africa","Perspective (CIRAD)","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=2200",2012-01-11,TRUE,3,-290,"21.09375","7.1881",""
"13","AFRICA",1716,"Thursday, July 14, 2016","AFRICA - The outbreak in Cameroon has brought the number of Central and West African countries battling highly pathogenic avian influenza up to six, with the UN's Food and Agriculture Organisation calling for heightened surveillance and prevention efforts.","Vigilence Needed in Fight Against H5N1 Bird Flu in Africa","ThePoultrySite","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=240",2016-07-14,TRUE,4,-55,"21.09375","7.1881",""
"14","AFRICA",2121,"Wednesday, June 03, 2009","AFRICA - Three years ago the deadly H5N1 strain of the avian influenza virus landed in Africa, with the first cases reported in poultry farms in Nigeria. From there, it quickly spread across the continent, reducing demand for poultry and related products ? and wrecking poultry industries. Eventually, however, it disappeared and dealers are trying to revive their businesses.  ","African Poultry Dealers Drilled On Cross Border Biosecurity","VOANews.com","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=2880",2009-06-03,TRUE,3,-426,"21.09375","7.1881",""
"15","AFRICA",518,"Wednesday, February 05, 2014","AFRICA - The need has been recognised to update surveillance and contingency measures for influenza A(H7N9) in African countries that have close ties with China, many poultry and a history of H5N1 infections.","African Countries on H7N9 Bird Flu Alert","ThePoultrySite News Desk","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=1440",2014-02-05,TRUE,3,-182,"21.09375","7.1881",""
"16","AFRICA",1039,"Monday, November 05, 2007","AFRICA - Africa has little ability to achieve any of the priorities identified by the WHO to fight avian influenza, warn Folorunso O. Fasina, Shahn P. Bisschop and Robert G. Webster in The Lancet Infectious Diseases.","Africa 'cannot meet WHO bird flu priorities'","SciDev.net","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=3980",2007-11-05,TRUE,1,-508,"21.09375","7.1881",""
"17","AGARTALA",887,"Friday, August 03, 2007","AGARTALA - An alert was today sounded in Tripura following the death of about 300 chickens in a poultry farm as blood samples from birds were sent to a laboratory in Madhya Pradesh to ascertain whether they had died of bird flu. ","300 Chicken Die In Tripura,","ZeeNews","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=4120",2007-08-03,TRUE,5,-522,"91.27939","23.83605","Tripura"
"18","AGARTALA",1398,"Wednesday, April 23, 2008","AGARTALA, INDIA - An Indian state reported new bird flu cases Tuesday, little more than a week after it finished culling thousands of chickens to contain an outbreak of the disease.","Indian State Suffers Second Bird Flu Outbreak","AFP","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=3620",2008-04-23,TRUE,3,-484,"91.27939","23.83605","Tripura"
"19","ALABAMA",157,"Friday, December 01, 2006","ALABAMA - Haroldo Toro, a professor in pathobiology, has discovered a vaccine for avian influenza, or bird flu. The virus is contagious among birds, and can lead to death in some domesticated birds, according to the Center for Disease Control and Prevention.","Auburn University Professor Finds Vaccine For Avian Flu","Auburn Plainsman","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=4860",2006-12-01,TRUE,5,-557,"-86.75026","32.75041","Alabama"
"20","AMMAN",1112,"Monday, December 24, 2007","AMMAN - Jordan is trying to prevent an outbreak of bird flu from crossing over from Saudi Arabia.Jordan has raised its state of alert to its highest level and resumed field inspections of bird farms and poultry stores, KUNA reported Saturday.","Bird Flu Defeated? Novavax Kills H5N1 Virus","UPI","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=3900",2007-12-24,TRUE,1,-501,"35.94503","31.95522","Amman"
"21","AMMAN",219,"Friday, December 29, 2006","AMMAN - The government remains alert to the threat of bird flu in light of the new outbreak of the deadly H5N1 strain of the virus in neighbouring Egypt, according to a Ministry of Health official.On Wednesday, a 26-year-old became the latest casualty of the virus, which has claimed the lives of three Egyptians over the past week.Reda Abdul Halim Farid, from the central Nile Delta region of Zifta, is the tenth person to have died in Egypt from the H5N1 virus.","Jordan still vigilant against bird flu threat","Jordan Times","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=4800",2006-12-29,TRUE,5,-553,"35.94503","31.95522","Amman"
"22","AMSTERDAM",322,"Monday, February 05, 2007","AMSTERDAM - The Ministry of Agriculture ordered poultry farmers throughout the Netherlands to bring all livestock indoors over the weekend. This measure was taken in response to an outbreak of bird flu at a turkey farm in Suffolk, England. The virus H5N1, which is harmful to humans, was found on the farm. Two weeks ago it was found in Hungary as well. ","Dutch Ministry orders poultry indoors","ThePoultrySite","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=4680",2007-02-05,TRUE,1,-547,"4.88969","52.37403","North Holland"
"23","AMSTERDAM",517,"Tuesday, March 06, 2007","AMSTERDAM - The Dutch Agriculture Ministry on Monday ordered commercial poultry to be kept indoors from March 7 to prevent a possible bird flu spread during the migration season this spring.Veterinary experts believe that migratory birds represent a serious risk in the spread of the deadly H5N1 avian flu virus, the ministry said in a statement.","Dutch order poultry indoors to prevent bird flu","Reuters","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=4500",2007-03-06,TRUE,2,-543,"4.88969","52.37403","North Holland"
"24","AMSTERDAM",439,"Thursday, February 15, 2007","AMSTERDAM - The Netherlands is lifting an order to keep poultry indoors that was imposed to prevent a possible spread of avian flu after the deadly H5N1 strain was found in Britain earlier this month.","Chickens allowed outside after bird flu scare","IOL","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=4580",2007-02-15,TRUE,4,-546,"4.88969","52.37403","North Holland"
"25","AMSTERDAM",135,"Wednesday, November 22, 2006","AMSTERDAM - The Dutch Agriculture Ministry on Tuesday lifted an order on keeping poultry indoors, introduced to protect flocks from the threat of avian flu from migrating birds, as fears of a possible outbreak receded.","Dutch let poultry outdoors as bird flu fears ease.","Reuters","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=4880",2006-11-22,TRUE,3,-558,"4.88969","52.37403","North Holland"
