"Station Name","L'ASSOMPTION"
"Province","QUEBEC"
"Latitude","45.81"
"Longitude","-73.43"
"Elevation","21.00"
"Climate Identifier","7014160"
"WMO Identifier","71524"
"TC Identifier","WEW"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1974-01-01","1974","01","01","","-5.6","","-11.1","","-8.4","","26.4","","0.0","","0.0","","0.5","","0.5","","36","","","","",""
"1974-01-02","1974","01","02","","-12.8","","-22.8","","-17.8","","35.8","","0.0","","0.0","","0.0","","0.0","","36","","","","",""
"1974-01-03","1974","01","03","","-8.3","","-20.0","","-14.2","","32.2","","0.0","","0.0","","0.0","T","0.0","T","36","","","","",""
"1974-01-04","1974","01","04","","-6.7","","-12.8","","-9.8","","27.8","","0.0","","0.0","","0.5","","0.5","","36","","","","",""
"1974-01-05","1974","01","05","","-5.0","","-23.9","","-14.5","","32.5","","0.0","","0.0","","0.0","T","0.0","T","36","","","","",""
"1974-01-06","1974","01","06","","-6.1","","-12.8","","-9.5","","27.5","","0.0","","0.0","","1.5","","1.5","","36","","","","",""
"1974-01-07","1974","01","07","","-4.4","","-13.9","","-9.2","","27.2","","0.0","","0.0","","0.0","T","0.0","T","38","","","","",""
"1974-01-08","1974","01","08","","-16.1","","-20.6","","-18.4","","36.4","","0.0","","0.0","","0.3","","0.3","","38","","","","",""
"1974-01-09","1974","01","09","","-18.3","","-27.2","","-22.8","","40.8","","0.0","","0.0","","0.5","","0.5","","38","","","","",""
"1974-01-10","1974","01","10","","-11.7","","-27.8","","-19.8","","37.8","","0.0","","0.0","","1.5","","1.5","","38","","","","",""
"1974-01-11","1974","01","11","","-10.0","","-17.8","","-13.9","","31.9","","0.0","","0.0","","5.3","","5.3","","38","","","","",""
"1974-01-12","1974","01","12","","-10.0","","-25.0","","-17.5","","35.5","","0.0","","0.0","","0.0","","0.0","","41","","","","",""
"1974-01-13","1974","01","13","","-15.0","","-30.6","","-22.8","","40.8","","0.0","","0.0","","0.0","","0.0","","41","","","","",""
"1974-01-14","1974","01","14","","1.7","","-30.0","","-14.2","","32.2","","0.0","","0.0","","0.0","","0.0","","41","","","","",""
"1974-01-15","1974","01","15","","-9.4","","-13.3","","-11.4","","29.4","","0.0","","0.0","","5.6","","5.6","","41","","","","",""
"1974-01-16","1974","01","16","","-18.3","","-21.1","","-19.7","","37.7","","0.0","","0.0","","0.5","","0.5","","41","","","","",""
"1974-01-17","1974","01","17","","-20.0","","-31.7","","-25.9","","43.9","","0.0","","0.0","","0.0","","0.0","","41","","","","",""
"1974-01-18","1974","01","18","","-13.9","","-35.6","","-24.8","","42.8","","0.0","","0.0","","3.6","","3.6","","41","","","","",""
"1974-01-19","1974","01","19","","-11.7","","-21.1","","-16.4","","34.4","","0.0","","0.0","","0.0","","0.0","","46","","","","",""
"1974-01-20","1974","01","20","","-7.2","","-27.2","","-17.2","","35.2","","0.0","","1.0","","0.3","","1.3","","46","","","","",""
"1974-01-21","1974","01","21","","2.8","","-14.4","","-5.8","","23.8","","0.0","","25.7","","0.0","","25.7","","46","","","","",""
"1974-01-22","1974","01","22","","1.1","","0.6","","0.9","","17.1","","0.0","","0.0","","4.6","","4.6","","36","","","","",""
"1974-01-23","1974","01","23","","-3.3","","-8.9","","-6.1","","24.1","","0.0","","0.0","","0.0","","0.0","","38","","","","",""
"1974-01-24","1974","01","24","","-0.6","","-12.8","","-6.7","","24.7","","0.0","","0.0","","0.0","","0.0","","38","","","","",""
"1974-01-25","1974","01","25","","-1.1","","-8.3","","-4.7","","22.7","","0.0","","0.0","","3.0","","3.0","","38","","","","",""
"1974-01-26","1974","01","26","","3.9","","-7.2","","-1.7","","19.7","","0.0","","17.3","","0.0","","17.3","","41","","","","",""
"1974-01-27","1974","01","27","","6.1","","-8.9","","-1.4","","19.4","","0.0","","7.1","","0.0","","7.1","","38","","","","",""
"1974-01-28","1974","01","28","","4.4","","1.1","","2.8","","15.2","","0.0","","0.0","","2.3","","2.3","","33","","","","",""
"1974-01-29","1974","01","29","","2.8","","-2.2","","0.3","","17.7","","0.0","","0.0","","0.5","","0.5","","33","","","","",""
"1974-01-30","1974","01","30","","2.8","","0.0","","1.4","","16.6","","0.0","","2.0","","0.0","","2.0","","30","","","","",""
"1974-01-31","1974","01","31","","5.6","","-2.8","","1.4","","16.6","","0.0","","0.0","","0.0","","0.0","","30","","","","",""
"1974-02-01","1974","02","01","","-13.9","","-18.3","","-16.1","","34.1","","0.0","","0.0","","0.0","","0.0","","30","","","","",""
"1974-02-02","1974","02","02","","-17.8","","-25.6","","-21.7","","39.7","","0.0","","0.0","","0.0","","0.0","","30","","","","",""
"1974-02-03","1974","02","03","","-16.7","","-23.9","","-20.3","","38.3","","0.0","","0.0","","0.0","","0.0","","30","","","","",""
"1974-02-04","1974","02","04","","-15.6","","-23.9","","-19.8","","37.8","","0.0","","0.0","","0.0","","0.0","","30","","","","",""
"1974-02-05","1974","02","05","","-12.2","","-20.0","","-16.1","","34.1","","0.0","","0.0","","0.0","","0.0","","30","","","","",""
"1974-02-06","1974","02","06","","-9.4","","-20.6","","-15.0","","33.0","","0.0","","0.0","","0.0","","0.0","","30","","","","",""
"1974-02-07","1974","02","07","","-6.7","","-15.0","","-10.9","","28.9","","0.0","","0.0","","0.0","","0.0","","30","","","","",""
"1974-02-08","1974","02","08","","-8.9","","-22.2","","-15.6","","33.6","","0.0","","0.0","","0.0","","0.0","","30","","","","",""
"1974-02-09","1974","02","09","","-7.8","","-20.6","","-14.2","","32.2","","0.0","","0.0","","0.0","","0.0","","30","","","","",""
"1974-02-10","1974","02","10","","-7.8","","-22.8","","-15.3","","33.3","","0.0","","0.0","","0.8","","0.8","","30","","","","",""
"1974-02-11","1974","02","11","","-7.2","","-11.7","","-9.5","","27.5","","0.0","","0.0","","2.0","","2.0","","25","","","","",""
"1974-02-12","1974","02","12","","-1.7","","-16.7","","-9.2","","27.2","","0.0","","0.0","","0.5","","0.5","","28","","","","",""
"1974-02-13","1974","02","13","","1.7","","-8.9","","-3.6","","21.6","","0.0","","0.0","","0.0","T","0.0","T","28","","","","",""
"1974-02-14","1974","02","14","","-16.1","","-23.3","","-19.7","","37.7","","0.0","","0.0","","0.0","","0.0","","28","","","","",""
"1974-02-15","1974","02","15","","-11.1","","-23.9","","-17.5","","35.5","","0.0","","0.0","","0.0","","0.0","","30","","","","",""
"1974-02-16","1974","02","16","","-7.2","","-22.2","","-14.7","","32.7","","0.0","","0.0","","0.8","","0.8","","30","","","","",""
"1974-02-17","1974","02","17","","-1.7","","-12.8","","-7.3","","25.3","","0.0","","0.0","","0.0","T","0.0","T","30","","","","",""
"1974-02-18","1974","02","18","","-1.1","","-16.1","","-8.6","","26.6","","0.0","","0.0","","0.5","","0.5","","30","","","","",""
"1974-02-19","1974","02","19","","0.0","","-15.0","","-7.5","","25.5","","0.0","","0.0","","12.4","","12.4","","30","","","","",""
"1974-02-20","1974","02","20","","2.2","","-3.9","","-0.9","","18.9","","0.0","","0.0","","0.0","","0.0","","38","","","","",""
"1974-02-21","1974","02","21","","0.0","","-15.0","","-7.5","","25.5","","0.0","","0.0","","2.5","","2.5","","38","","","","",""
"1974-02-22","1974","02","22","","2.2","","-8.3","","-3.1","","21.1","","0.0","","14.0","","7.1","","21.1","","41","","","","",""
"1974-02-23","1974","02","23","","-3.3","","-15.0","","-9.2","","27.2","","0.0","","0.0","","1.0","","1.0","","38","","","","",""
"1974-02-24","1974","02","24","","-8.9","","-17.2","","-13.1","","31.1","","0.0","","0.0","","0.0","","0.0","","38","","","","",""
"1974-02-25","1974","02","25","","-6.1","","-21.7","","-13.9","","31.9","","0.0","","0.0","","0.0","","0.0","","38","","","","",""
"1974-02-26","1974","02","26","","-3.3","","-18.9","","-11.1","","29.1","","0.0","","0.0","","0.0","","0.0","","38","","","","",""
"1974-02-27","1974","02","27","","0.6","","-21.1","","-10.3","","28.3","","0.0","","0.0","","0.0","","0.0","","38","","","","",""
"1974-02-28","1974","02","28","","3.3","","-2.2","","0.6","","17.4","","0.0","","2.3","","0.0","","2.3","","38","","","","",""
"1974-03-01","1974","03","01","","3.3","","0.6","","2.0","","16.0","","0.0","","0.0","","0.0","","0.0","","36","","","","",""
"1974-03-02","1974","03","02","","-6.7","","-10.6","","-8.7","","26.7","","0.0","","0.0","","3.0","","3.0","","33","","","","",""
"1974-03-03","1974","03","03","","6.1","","-10.0","","-2.0","","20.0","","0.0","","0.3","","0.0","","0.3","","36","","","","",""
"1974-03-04","1974","03","04","","6.7","","-6.1","","0.3","","17.7","","0.0","","34.0","","0.0","","34.0","","30","","","","",""
"1974-03-05","1974","03","05","","4.4","","0.6","","2.5","","15.5","","0.0","","0.5","","0.0","","0.5","","23","","","","",""
"1974-03-06","1974","03","06","","7.2","","-1.7","","2.8","","15.2","","0.0","","0.0","","0.0","","0.0","","23","","","","",""
"1974-03-07","1974","03","07","","10.0","","2.2","","6.1","","11.9","","0.0","","0.0","","0.0","","0.0","","18","","","","",""
"1974-03-08","1974","03","08","","-1.7","","-8.9","","-5.3","","23.3","","0.0","","0.0","","0.0","","0.0","","13","","","","",""
"1974-03-09","1974","03","09","","-3.3","","-9.4","","-6.4","","24.4","","0.0","","0.0","","0.8","","0.8","","13","","","","",""
"1974-03-10","1974","03","10","","-2.2","","-6.1","","-4.2","","22.2","","0.0","","0.0","","0.0","","0.0","","13","","","","",""
"1974-03-11","1974","03","11","","-1.1","","-12.2","","-6.7","","24.7","","0.0","","0.0","","0.0","","0.0","","13","","","","",""
"1974-03-12","1974","03","12","","-5.0","","-15.6","","-10.3","","28.3","","0.0","","0.0","","0.0","","0.0","","13","","","","",""
"1974-03-13","1974","03","13","","-2.2","","-15.6","","-8.9","","26.9","","0.0","","0.0","","0.0","","0.0","","10","","","","",""
"1974-03-14","1974","03","14","","1.1","","-10.6","","-4.8","","22.8","","0.0","","0.0","","0.0","","0.0","","10","","","","",""
"1974-03-15","1974","03","15","","1.1","","-11.1","","-5.0","","23.0","","0.0","","0.0","","0.0","","0.0","","10","","","","",""
"1974-03-16","1974","03","16","","1.1","","-7.2","","-3.1","","21.1","","0.0","","0.0","","11.7","","11.7","","8","","","","",""
"1974-03-17","1974","03","17","","0.6","","-4.4","","-1.9","","19.9","","0.0","","0.0","","17.5","","17.5","","15","","","","",""
"1974-03-18","1974","03","18","","0.6","","-6.7","","-3.1","","21.1","","0.0","","0.0","","0.8","","0.8","","33","","","","",""
"1974-03-19","1974","03","19","","2.2","","-7.2","","-2.5","","20.5","","0.0","","0.0","","0.5","","0.5","","33","","","","",""
"1974-03-20","1974","03","20","","-7.2","","-17.8","","-12.5","","30.5","","0.0","","0.0","","0.3","","0.3","","25","","","","",""
"1974-03-21","1974","03","21","","-6.1","","-12.8","","-9.5","","27.5","","0.0","","0.0","","13.2","","13.2","","25","","","","",""
"1974-03-22","1974","03","22","","0.6","","-15.6","","-7.5","","25.5","","0.0","","0.0","","0.0","","0.0","","36","","","","",""
"1974-03-23","1974","03","23","","5.6","","-11.7","","-3.1","","21.1","","0.0","","0.8","","4.3","","5.1","","36","","","","",""
"1974-03-24","1974","03","24","","-1.7","","-6.1","","-3.9","","21.9","","0.0","","0.0","","0.0","T","0.0","T","36","","","","",""
"1974-03-25","1974","03","25","","-8.9","","-15.6","","-12.3","","30.3","","0.0","","0.0","","0.3","","0.3","","30","","","","",""
"1974-03-26","1974","03","26","","-1.1","","-15.6","","-8.4","","26.4","","0.0","","0.0","","5.8","","5.8","","30","","","","",""
"1974-03-27","1974","03","27","","-2.8","","-17.8","","-10.3","","28.3","","0.0","","0.0","","0.0","","0.0","","36","","","","",""
"1974-03-28","1974","03","28","","-8.9","","-16.7","","-12.8","","30.8","","0.0","","0.0","","0.0","","0.0","","33","","","","",""
"1974-03-29","1974","03","29","","-5.0","","-26.1","","-15.6","","33.6","","0.0","","0.0","","0.5","","0.5","","33","","","","",""
"1974-03-30","1974","03","30","","0.0","","-12.2","","-6.1","","24.1","","0.0","","4.6","","1.5","","6.1","","33","","","","",""
"1974-03-31","1974","03","31","","3.3","","-7.8","","-2.3","","20.3","","0.0","","1.5","","0.0","","1.5","","33","","","","",""
"1974-04-01","1974","04","01","","4.4","","0.0","","2.2","","15.8","","0.0","","0.8","","0.0","","0.8","","30","","","","",""
"1974-04-02","1974","04","02","","3.9","","-6.7","","-1.4","","19.4","","0.0","","5.1","","0.0","","5.1","","30","","","","",""
"1974-04-03","1974","04","03","","9.4","","0.0","","4.7","","13.3","","0.0","","8.4","","0.0","","8.4","","25","","","","",""
"1974-04-04","1974","04","04","","6.1","","1.7","","3.9","","14.1","","0.0","","5.8","","0.0","","5.8","","18","","","","",""
"1974-04-05","1974","04","05","","5.6","","1.1","","3.4","","14.6","","0.0","","0.5","","0.0","T","0.5","","13","","","","",""
"1974-04-06","1974","04","06","","3.3","","-1.1","","1.1","","16.9","","0.0","","0.0","","0.0","T","0.0","T","13","","","","",""
"1974-04-07","1974","04","07","","2.2","","-6.7","","-2.3","","20.3","","0.0","","3.0","","2.0","","5.1","","13","","","","",""
