"Station Name","L'ASSOMPTION"
"Province","QUEBEC"
"Latitude","45.81"
"Longitude","-73.43"
"Elevation","21.00"
"Climate Identifier","7014160"
"WMO Identifier","71524"
"TC Identifier","WEW"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2017-01-01","2017","01","01","†","-2.2","","-12.3","","-7.3","","25.3","","0.0","","","M","","M","1.5","","20","","28","","35",""
"2017-01-02","2017","01","02","†","0.0","","-15.4","","-7.7","","25.7","","0.0","","","M","","M","0.0","","19","","","","<31",""
"2017-01-03","2017","01","03","†","-0.6","","-7.6","","-4.1","","22.1","","0.0","","","M","","M","8.0","","17","","","","<31",""
"2017-01-04","2017","01","04","†","0.9","","-6.1","","-2.6","","20.6","","0.0","","","M","","M","8.0","","23","","","","<31",""
"2017-01-05","2017","01","05","†","-6.0","","-12.0","","-9.0","","27.0","","0.0","","","M","","M","0.0","","21","","25","","39",""
"2017-01-06","2017","01","06","†","-8.1","","-22.1","","-15.1","","33.1","","0.0","","","M","","M","0.0","","20","","","","<31",""
"2017-01-07","2017","01","07","†","-11.9","","-25.6","","-18.8","","36.8","","0.0","","","M","","M","0.0","","20","","","","<31",""
"2017-01-08","2017","01","08","†","-12.5","","-27.1","","-19.8","","37.8","","0.0","","","M","","M","0.0","","20","","","","<31",""
"2017-01-09","2017","01","09","†","-10.4","","-26.5","","-18.5","","36.5","","0.0","","","M","","M","0.0","","20","","","","<31",""
"2017-01-10","2017","01","10","†","2.1","","-16.5","","-7.2","","25.2","","0.0","","","M","","M","10.3","","20","","19","","59",""
"2017-01-11","2017","01","11","†","5.3","","1.5","","3.4","","14.6","","0.0","","","M","","M","4.0","","18","","21","","69",""
"2017-01-12","2017","01","12","†","5.4","","-0.5","","2.5","","15.5","","0.0","","","M","","M","5.7","","9","","25","","43",""
"2017-01-13","2017","01","13","†","-0.1","","-18.4","","-9.3","","27.3","","0.0","","","M","","M","0.0","","7","","31","","48",""
"2017-01-14","2017","01","14","†","-11.3","","-23.6","","-17.5","","35.5","","0.0","","","M","","M","0.0","","7","","","","<31",""
"2017-01-15","2017","01","15","†","-7.7","","-16.8","","-12.3","","30.3","","0.0","","","M","","M","0.0","","6","","","","<31",""
"2017-01-16","2017","01","16","†","2.1","","-15.0","","-6.5","","24.5","","0.0","","","M","","M","1.0","","6","","22","","56",""
"2017-01-17","2017","01","17","†","-0.9","","-7.3","","-4.1","","22.1","","0.0","","","M","","M","0.0","","6","","","","<31",""
"2017-01-18","2017","01","18","†","-3.5","","-7.2","","-5.4","","23.4","","0.0","","","M","","M","7.0","","12","","","","<31",""
"2017-01-19","2017","01","19","†","2.1","","-3.5","","-0.7","","18.7","","0.0","","","M","","M","1.0","","9","","","","<31",""
"2017-01-20","2017","01","20","†","1.9","","-0.7","","0.6","","17.4","","0.0","","","M","","M","0.0","","11","","","","<31",""
"2017-01-21","2017","01","21","†","2.1","","-0.6","","0.8","","17.2","","0.0","","","M","","M","0.0","","10","","","","<31",""
