"Station Name","L'ASSOMPTION"
"Province","QUEBEC"
"Latitude","45.81"
"Longitude","-73.43"
"Elevation","21.00"
"Climate Identifier","7014160"
"WMO Identifier","71524"
"TC Identifier","WEW"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1989-01-01","1989","01","01","","-12.0","","-27.5","","-19.8","","37.8","","0.0","","0.0","","4.0","","4.0","","10","","","","",""
"1989-01-02","1989","01","02","","-7.5","","-17.0","","-12.3","","30.3","","0.0","","0.0","","5.0","","5.0","","13","","","","",""
"1989-01-03","1989","01","03","","-12.0","","-17.5","","-14.8","","32.8","","0.0","","0.0","","0.0","","0.0","","18","","","","",""
"1989-01-04","1989","01","04","","-18.5","","-32.0","","-25.3","","43.3","","0.0","","0.0","","0.0","","0.0","","18","","","","",""
"1989-01-05","1989","01","05","","-16.0","","-26.5","","-21.3","","39.3","","0.0","","0.0","","0.0","","0.0","","18","","","","",""
"1989-01-06","1989","01","06","","-13.5","","-31.5","","-22.5","","40.5","","0.0","","0.0","","0.0","","0.0","","18","","","","",""
"1989-01-07","1989","01","07","","4.0","","-20.5","","-8.3","","26.3","","0.0","","2.4","","0.0","","2.4","","18","","","","",""
"1989-01-08","1989","01","08","","7.5","","-8.5","","-0.5","","18.5","","0.0","","6.2","","0.0","T","6.2","","15","","","","",""
"1989-01-09","1989","01","09","","-6.0","","-8.0","","-7.0","","25.0","","0.0","","0.0","","0.0","T","0.0","T","4","","","","",""
"1989-01-10","1989","01","10","","-0.5","","-18.0","","-9.3","","27.3","","0.0","","0.0","","0.0","","0.0","","4","","","","",""
