"Station Name","L'ASSOMPTION"
"Province","QUEBEC"
"Latitude","45.81"
"Longitude","-73.43"
"Elevation","21.00"
"Climate Identifier","7014160"
"WMO Identifier","71524"
"TC Identifier","WEW"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2001-01-01","2001","01","01","†","-6.0","","-11.1","","-8.6","","26.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"2001-01-02","2001","01","02","†","-9.7","","-15.3","","-12.5","","30.5","","0.0","","","M","","M","0.0","","","","23","","37",""
"2001-01-03","2001","01","03","†","-3.4","","-14.0","","-8.7","","26.7","","0.0","","","M","","M","1.0","","","","20","","33",""
"2001-01-04","2001","01","04","†","-4.2","","-21.0","","-12.6","","30.6","","0.0","","","M","","M","0.0","","","","21","","32",""
"2001-01-05","2001","01","05","†","-7.7","","-24.1","","-15.9","","33.9","","0.0","","","M","","M","2.0","","","","","","<31",""
"2001-01-06","2001","01","06","†","-4.1","","-8.2","","-6.2","","24.2","","0.0","","","M","","M","1.0","","","","","","<31",""
"2001-01-07","2001","01","07","†","-3.4","","-12.5","","-8.0","","26.0","","0.0","","","M","","M","2.0","","","","","","<31",""
"2001-01-08","2001","01","08","†","-5.4","","-7.2","","-6.3","","24.3","","0.0","","","M","","M","3.0","","","","","","<31",""
"2001-01-09","2001","01","09","†","-6.4","","-19.2","","-12.8","","30.8","","0.0","","","M","","M","0.0","","","","24","","33",""
"2001-01-10","2001","01","10","†","-11.8","","-22.7","","-17.3","","35.3","","0.0","","","M","","M","2.0","","","","","","<31",""
"2001-01-11","2001","01","11","†","-2.4","","-12.9","","-7.7","","25.7","","0.0","","","M","","M","0.0","","","","31","","48",""
"2001-01-12","2001","01","12","†","-7.4","","-22.0","","-14.7","","32.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"2001-01-13","2001","01","13","†","-4.1","","-23.1","","-13.6","","31.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"2001-01-14","2001","01","14","†","0.8","","-14.0","","-6.6","","24.6","","0.0","","","M","","M","1.0","","","","","","<31",""
"2001-01-15","2001","01","15","†","-7.5","","-12.4","","-10.0","","28.0","","0.0","","","M","","M","5.0","","","","1","","33",""
"2001-01-16","2001","01","16","†","-2.4","","-8.4","","-5.4","","23.4","","0.0","","","M","","M","3.0","","","","","","<31",""
"2001-01-17","2001","01","17","†","-6.9","","-22.5","","-14.7","","32.7","","0.0","","","M","","M","","M","","","","","<31",""
"2001-01-18","2001","01","18","†","-10.2","","-25.0","","-17.6","","35.6","","0.0","","","M","","M","","M","","","","","<31",""
"2001-01-19","2001","01","19","†","-1.2","","-20.6","","-10.9","","28.9","","0.0","","","M","","M","1.0","","","","34","","35",""
"2001-01-20","2001","01","20","†","-11.6","","-27.5","","-19.6","","37.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"2001-01-21","2001","01","21","†","-11.1","","-28.9","","-20.0","","38.0","","0.0","","","M","","M","","M","","","","","<31",""
"2001-01-22","2001","01","22","†","-9.7","","-25.4","","-17.6","","35.6","","0.0","","","M","","M","","M","","","","","<31",""
"2001-01-23","2001","01","23","†","-0.6","","-18.9","E","-9.8","E","27.8","E","0.0","E","","M","","M","","M","","","","","<31",""
"2001-01-24","2001","01","24","†","2.5","","-5.4","","-1.5","","19.5","","0.0","","","M","","M","","M","","","","","<31",""
"2001-01-25","2001","01","25","†","-3.1","","-15.5","","-9.3","","27.3","","0.0","","","M","","M","0.0","","","","35","","32",""
"2001-01-26","2001","01","26","†","-3.2","","-15.8","","-9.5","","27.5","","0.0","","","M","","M","0.0","","","","24","","32",""
"2001-01-27","2001","01","27","†","-2.4","","-10.1","","-6.3","","24.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"2001-01-28","2001","01","28","†","-5.3","","-21.8","","-13.6","","31.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"2001-01-29","2001","01","29","†","-3.4","","-24.1","","-13.8","","31.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"2001-01-30","2001","01","30","†","-2.9","","-12.8","","-7.9","","25.9","","0.0","","","M","","M","15.0","","","","2","","48",""
"2001-01-31","2001","01","31","†","-3.5","","-9.5","","-6.5","","24.5","","0.0","","","M","","M","4.0","","","","2","","39",""
"2001-02-01","2001","02","01","†","-5.7","","-15.4","","-10.6","","28.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"2001-02-02","2001","02","02","†","-3.1","","-15.5","","-9.3","","27.3","","0.0","","","M","","M","6.0","","","","25","","46",""
"2001-02-03","2001","02","03","†","-6.0","","-22.1","","-14.1","","32.1","","0.0","","","M","","M","0.0","","","","24","","39",""
"2001-02-04","2001","02","04","†","-11.4","","-25.2","","-18.3","","36.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"2001-02-05","2001","02","05","†","-4.6","","-11.8","","-8.2","","26.2","","0.0","","","M","","M","9.0","","","","","","<31",""
"2001-02-06","2001","02","06","†","0.3","","-4.8","","-2.3","","20.3","","0.0","","","M","","M","2.0","","","","","","<31",""
"2001-02-07","2001","02","07","†","-0.5","","-13.6","","-7.1","","25.1","","0.0","","","M","","M","0.0","","","","27","","33",""
"2001-02-08","2001","02","08","†","-5.0","","-18.3","","-11.7","","29.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"2001-02-09","2001","02","09","†","2.4","","-15.3","","-6.5","","24.5","","0.0","","","M","","M","9.1","","","","","","<31",""
"2001-02-10","2001","02","10","†","7.9","","-16.5","","-4.3","","22.3","","0.0","","","M","","M","17.9","","","","22","","91",""
"2001-02-11","2001","02","11","†","-11.1","","-20.7","","-15.9","","33.9","","0.0","","","M","","M","0.0","","","","27","","43",""
"2001-02-12","2001","02","12","†","-11.3","","-26.6","","-19.0","","37.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"2001-02-13","2001","02","13","†","-3.2","","-14.3","","-8.8","","26.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"2001-02-14","2001","02","14","†","-5.5","","-12.0","","-8.8","","26.8","","0.0","","","M","","M","5.0","","","","","","<31",""
"2001-02-15","2001","02","15","†","0.0","","-19.2","","-9.6","","27.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"2001-02-16","2001","02","16","†","-7.2","E","","M","","M","","M","","M","","M","","M","0.0","","","","","","<31",""
"2001-02-17","2001","02","17","†","-5.2","","-19.7","","-12.5","","30.5","","0.0","","","M","","M","3.0","","","","34","","43",""
"2001-02-18","2001","02","18","†","-5.8","","-21.9","","-13.9","","31.9","","0.0","","","M","","M","0.0","","","","26","","46",""
"2001-02-19","2001","02","19","†","-0.4","","-10.9","","-5.7","","23.7","","0.0","","","M","","M","7.0","","","","22","","43",""
"2001-02-20","2001","02","20","†","2.5","","-1.0","","0.8","","17.2","","0.0","","","M","","M","1.0","","","","25","","48",""
"2001-02-21","2001","02","21","†","0.2","","-21.9","","-10.9","","28.9","","0.0","","","M","","M","0.0","","","","30","","46",""
"2001-02-22","2001","02","22","†","-14.5","","-27.8","","-21.2","","39.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"2001-02-23","2001","02","23","†","-5.1","","-17.9","","-11.5","","29.5","","0.0","","","M","","M","4.0","","","","","","<31",""
"2001-02-24","2001","02","24","†","-9.9","","-20.3","","-15.1","","33.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"2001-02-25","2001","02","25","†","4.7","","-15.4","","-5.4","","23.4","","0.0","","","M","","M","26.0","","","","15","","50",""
"2001-02-26","2001","02","26","†","4.7","","-12.1","","-3.7","","21.7","","0.0","","","M","","M","0.0","","","","21","","50",""
"2001-02-27","2001","02","27","†","-0.1","","-16.6","","-8.4","","26.4","","0.0","","","M","","M","0.0","","","","28","","37",""
"2001-02-28","2001","02","28","†","-7.4","","-21.7","","-14.6","","32.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"2001-03-01","2001","03","01","†","-9.8","","-23.6","","-16.7","","34.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"2001-03-02","2001","03","02","†","-10.5","","-21.1","","-15.8","","33.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"2001-03-03","2001","03","03","†","-8.9","","-24.5","","-16.7","","34.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"2001-03-04","2001","03","04","†","-4.2","","-21.6","","-12.9","","30.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"2001-03-05","2001","03","05","†","-0.6","","-11.7","","-6.2","","24.2","","0.0","","","M","","M","6.1","","","","4","","43",""
"2001-03-06","2001","03","06","†","2.8","","-5.7","","-1.5","","19.5","","0.0","","","M","","M","0.0","","","","6","","57",""
"2001-03-07","2001","03","07","†","1.3","","-10.4","","-4.6","","22.6","","0.0","","","M","","M","0.0","","","","3","","33",""
"2001-03-08","2001","03","08","†","1.8","","-14.1","","-6.2","","24.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"2001-03-09","2001","03","09","†","1.5","","-2.8","","-0.7","","18.7","","0.0","","","M","","M","1.1","","","","","","<31",""
"2001-03-10","2001","03","10","†","5.5","","-4.7","","0.4","","17.6","","0.0","","","M","","M","0.0","","","","23","","33",""
"2001-03-11","2001","03","11","†","1.7","","-11.5","","-4.9","","22.9","","0.0","","","M","","M","2.0","","","","32","","50",""
"2001-03-12","2001","03","12","†","-5.2","","-17.3","","-11.3","","29.3","","0.0","","","M","","M","","M","","","","","<31",""
"2001-03-13","2001","03","13","†","-0.8","","-7.7","","-4.3","","22.3","","0.0","","","M","","M","12.0","","","","","","<31",""
"2001-03-14","2001","03","14","†","2.3","","-3.8","","-0.8","","18.8","","0.0","","","M","","M","3.0","","","","25","","56",""
"2001-03-15","2001","03","15","†","4.1","","-6.4","","-1.2","","19.2","","0.0","","","M","","M","0.0","","","","29","","39",""
"2001-03-16","2001","03","16","†","1.1","","-11.8","","-5.4","","23.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"2001-03-17","2001","03","17","†","2.2","","-13.5","","-5.7","","23.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"2001-03-18","2001","03","18","†","5.0","","-5.3","","-0.2","","18.2","","0.0","","","M","","M","0.0","","","","33","","32",""
"2001-03-19","2001","03","19","†","5.1","","-6.5","","-0.7","","18.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"2001-03-20","2001","03","20","†","7.1","","-6.7","","0.2","","17.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"2001-03-21","2001","03","21","†","7.3","","-5.2","","1.1","","16.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"2001-03-22","2001","03","22","†","3.2","","0.1","","1.7","","16.3","","0.0","","","M","","M","40.1","","","","5","","56",""
"2001-03-23","2001","03","23","†","1.8","","-0.4","","0.7","","17.3","","0.0","","","M","","M","15.0","","","","1","","59",""
"2001-03-24","2001","03","24","†","0.8","","-4.3","","-1.8","","19.8","","0.0","","","M","","M","1.0","","","","29","","41",""
"2001-03-25","2001","03","25","†","-1.3","","-10.5","","-5.9","","23.9","","0.0","","","M","","M","0.0","","","","25","","37",""
"2001-03-26","2001","03","26","†","-0.2","","-14.3","","-7.3","","25.3","","0.0","","","M","","M","0.0","","","","23","","35",""
"2001-03-27","2001","03","27","†","1.0","","-9.2","","-4.1","","22.1","","0.0","","","M","","M","0.0","","","","25","","37",""
"2001-03-28","2001","03","28","†","4.7","","-6.2","","-0.8","","18.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"2001-03-29","2001","03","29","†","3.2","","-10.1","","-3.5","","21.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"2001-03-30","2001","03","30","†","3.4","","-0.6","","1.4","","16.6","","0.0","","","M","","M","2.0","","","","4","","41",""
"2001-03-31","2001","03","31","†","2.2","","-1.5","","0.4","","17.6","","0.0","","","M","","M","4.0","","","","6","","39",""
"2001-04-01","2001","04","01","†","3.4","","-2.0","","0.7","","17.3","","0.0","","","M","","M","0.0","","","","6","","32",""
"2001-04-02","2001","04","02","†","4.7","","-4.6","","0.1","","17.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"2001-04-03","2001","04","03","†","5.4","","-4.9","","0.3","","17.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"2001-04-04","2001","04","04","†","8.7","","-3.8","","2.5","","15.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"2001-04-05","2001","04","05","†","9.6","","-5.4","","2.1","","15.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"2001-04-06","2001","04","06","†","4.0","","-3.2","","0.4","","17.6","","0.0","","","M","","M","2.0","","","","2","","35",""
"2001-04-07","2001","04","07","†","5.9","","-2.9","","1.5","","16.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"2001-04-08","2001","04","08","†","5.3","","1.5","","3.4","","14.6","","0.0","","","M","","M","1.0","","","","13","","52",""
"2001-04-09","2001","04","09","†","10.7","","1.3","","6.0","","12.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"2001-04-10","2001","04","10","†","9.4","","-1.7","","3.9","","14.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"2001-04-11","2001","04","11","†","11.8","","-2.3","","4.8","","13.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"2001-04-12","2001","04","12","†","6.5","","1.6","","4.1","","13.9","","0.0","","","M","","M","10.0","","","","","","<31",""
"2001-04-13","2001","04","13","†","9.2","","2.0","","5.6","","12.4","","0.0","","","M","","M","1.0","","","","22","","44",""
"2001-04-14","2001","04","14","†","10.5","","-0.6","","5.0","","13.0","","0.0","","","M","","M","0.0","","","","29","","32",""
"2001-04-15","2001","04","15","†","11.3","","-2.0","","4.7","","13.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"2001-04-16","2001","04","16","†","11.7","","-1.7","","5.0","","13.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"2001-04-17","2001","04","17","†","8.3","","-0.2","","4.1","","13.9","","0.0","","","M","","M","0.0","","","","1","","32",""
"2001-04-18","2001","04","18","†","7.1","","-1.7","","2.7","","15.3","","0.0","","","M","","M","0.0","","","","33","","39",""
"2001-04-19","2001","04","19","†","9.8","","-1.7","","4.1","","13.9","","0.0","","","M","","M","0.0","","","","28","","32",""
"2001-04-20","2001","04","20","†","15.3","","-0.6","","7.4","","10.6","","0.0","","","M","","M","0.0","","","","24","","35",""
"2001-04-21","2001","04","21","†","20.5","","-0.2","","10.2","","7.8","","0.0","","","M","","M","0.0","","","","15","","41",""
"2001-04-22","2001","04","22","†","19.1","","4.2","","11.7","","6.3","","0.0","","","M","","M","2.0","","","","25","","57",""
"2001-04-23","2001","04","23","†","14.8","","3.5","","9.2","","8.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"2001-04-24","2001","04","24","†","19.7","","2.0","","10.9","","7.1","","0.0","","","M","","M","1.8","","","","25","","69",""
"2001-04-25","2001","04","25","†","13.7","","0.0","","6.9","","11.1","","0.0","","","M","","M","","M","","","32","","32",""
"2001-04-26","2001","04","26","†","17.7","","0.6","","9.2","","8.8","","0.0","","","M","","M","1.0","","","","24","","44",""
"2001-04-27","2001","04","27","†","17.9","","-0.7","","8.6","","9.4","","0.0","","","M","","M","0.0","","","","1","","46",""
"2001-04-28","2001","04","28","†","11.2","","-1.7","","4.8","","13.2","","0.0","","","M","","M","0.0","","","","30","","41",""
"2001-04-29","2001","04","29","†","17.9","","-2.9","","7.5","","10.5","","0.0","","","M","","M","0.0","","","","25","","52",""
"2001-04-30","2001","04","30","†","21.0","","5.1","","13.1","","4.9","","0.0","","","M","","M","4.0","","","","23","","35",""
"2001-05-01","2001","05","01","†","29.2","","9.4","","19.3","","0.0","","1.3","","","M","","M","1.0","","","","21","","37",""
"2001-05-02","2001","05","02","†","30.1","","12.5","","21.3","","0.0","","3.3","","","M","","M","0.0","","","","24","","44",""
"2001-05-03","2001","05","03","†","30.7","","15.7","","23.2","","0.0","","5.2","","","M","","M","0.0","","","","25","","56",""
"2001-05-04","2001","05","04","†","20.5","","8.8","","14.7","","3.3","","0.0","","","M","","M","2.0","","","","33","","39",""
"2001-05-05","2001","05","05","†","14.0","","4.1","","9.1","","8.9","","0.0","","","M","","M","0.0","","","","33","","41",""
"2001-05-06","2001","05","06","†","18.2","","0.7","","9.5","","8.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"2001-05-07","2001","05","07","†","21.5","","1.3","","11.4","","6.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"2001-05-08","2001","05","08","†","25.4","","5.6","","15.5","","2.5","","0.0","","","M","","M","0.0","","","","18","","33",""
"2001-05-09","2001","05","09","†","24.1","","11.6","","17.9","","0.1","","0.0","","","M","","M","0.0","","","","21","","32",""
"2001-05-10","2001","05","10","†","26.3","","9.7","","18.0","","0.0","","0.0","","","M","","M","0.0","","","","18","","37",""
"2001-05-11","2001","05","11","†","28.5","","10.7","","19.6","","0.0","","1.6","","","M","","M","2.0","","","","24","","43",""
"2001-05-12","2001","05","12","†","17.1","","5.0","","11.1","","6.9","","0.0","","","M","","M","","M","","","","","<31",""
"2001-05-13","2001","05","13","†","16.9","","2.6","","9.8","","8.2","","0.0","","","M","","M","1.0","","","","","","<31",""
"2001-05-14","2001","05","14","†","18.5","","4.1","","11.3","","6.7","","0.0","","","M","","M","0.0","","","","2","","33",""
"2001-05-15","2001","05","15","†","15.7","","4.9","","10.3","","7.7","","0.0","","","M","","M","0.0","","","","3","","37",""
"2001-05-16","2001","05","16","†","16.9","","8.4","","12.7","","5.3","","0.0","","","M","","M","0.0","","","","8","","32",""
"2001-05-17","2001","05","17","†","19.8","","6.2","","13.0","","5.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"2001-05-18","2001","05","18","†","17.8","","10.4","","14.1","","3.9","","0.0","","","M","","M","9.0","","","","","","<31",""
