"Station Name","L'ASSOMPTION"
"Province","QUEBEC"
"Latitude","45.81"
"Longitude","-73.43"
"Elevation","21.00"
"Climate Identifier","7014160"
"WMO Identifier","71524"
"TC Identifier","WEW"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1961-01-01","1961","01","01","","-7.8","","-13.3","","-10.6","","28.6","","0.0","","0.0","","11.4","","11.4","","30","","","","",""
"1961-01-02","1961","01","02","","-8.3","","-12.8","","-10.6","","28.6","","0.0","","0.0","","0.0","","0.0","","30","","","","",""
"1961-01-03","1961","01","03","","-8.3","","-16.7","","-12.5","","30.5","","0.0","","0.0","","0.0","T","0.0","T","30","","","","",""
"1961-01-04","1961","01","04","","-10.0","","-23.3","","-16.7","","34.7","","0.0","","0.0","","0.0","T","0.0","T","33","","","","",""
"1961-01-05","1961","01","05","","-12.8","","-26.7","","-19.8","","37.8","","0.0","","0.0","","0.0","","0.0","","30","","","","",""
"1961-01-06","1961","01","06","","-5.6","","-18.3","","-12.0","","30.0","","0.0","","0.0","","8.4","","8.4","","30","","","","",""
"1961-01-07","1961","01","07","","-2.8","","-11.1","","-7.0","","25.0","","0.0","","0.0","","8.4","","8.4","","33","","","","",""
"1961-01-08","1961","01","08","","-3.3","","-5.6","","-4.5","","22.5","","0.0","","0.0","","5.1","","5.1","","38","","","","",""
"1961-01-09","1961","01","09","","-7.8","","-17.8","","-12.8","","30.8","","0.0","","0.0","","0.0","","0.0","","46","","","","",""
"1961-01-10","1961","01","10","","-5.6","","-28.3","","-17.0","","35.0","","0.0","","0.0","","0.0","","0.0","","43","","","","",""
"1961-01-11","1961","01","11","","0.6","","-13.3","","-6.4","","24.4","","0.0","","0.0","","0.0","","0.0","","41","","","","",""
"1961-01-12","1961","01","12","","-12.8","","-25.6","","-19.2","","37.2","","0.0","","0.0","","0.0","","0.0","","38","","","","",""
"1961-01-13","1961","01","13","","1.1","","-18.9","","-8.9","","26.9","","0.0","","0.0","","0.0","","0.0","","36","","","","",""
"1961-01-14","1961","01","14","","2.8","","-17.2","","-7.2","","25.2","","0.0","","0.0","","0.0","","0.0","","38","","","","",""
"1961-01-15","1961","01","15","","-9.4","","-20.0","","-14.7","","32.7","","0.0","","0.0","","0.0","","0.0","","38","","","","",""
"1961-01-16","1961","01","16","","-7.2","","-15.0","","-11.1","","29.1","","0.0","","0.0","","0.0","","0.0","","38","","","","",""
"1961-01-17","1961","01","17","","1.7","","-23.9","","-11.1","","29.1","","0.0","","0.0","","0.0","T","0.0","T","38","","","","",""
"1961-01-18","1961","01","18","","-12.8","","-16.7","","-14.8","","32.8","","0.0","","0.0","","0.0","","0.0","","38","","","","",""
"1961-01-19","1961","01","19","","-18.9","","-33.3","","-26.1","","44.1","","0.0","","0.0","","0.0","","0.0","","38","","","","",""
"1961-01-20","1961","01","20","","-15.6","","-31.1","","-23.4","","41.4","","0.0","","0.0","","0.0","","0.0","","36","","","","",""
"1961-01-21","1961","01","21","","-16.1","","-26.7","","-21.4","","39.4","","0.0","","0.0","","0.0","T","0.0","T","36","","","","",""
"1961-01-22","1961","01","22","","-18.9","","-35.0","","-27.0","","45.0","","0.0","","0.0","","0.8","","0.8","","36","","","","",""
"1961-01-23","1961","01","23","","-15.0","","-33.9","","-24.5","","42.5","","0.0","","0.0","","0.0","T","0.0","T","36","","","","",""
"1961-01-24","1961","01","24","","-15.6","","-31.7","","-23.7","","41.7","","0.0","","0.0","","0.0","","0.0","","36","","","","",""
"1961-01-25","1961","01","25","","-17.8","","-24.4","","-21.1","","39.1","","0.0","","0.0","","0.0","","0.0","","36","","","","",""
"1961-01-26","1961","01","26","","-16.1","","-29.4","","-22.8","","40.8","","0.0","","0.0","","0.0","T","0.0","T","33","","","","",""
"1961-01-27","1961","01","27","","-14.4","","-25.6","","-20.0","","38.0","","0.0","","0.0","","0.0","T","0.0","T","36","","","","",""
"1961-01-28","1961","01","28","","-10.0","","-23.9","","-17.0","","35.0","","0.0","","0.0","","0.8","","0.8","","36","","","","",""
"1961-01-29","1961","01","29","","-9.4","","-22.2","","-15.8","","33.8","","0.0","","0.0","","0.0","","0.0","","36","","","","",""
"1961-01-30","1961","01","30","","-13.9","","-32.2","","-23.1","","41.1","","0.0","","0.0","","0.0","T","0.0","T","36","","","","",""
"1961-01-31","1961","01","31","","-12.2","","-27.8","","-20.0","","38.0","","0.0","","0.0","","0.8","","0.8","","36","","","","",""
"1961-02-01","1961","02","01","","-17.8","","-32.2","","-25.0","","43.0","","0.0","","0.0","","0.0","","0.0","","36","","","","",""
"1961-02-02","1961","02","02","","-18.3","","-31.7","","-25.0","","43.0","","0.0","","0.0","","0.0","","0.0","","36","","","","",""
"1961-02-03","1961","02","03","","-10.0","","-31.7","","-20.9","","38.9","","0.0","","0.0","","0.0","T","0.0","T","36","","","","",""
"1961-02-04","1961","02","04","","-6.1","","-17.8","","-12.0","","30.0","","0.0","","0.0","","0.0","","0.0","","36","","","","",""
"1961-02-05","1961","02","05","","-6.1","","-26.1","","-16.1","","34.1","","0.0","","0.0","","0.0","","0.0","","36","","","","",""
"1961-02-06","1961","02","06","","-0.6","","-12.8","","-6.7","","24.7","","0.0","","0.0","","0.0","","0.0","","36","","","","",""
"1961-02-07","1961","02","07","","-5.6","","-24.4","","-15.0","","33.0","","0.0","","0.0","","0.0","","0.0","","36","","","","",""
"1961-02-08","1961","02","08","","-0.6","","-11.1","","-5.9","","23.9","","0.0","","0.0","","0.0","","0.0","","36","","","","",""
"1961-02-09","1961","02","09","","1.1","","-6.7","","-2.8","","20.8","","0.0","","0.0","","0.0","","0.0","","36","","","","",""
"1961-02-10","1961","02","10","","-1.7","","-4.4","","-3.1","","21.1","","0.0","","0.0","","0.0","T","0.0","T","33","","","","",""
"1961-02-11","1961","02","11","","-5.6","","-10.0","","-7.8","","25.8","","0.0","","0.0","","0.0","","0.0","","33","","","","",""
"1961-02-12","1961","02","12","","-6.1","","-21.1","","-13.6","","31.6","","0.0","","0.0","","0.0","","0.0","","33","","","","",""
"1961-02-13","1961","02","13","","0.0","","-28.3","","-14.2","","32.2","","0.0","","2.8","","0.5","","3.3","","33","","","","",""
"1961-02-14","1961","02","14","","3.3","","-10.0","","-3.4","","21.4","","0.0","","0.0","","0.8","","0.8","","33","","","","",""
"1961-02-15","1961","02","15","","-3.3","","-10.0","","-6.7","","24.7","","0.0","","0.0","","0.0","","0.0","","33","","","","",""
"1961-02-16","1961","02","16","","-8.3","","-21.1","","-14.7","","32.7","","0.0","","0.0","","1.3","","1.3","","33","","","","",""
"1961-02-17","1961","02","17","","-5.0","","-18.3","","-11.7","","29.7","","0.0","","0.0","","2.0","","2.0","","33","","","","",""
"1961-02-18","1961","02","18","","1.1","","-14.4","","-6.7","","24.7","","0.0","","19.1","","0.0","","19.1","","33","","","","",""
"1961-02-19","1961","02","19","","5.6","","-4.4","","0.6","","17.4","","0.0","","0.0","","0.0","","0.0","","33","","","","",""
"1961-02-20","1961","02","20","","-5.6","","-12.2","","-8.9","","26.9","","0.0","","0.0","","0.0","","0.0","","30","","","","",""
"1961-02-21","1961","02","21","","-0.6","","-19.4","","-10.0","","28.0","","0.0","","0.0","","0.0","","0.0","","28","","","","",""
"1961-02-22","1961","02","22","","3.3","","-7.8","","-2.3","","20.3","","0.0","","0.0","","0.0","","0.0","","30","","","","",""
"1961-02-23","1961","02","23","","-1.1","","-5.0","","-3.1","","21.1","","0.0","","0.0","","12.7","","12.7","","28","","","","",""
"1961-02-24","1961","02","24","","-1.7","","-6.7","","-4.2","","22.2","","0.0","","0.0","","1.8","","1.8","","30","","","","",""
"1961-02-25","1961","02","25","","0.0","","-6.7","","-3.4","","21.4","","0.0","","15.0","","6.4","","21.3","","30","","","","",""
"1961-02-26","1961","02","26","","-0.6","","-3.3","","-2.0","","20.0","","0.0","","0.0","","11.4","","11.4","","30","","","","",""
"1961-02-27","1961","02","27","","3.3","","-8.3","","-2.5","","20.5","","0.0","","0.0","","0.0","T","0.0","T","36","","","","",""
"1961-02-28","1961","02","28","","3.3","","-7.8","","-2.3","","20.3","","0.0","","0.0","","0.0","","0.0","","36","","","","",""
"1961-03-01","1961","03","01","","1.1","","-15.6","","-7.3","","25.3","","0.0","","0.0","","1.8","","1.8","","33","","","","",""
"1961-03-02","1961","03","02","","5.0","","-10.6","","-2.8","","20.8","","0.0","","1.5","","0.0","","1.5","","33","","","","",""
"1961-03-03","1961","03","03","","6.1","","-2.2","","2.0","","16.0","","0.0","","0.0","","0.0","","0.0","","33","","","","",""
"1961-03-04","1961","03","04","","0.0","","-6.1","","-3.1","","21.1","","0.0","","2.5","","6.4","","8.9","","28","","","","",""
"1961-03-05","1961","03","05","","-6.1","","-8.3","","-7.2","","25.2","","0.0","","0.0","T","0.0","T","0.0","T","28","","","","",""
"1961-03-06","1961","03","06","","4.4","","-7.2","","-1.4","","19.4","","0.0","","22.6","","0.0","","22.6","","28","","","","",""
"1961-03-07","1961","03","07","","1.1","","-2.8","","-0.9","","18.9","","0.0","","0.0","","0.0","","0.0","","28","","","","",""
"1961-03-08","1961","03","08","","-3.9","","-10.0","","-7.0","","25.0","","0.0","","0.0","","19.1","","19.1","","28","","","","",""
"1961-03-09","1961","03","09","","-6.1","","-7.8","","-7.0","","25.0","","0.0","","0.0","","5.1","","5.1","","28","","","","",""
"1961-03-10","1961","03","10","","-4.4","","-9.4","","-6.9","","24.9","","0.0","","0.0","","0.0","","0.0","","38","","","","",""
"1961-03-11","1961","03","11","","-8.9","","-22.2","","-15.6","","33.6","","0.0","","0.0","","0.0","","0.0","","28","","","","",""
"1961-03-12","1961","03","12","","-2.2","","-20.0","","-11.1","","29.1","","0.0","","0.0","","0.0","","0.0","","33","","","","",""
"1961-03-13","1961","03","13","","-2.8","","-15.0","","-8.9","","26.9","","0.0","","0.0","","0.8","","0.8","","30","","","","",""
"1961-03-14","1961","03","14","","-3.3","","-11.7","","-7.5","","25.5","","0.0","","0.0","","14.5","","14.5","","30","","","","",""
"1961-03-15","1961","03","15","","2.2","","-7.2","","-2.5","","20.5","","0.0","","0.0","","1.3","","1.3","","36","","","","",""
"1961-03-16","1961","03","16","","-5.0","","-11.1","","-8.1","","26.1","","0.0","","0.0","","0.8","","0.8","","38","","","","",""
"1961-03-17","1961","03","17","","-7.2","","-21.1","","-14.2","","32.2","","0.0","","0.0","","0.0","","0.0","","38","","","","",""
"1961-03-18","1961","03","18","","-2.8","","-23.3","","-13.1","","31.1","","0.0","","0.0","","0.0","","0.0","","38","","","","",""
"1961-03-19","1961","03","19","","1.1","","-10.0","","-4.5","","22.5","","0.0","","0.0","","0.0","","0.0","","38","","","","",""
"1961-03-20","1961","03","20","","-2.8","","-11.7","","-7.3","","25.3","","0.0","","0.0","","0.0","","0.0","","38","","","","",""
"1961-03-21","1961","03","21","","-1.7","","-23.3","","-12.5","","30.5","","0.0","","0.0","","0.0","","0.0","","36","","","","",""
