"Station Name","L'ASSOMPTION"
"Province","QUEBEC"
"Latitude","45.81"
"Longitude","-73.43"
"Elevation","21.00"
"Climate Identifier","7014160"
"WMO Identifier","71524"
"TC Identifier","WEW"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1983-01-01","1983","01","01","","2.0","","-8.0","","-3.0","","21.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1983-01-02","1983","01","02","","-3.5","","-9.5","","-6.5","","24.5","","0.0","","0.0","","1.2","","1.2","","0","","","","",""
"1983-01-03","1983","01","03","","-8.0","","-19.5","","-13.8","","31.8","","0.0","","0.0","","0.0","","0.0","","1","","","","",""
"1983-01-04","1983","01","04","","-16.0","","-23.5","","-19.8","","37.8","","0.0","","0.0","","0.0","","0.0","","1","","","","",""
"1983-01-05","1983","01","05","","-2.0","","-18.5","","-10.3","","28.3","","0.0","","0.0","","1.0","","1.0","","1","","","","",""
"1983-01-06","1983","01","06","","1.5","","-7.0","","-2.8","","20.8","","0.0","","0.0","","0.0","","0.0","","2","","","","",""
"1983-01-07","1983","01","07","","1.5","","-3.5","","-1.0","","19.0","","0.0","","0.0","","5.2","","5.2","","0","","","","",""
"1983-01-08","1983","01","08","","-3.0","","-9.5","","-6.3","","24.3","","0.0","","0.0","","0.0","","0.0","","5","","","","",""
"1983-01-09","1983","01","09","","-11.5","","-21.0","","-16.3","","34.3","","0.0","","0.0","","0.0","","0.0","","5","","","","",""
"1983-01-10","1983","01","10","","1.5","","-17.5","","-8.0","","26.0","","0.0","","28.6","","0.0","","28.6","","5","","","","",""
"1983-01-11","1983","01","11","","3.0","","-5.0","","-1.0","","19.0","","0.0","","1.4","","0.0","","1.4","","2","","","","",""
"1983-01-12","1983","01","12","","1.0","","-8.5","","-3.8","","21.8","","0.0","","0.0","","0.0","","0.0","","1","","","","",""
"1983-01-13","1983","01","13","","-9.5","","-17.0","","-13.3","","31.3","","0.0","","0.0","","0.0","","0.0","","1","","","","",""
