"Station Name","L'ASSOMPTION"
"Province","QUEBEC"
"Latitude","45.81"
"Longitude","-73.43"
"Elevation","21.00"
"Climate Identifier","7014160"
"WMO Identifier","71524"
"TC Identifier","WEW"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1985-01-01","1985","01","01","","-7.5","","-14.5","","-11.0","","29.0","","0.0","","1.0","","19.0","","20.0","","13","","","","",""
"1985-01-02","1985","01","02","","-8.0","","-14.0","","-11.0","","29.0","","0.0","","0.0","","0.0","","0.0","","22","","","","",""
"1985-01-03","1985","01","03","","-10.0","","-23.5","","-16.8","","34.8","","0.0","","0.0","","0.0","","0.0","","22","","","","",""
"1985-01-04","1985","01","04","","-3.0","","-17.5","","-10.3","","28.3","","0.0","","0.0","","2.2","","2.2","","22","","","","",""
"1985-01-05","1985","01","05","","-7.0","","-13.0","","-10.0","","28.0","","0.0","","0.0","","0.0","","0.0","","24","","","","",""
"1985-01-06","1985","01","06","","-12.0","","-20.0","","-16.0","","34.0","","0.0","","0.0","","0.0","","0.0","","24","","","","",""
"1985-01-07","1985","01","07","","-16.0","","-27.0","","-21.5","","39.5","","0.0","","0.0","","1.8","","1.8","","24","","","","",""
"1985-01-08","1985","01","08","","-12.5","","-17.5","","-15.0","","33.0","","0.0","","0.0","","0.4","","0.4","","26","","","","",""
"1985-01-09","1985","01","09","","-13.5","","-22.0","","-17.8","","35.8","","0.0","","0.0","","0.0","","0.0","","26","","","","",""
"1985-01-10","1985","01","10","","-14.0","","-23.5","","-18.8","","36.8","","0.0","","0.0","","0.0","","0.0","","25","","","","",""
"1985-01-11","1985","01","11","","-12.5","","-24.0","","-18.3","","36.3","","0.0","","0.0","","0.2","","0.2","","25","","","","",""
"1985-01-12","1985","01","12","","-11.0","","-17.5","","-14.3","","32.3","","0.0","","0.0","","0.0","","0.0","","25","","","","",""
"1985-01-13","1985","01","13","","-4.0","","-20.5","","-12.3","","30.3","","0.0","","0.0","","0.2","","0.2","","25","","","","",""
"1985-01-14","1985","01","14","","-2.0","","-12.5","","-7.3","","25.3","","0.0","","0.0","","3.0","","3.0","","25","","","","",""
"1985-01-15","1985","01","15","","-9.0","","-13.0","","-11.0","","29.0","","0.0","","0.0","","0.0","","0.0","","27","","","","",""
"1985-01-16","1985","01","16","","-18.0","","-26.0","","-22.0","","40.0","","0.0","","0.0","","0.0","","0.0","","27","","","","",""
"1985-01-17","1985","01","17","","-17.5","","-29.0","","-23.3","","41.3","","0.0","","0.0","","1.0","","1.0","","27","","","","",""
"1985-01-18","1985","01","18","","-12.0","","-25.5","","-18.8","","36.8","","0.0","","0.0","","0.0","","0.0","","28","","","","",""
"1985-01-19","1985","01","19","","-10.0","","-17.5","","-13.8","","31.8","","0.0","","0.0","","1.7","","1.7","","28","","","","",""
"1985-01-20","1985","01","20","","-11.0","","-20.0","","-15.5","","33.5","","0.0","","0.0","","0.6","","0.6","","29","","","","",""
"1985-01-21","1985","01","21","","-12.0","","-22.0","","-17.0","","35.0","","0.0","","0.0","","0.4","","0.4","","29","","","","",""
"1985-01-22","1985","01","22","","-7.0","","-21.0","","-14.0","","32.0","","0.0","","0.0","","0.0","","0.0","","29","","","","",""
"1985-01-23","1985","01","23","","-5.0","","-11.0","","-8.0","","26.0","","0.0","","0.0","","0.0","","0.0","","28","","","","",""
"1985-01-24","1985","01","24","","-6.5","","-15.5","","-11.0","","29.0","","0.0","","0.0","","0.4","","0.4","","27","","","","",""
"1985-01-25","1985","01","25","","-7.0","","-18.5","","-12.8","","30.8","","0.0","","0.0","","1.6","","1.6","","27","","","","",""
"1985-01-26","1985","01","26","","-7.0","","-18.0","","-12.5","","30.5","","0.0","","0.0","","0.4","","0.4","","28","","","","",""
"1985-01-27","1985","01","27","","-7.5","","-17.5","","-12.5","","30.5","","0.0","","0.0","","0.4","","0.4","","28","","","","",""
"1985-01-28","1985","01","28","","-8.5","","-16.0","","-12.3","","30.3","","0.0","","0.0","","0.0","","0.0","","28","","","","",""
"1985-01-29","1985","01","29","","-8.5","","-23.5","","-16.0","","34.0","","0.0","","0.0","","0.0","","0.0","","28","","","","",""
"1985-01-30","1985","01","30","","-10.0","","-27.0","","-18.5","","36.5","","0.0","","0.0","","0.0","","0.0","","28","","","","",""
