"Station Name","L'ASSOMPTION"
"Province","QUEBEC"
"Latitude","45.81"
"Longitude","-73.43"
"Elevation","21.00"
"Climate Identifier","7014160"
"WMO Identifier","71524"
"TC Identifier","WEW"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1950-01-01","1950","01","01","","0.0","","-7.8","","-3.9","","21.9","","0.0","","0.0","","0.3","","0.3","","","","","","",""
"1950-01-02","1950","01","02","","2.2","","-4.4","","-1.1","","19.1","","0.0","","2.8","","0.0","","2.8","","","","","","",""
"1950-01-03","1950","01","03","","10.6","","-1.1","","4.8","","13.2","","0.0","","11.2","","0.0","","11.2","","","","","","",""
"1950-01-04","1950","01","04","","3.9","","-1.1","","1.4","","16.6","","0.0","","1.0","","0.0","","1.0","","","","","","",""
"1950-01-05","1950","01","05","","12.2","","-1.1","","5.6","","12.4","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1950-01-06","1950","01","06","","-5.6","","-6.7","","-6.2","","24.2","","0.0","","0.0","","8.9","","8.9","","","","","","",""
"1950-01-07","1950","01","07","","-3.9","","-10.0","","-7.0","","25.0","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1950-01-08","1950","01","08","","-18.3","","-25.0","","-21.7","","39.7","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1950-01-09","1950","01","09","","-10.0","","-21.7","","-15.9","","33.9","","0.0","","0.0","","0.3","","0.3","","","","","","",""
"1950-01-10","1950","01","10","","6.7","","-13.3","","-3.3","","21.3","","0.0","","14.0","","0.0","","14.0","","","","","","",""
