"Station Name","L'ASSOMPTION"
"Province","QUEBEC"
"Latitude","45.81"
"Longitude","-73.43"
"Elevation","21.00"
"Climate Identifier","7014160"
"WMO Identifier","71524"
"TC Identifier","WEW"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1955-01-01","1955","01","01","","0.0","","-8.3","","-4.2","","22.2","","0.0","","0.0","","5.1","","5.1","","","","","","",""
"1955-01-02","1955","01","02","","1.1","","-11.7","","-5.3","","23.3","","0.0","","0.0","","1.3","","1.3","","","","","","",""
"1955-01-03","1955","01","03","","-1.1","","-10.6","","-5.9","","23.9","","0.0","","0.0","","4.3","","4.3","","","","","","",""
"1955-01-04","1955","01","04","","-2.2","","-10.0","","-6.1","","24.1","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1955-01-05","1955","01","05","","-7.8","","-23.9","","-15.9","","33.9","","0.0","","0.0","","2.0","","2.0","","","","","","",""
"1955-01-06","1955","01","06","","-4.4","","-20.0","","-12.2","","30.2","","0.0","","0.0","","3.0","","3.0","","","","","","",""
"1955-01-07","1955","01","07","","-6.1","","-9.4","","-7.8","","25.8","","0.0","","0.0","","0.8","","0.8","","","","","","",""
"1955-01-08","1955","01","08","","-11.1","","-18.9","","-15.0","","33.0","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1955-01-09","1955","01","09","","-8.3","","-23.9","","-16.1","","34.1","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1955-01-10","1955","01","10","","-3.9","","-18.9","","-11.4","","29.4","","0.0","","0.0","","0.0","","0.0","","","","","","",""
