"Station Name","L'ASSOMPTION"
"Province","QUEBEC"
"Latitude","45.81"
"Longitude","-73.43"
"Elevation","21.00"
"Climate Identifier","7014160"
"WMO Identifier","71524"
"TC Identifier","WEW"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1960-01-01","1960","01","01","","-6.7","","-20.6","","-13.7","","31.7","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1960-01-02","1960","01","02","","0.0","","-19.4","","-9.7","","27.7","","0.0","","0.0","","13.5","","13.5","","","","","","",""
"1960-01-03","1960","01","03","","2.2","","-11.7","","-4.8","","22.8","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1960-01-04","1960","01","04","","-5.6","","-12.8","","-9.2","","27.2","","0.0","","0.0","","1.8","","1.8","","","","","","",""
"1960-01-05","1960","01","05","","-6.7","","-20.0","","-13.4","","31.4","","0.0","","0.0","","1.3","","1.3","","","","","","",""
"1960-01-06","1960","01","06","","-5.0","","-12.8","","-8.9","","26.9","","0.0","","0.0","","0.8","","0.8","","","","","","",""
"1960-01-07","1960","01","07","","-17.2","","-21.1","","-19.2","","37.2","","0.0","","0.0","","10.2","","10.2","","","","","","",""
"1960-01-08","1960","01","08","","-11.1","","-21.7","","-16.4","","34.4","","0.0","","0.0","","0.8","","0.8","","","","","","",""
"1960-01-09","1960","01","09","","-20.6","","-28.3","","-24.5","","42.5","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1960-01-10","1960","01","10","","-20.6","","-34.4","","-27.5","","45.5","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1960-01-11","1960","01","11","","-13.3","","-31.1","","-22.2","","40.2","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1960-01-12","1960","01","12","","-11.1","","-27.8","","-19.5","","37.5","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1960-01-13","1960","01","13","","-3.3","","-21.1","","-12.2","","30.2","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1960-01-14","1960","01","14","","-5.0","","-21.7","","-13.4","","31.4","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1960-01-15","1960","01","15","","-2.2","","-12.8","","-7.5","","25.5","","0.0","","0.0","","5.8","","5.8","","","","","","",""
"1960-01-16","1960","01","16","","-8.9","","-16.1","","-12.5","","30.5","","0.0","","0.0","","0.8","","0.8","","","","","","",""
