"Station Name","L'ASSOMPTION"
"Province","QUEBEC"
"Latitude","45.81"
"Longitude","-73.43"
"Elevation","21.00"
"Climate Identifier","7014160"
"WMO Identifier","71524"
"TC Identifier","WEW"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2011-01-01","2011","01","01","†","2.4","","0.8","","1.6","","16.4","","0.0","","","M","","M","4.0","","3","","","","<31",""
"2011-01-02","2011","01","02","†","4.5","","-3.0","","0.8","","17.2","","0.0","","","M","","M","2.0","","","","25","","44",""
"2011-01-03","2011","01","03","†","-1.8","","-9.9","","-5.9","","23.9","","0.0","","","M","","M","0.0","","","","26","","37",""
"2011-01-04","2011","01","04","†","-5.0","","-13.4","","-9.2","","27.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"2011-01-05","2011","01","05","†","-3.3","","-14.1","","-8.7","","26.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"2011-01-06","2011","01","06","†","-5.4","","-13.0","","-9.2","","27.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"2011-01-07","2011","01","07","†","-4.7","","-9.4","","-7.1","","25.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"2011-01-08","2011","01","08","†","-3.2","","-9.6","","-6.4","","24.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"2011-01-09","2011","01","09","†","-1.2","","-8.1","","-4.7","","22.7","","0.0","","0.0","","","M","1.0","","1","","31","","39",""
"2011-01-10","2011","01","10","†","-5.0","","-10.4","","-7.7","","25.7","","0.0","","","M","","M","1.0","","1","","23","","32",""
"2011-01-11","2011","01","11","†","-5.7","","-13.6","","-9.7","","27.7","","0.0","","","M","","M","0.0","","2","","","","<31",""
"2011-01-12","2011","01","12","†","-4.8","","-10.0","","-7.4","","25.4","","0.0","","","M","","M","0.0","","2","","1","","43",""
"2011-01-13","2011","01","13","†","-5.2","","-10.2","","-7.7","","25.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"2011-01-14","2011","01","14","†","-7.2","","-15.1","","-11.2","","29.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"2011-01-15","2011","01","15","†","-9.6","","-18.8","","-14.2","","32.2","","0.0","","0.0","","","M","4.0","","","","","","<31",""
"2011-01-16","2011","01","16","†","-10.0","","-19.2","","-14.6","","32.6","","0.0","","","M","","M","0.0","","4","","","","<31",""
"2011-01-17","2011","01","17","†","-15.2","","-24.8","","-20.0","","38.0","","0.0","","","M","","M","0.0","","4","","","","<31",""
"2011-01-18","2011","01","18","†","-4.6","","-19.0","","-11.8","","29.8","","0.0","","0.0","","","M","5.0","","4","","","","<31",""
"2011-01-19","2011","01","19","†","-4.6","","-11.6","","-8.1","","26.1","","0.0","","","M","","M","0.0","","5","","2","","33",""
"2011-01-20","2011","01","20","†","-10.2","","-13.7","","-12.0","","30.0","","0.0","","","M","","M","0.0","","5","","23","","35",""
