"Station Name","L'ASSOMPTION"
"Province","QUEBEC"
"Latitude","45.81"
"Longitude","-73.43"
"Elevation","21.00"
"Climate Identifier","7014160"
"WMO Identifier","71524"
"TC Identifier","WEW"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2012-01-01","2012","01","01","†","4.7","","-2.4","","1.2","","16.8","","0.0","","","M","","M","5.0","","6","","19","","35",""
"2012-01-02","2012","01","02","†","4.3","","-10.9","","-3.3","","21.3","","0.0","","","M","","M","0.0","","","","23","","56",""
"2012-01-03","2012","01","03","†","-10.8","","-18.9","","-14.9","","32.9","","0.0","","","M","","M","0.0","","","","31","","33",""
"2012-01-04","2012","01","04","†","-12.3","","-21.0","","-16.7","","34.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"2012-01-05","2012","01","05","†","-4.4","","-15.7","","-10.1","","28.1","","0.0","","0.0","","","M","1.3","","","","30","","32",""
"2012-01-06","2012","01","06","†","-9.4","","-14.6","","-12.0","","30.0","","0.0","","","M","","M","0.0","","1","","","","<31",""
"2012-01-07","2012","01","07","†","-0.5","","-9.5","","-5.0","","23.0","","0.0","","","M","","M","4.0","","1","","","","<31",""
"2012-01-08","2012","01","08","†","-0.5","","-11.8","","-6.2","","24.2","","0.0","","","M","","M","0.0","","2","","26","","32",""
"2012-01-09","2012","01","09","†","-3.1","","-11.4","","-7.3","","25.3","","0.0","","","M","","M","0.0","","2","","","","<31",""
"2012-01-10","2012","01","10","†","3.1","","-14.6","","-5.8","","23.8","","0.0","","","M","","M","1.0","","2","","28","","39",""
