"Station Name","L'ASSOMPTION"
"Province","QUEBEC"
"Latitude","45.81"
"Longitude","-73.43"
"Elevation","21.00"
"Climate Identifier","7014160"
"WMO Identifier","71524"
"TC Identifier","WEW"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1994-01-01","1994","01","01","","1.5","","-10.5","","-4.5","","22.5","","0.0","","0.0","T","4.0","","4.0","","14","","","","",""
"1994-01-02","1994","01","02","","-5.5","","-14.0","","-9.8","","27.8","","0.0","","0.0","","0.0","","0.0","","15","","","","",""
"1994-01-03","1994","01","03","","-13.5","","-27.0","","-20.3","","38.3","","0.0","","0.0","","0.0","T","0.0","T","14","","","","",""
"1994-01-04","1994","01","04","","-12.0","","-20.5","","-16.3","","34.3","","0.0","","0.0","","28.8","","28.8","","14","","","","",""
"1994-01-05","1994","01","05","","-12.0","","-18.0","","-15.0","","33.0","","0.0","","0.0","","1.6","","1.6","","16","","","","",""
"1994-01-06","1994","01","06","","-19.5","","-29.0","","-24.3","","42.3","","0.0","","0.0","","0.0","","0.0","","16","","","","",""
"1994-01-07","1994","01","07","","-17.0","","-25.0","","-21.0","","39.0","","0.0","","0.0","","6.0","","6.0","","15","","","","",""
"1994-01-08","1994","01","08","","-15.0","","-19.0","","-17.0","","35.0","","0.0","","0.0","","7.0","","7.0","","15","","","","",""
"1994-01-09","1994","01","09","","-16.5","","-20.0","","-18.3","","36.3","","0.0","","0.0","","0.0","","0.0","","17","","","","",""
"1994-01-10","1994","01","10","","-17.0","","-24.5","","-20.8","","38.8","","0.0","","0.0","","0.0","","0.0","","16","","","","",""
"1994-01-11","1994","01","11","","-10.0","","-24.0","","-17.0","","35.0","","0.0","","0.0","","2.4","","2.4","","15","","","","",""
"1994-01-12","1994","01","12","","-13.0","","-23.0","","-18.0","","36.0","","0.0","","0.0","","1.5","","1.5","","18","","","","",""
"1994-01-13","1994","01","13","","-6.5","","-17.0","","-11.8","","29.8","","0.0","","0.0","","1.0","","1.0","","17","","","","",""
"1994-01-14","1994","01","14","","-10.0","","-13.0","","-11.5","","29.5","","0.0","","0.0","","3.2","","3.2","","17","","","","",""
