"Station Name","L'ASSOMPTION"
"Province","QUEBEC"
"Latitude","45.81"
"Longitude","-73.43"
"Elevation","21.00"
"Climate Identifier","7014160"
"WMO Identifier","71524"
"TC Identifier","WEW"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1964-01-01","1964","01","01","","-6.7","","-21.1","","-13.9","","31.9","","0.0","","0.0","","13.7","","13.7","","10","","","","",""
"1964-01-02","1964","01","02","","0.6","","-10.6","","-5.0","","23.0","","0.0","","0.0","","0.0","T","0.0","T","18","","","","",""
"1964-01-03","1964","01","03","","2.8","","-3.9","","-0.6","","18.6","","0.0","","0.0","","2.5","","2.5","","20","","","","",""
"1964-01-04","1964","01","04","","2.8","","-3.9","","-0.6","","18.6","","0.0","","0.0","","0.0","","0.0","","13","","","","",""
"1964-01-05","1964","01","05","","-7.8","","-13.3","","-10.6","","28.6","","0.0","","0.0","","0.0","","0.0","","10","","","","",""
"1964-01-06","1964","01","06","","-4.4","","-21.7","","-13.1","","31.1","","0.0","","0.0","","4.3","","4.3","","10","","","","",""
"1964-01-07","1964","01","07","","-2.2","","-10.6","","-6.4","","24.4","","0.0","","0.0","","0.0","","0.0","","13","","","","",""
"1964-01-08","1964","01","08","","-3.3","","-18.9","","-11.1","","29.1","","0.0","","0.0","","0.0","","0.0","","13","","","","",""
"1964-01-09","1964","01","09","","1.1","","-13.9","","-6.4","","24.4","","0.0","","14.2","","1.8","","16.0","","13","","","","",""
"1964-01-10","1964","01","10","","2.8","","-2.2","","0.3","","17.7","","0.0","","0.0","","0.0","T","0.0","T","10","","","","",""
"1964-01-11","1964","01","11","","-12.2","","-17.2","","-14.7","","32.7","","0.0","","0.0","","0.0","","0.0","","10","","","","",""
"1964-01-12","1964","01","12","","-16.7","","-23.9","","-20.3","","38.3","","0.0","","0.0","","0.0","","0.0","","10","","","","",""
"1964-01-13","1964","01","13","","-15.0","","-27.2","","-21.1","","39.1","","0.0","","0.0","","0.0","","0.0","","10","","","","",""
"1964-01-14","1964","01","14","","-8.9","","-19.4","","-14.2","","32.2","","0.0","","0.0","","0.0","","0.0","","10","","","","",""
"1964-01-15","1964","01","15","","-5.0","","-16.1","","-10.6","","28.6","","0.0","","0.0","","0.5","","0.5","","10","","","","",""
"1964-01-16","1964","01","16","","-2.8","","-11.7","","-7.3","","25.3","","0.0","","0.0","","0.5","","0.5","","10","","","","",""
"1964-01-17","1964","01","17","","-8.3","","-17.8","","-13.1","","31.1","","0.0","","0.0","","0.8","","0.8","","10","","","","",""
"1964-01-18","1964","01","18","","0.0","","-16.7","","-8.4","","26.4","","0.0","","0.0","","1.3","","1.3","","10","","","","",""
"1964-01-19","1964","01","19","","1.7","","-7.8","","-3.1","","21.1","","0.0","","0.0","","0.0","","0.0","","13","","","","",""
"1964-01-20","1964","01","20","","5.6","","-6.7","","-0.6","","18.6","","0.0","","32.8","","0.0","","32.8","","13","","","","",""
"1964-01-21","1964","01","21","","4.4","","0.6","","2.5","","15.5","","0.0","","0.0","","0.0","","0.0","","8","","","","",""
"1964-01-22","1964","01","22","","1.7","","-1.1","","0.3","","17.7","","0.0","","0.3","","0.0","","0.3","","5","","","","",""
"1964-01-23","1964","01","23","","-1.7","","-7.8","","-4.8","","22.8","","0.0","","0.0","","0.0","","0.0","","5","","","","",""
"1964-01-24","1964","01","24","","2.2","","-3.9","","-0.9","","18.9","","0.0","","14.0","","0.0","","14.0","","5","","","","",""
"1964-01-25","1964","01","25","","7.2","","-2.2","","2.5","","15.5","","0.0","","7.6","","0.3","","7.9","","5","","","","",""
"1964-01-26","1964","01","26","","0.6","","-6.7","","-3.1","","21.1","","0.0","","0.0","","0.5","","0.5","","3","","","","",""
"1964-01-27","1964","01","27","","-3.3","","-8.3","","-5.8","","23.8","","0.0","","0.0","","0.3","","0.3","","3","","","","",""
"1964-01-28","1964","01","28","","-8.9","","-17.8","","-13.4","","31.4","","0.0","","0.0","","0.0","","0.0","","3","","","","",""
"1964-01-29","1964","01","29","","-6.7","","-17.8","","-12.3","","30.3","","0.0","","0.0","","2.5","","2.5","","3","","","","",""
"1964-01-30","1964","01","30","","-2.8","","-12.8","","-7.8","","25.8","","0.0","","0.0","","0.0","","0.0","","5","","","","",""
"1964-01-31","1964","01","31","","-0.6","","-16.1","","-8.4","","26.4","","0.0","","0.0","","2.5","","2.5","","5","","","","",""
"1964-02-01","1964","02","01","","0.6","","-5.6","","-2.5","","20.5","","0.0","","0.0","","1.8","","1.8","","8","","","","",""
"1964-02-02","1964","02","02","","-5.6","","-9.4","","-7.5","","25.5","","0.0","","0.0","","0.0","","0.0","","8","","","","",""
"1964-02-03","1964","02","03","","-6.7","","-17.8","","-12.3","","30.3","","0.0","","0.0","","0.0","","0.0","","8","","","","",""
"1964-02-04","1964","02","04","","2.2","","-15.0","","-6.4","","24.4","","0.0","","0.5","","0.3","","0.8","","8","","","","",""
"1964-02-05","1964","02","05","","3.9","","-1.7","","1.1","","16.9","","0.0","","0.0","","0.0","T","0.0","T","8","","","","",""
"1964-02-06","1964","02","06","","-0.6","","-10.0","","-5.3","","23.3","","0.0","","0.0","","13.2","","13.2","","5","","","","",""
"1964-02-07","1964","02","07","","0.6","","-2.8","","-1.1","","19.1","","0.0","","0.0","","4.8","","4.8","","13","","","","",""
"1964-02-08","1964","02","08","","-3.3","","-6.7","","-5.0","","23.0","","0.0","","0.0","","0.0","","0.0","","18","","","","",""
"1964-02-09","1964","02","09","","-15.0","","-20.0","","-17.5","","35.5","","0.0","","0.0","","0.0","","0.0","","18","","","","",""
"1964-02-10","1964","02","10","","-12.8","","-33.9","","-23.4","","41.4","","0.0","","0.0","","0.0","","0.0","","15","","","","",""
"1964-02-11","1964","02","11","","-6.1","","-29.4","","-17.8","","35.8","","0.0","","0.0","","0.0","","0.0","","15","","","","",""
"1964-02-12","1964","02","12","","-1.7","","-15.6","","-8.7","","26.7","","0.0","","0.0","","0.0","","0.0","","15","","","","",""
"1964-02-13","1964","02","13","","0.6","","-6.7","","-3.1","","21.1","","0.0","","0.0","","2.8","","2.8","","13","","","","",""
"1964-02-14","1964","02","14","","-6.1","","-10.0","","-8.1","","26.1","","0.0","","0.0","","0.0","","0.0","","15","","","","",""
"1964-02-15","1964","02","15","","-6.1","","-21.7","","-13.9","","31.9","","0.0","","0.0","","0.0","T","0.0","T","15","","","","",""
