"Station Name","L'ASSOMPTION"
"Province","QUEBEC"
"Latitude","45.81"
"Longitude","-73.43"
"Elevation","21.00"
"Climate Identifier","7014160"
"WMO Identifier","71524"
"TC Identifier","WEW"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1951-01-01","1951","01","01","","-7.2","","-23.3","","-15.3","","33.3","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1951-01-02","1951","01","02","","2.2","","-17.8","","-7.8","","25.8","","0.0","","5.3","","0.0","","5.3","","","","","","",""
"1951-01-03","1951","01","03","","3.3","","-7.2","","-2.0","","20.0","","0.0","","23.1","","0.0","","23.1","","","","","","",""
"1951-01-04","1951","01","04","","6.1","","0.6","","3.4","","14.6","","0.0","","0.8","","0.0","","0.8","","","","","","",""
"1951-01-05","1951","01","05","","-6.7","","-13.9","","-10.3","","28.3","","0.0","","0.0","","5.1","","5.1","","","","","","",""
"1951-01-06","1951","01","06","","-8.9","","-12.8","","-10.9","","28.9","","0.0","","0.0","","0.8","","0.8","","","","","","",""
"1951-01-07","1951","01","07","","-10.6","","-26.7","","-18.7","","36.7","","0.0","","0.0","","2.5","","2.5","","","","","","",""
"1951-01-08","1951","01","08","","-7.8","","-13.3","","-10.6","","28.6","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1951-01-09","1951","01","09","","-2.8","","-22.2","","-12.5","","30.5","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1951-01-10","1951","01","10","","1.1","","-12.2","","-5.6","","23.6","","0.0","","0.0","","1.8","","1.8","","","","","","",""
"1951-01-11","1951","01","11","","-0.6","","-6.1","","-3.4","","21.4","","0.0","","0.0","","8.4","","8.4","","","","","","",""
"1951-01-12","1951","01","12","","-0.6","","-3.3","","-2.0","","20.0","","0.0","","0.0","","2.5","","2.5","","","","","","",""
"1951-01-13","1951","01","13","","-4.4","","-21.1","","-12.8","","30.8","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1951-01-14","1951","01","14","","0.0","","-18.9","","-9.5","","27.5","","0.0","","0.0","","6.4","","6.4","","","","","","",""
"1951-01-15","1951","01","15","","0.0","","-13.3","","-6.7","","24.7","","0.0","","0.0","","7.6","","7.6","","","","","","",""
"1951-01-16","1951","01","16","","-5.6","","-7.2","","-6.4","","24.4","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1951-01-17","1951","01","17","","-6.7","","-18.9","","-12.8","","30.8","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1951-01-18","1951","01","18","","0.0","","-13.9","","-7.0","","25.0","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1951-01-19","1951","01","19","","1.7","","-11.7","","-5.0","","23.0","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1951-01-20","1951","01","20","","1.7","","-9.4","","-3.9","","21.9","","0.0","","3.6","","1.3","","4.8","","","","","","",""
"1951-01-21","1951","01","21","","0.0","","-7.8","","-3.9","","21.9","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1951-01-22","1951","01","22","","-18.9","","-28.3","","-23.6","","41.6","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1951-01-23","1951","01","23","","0.6","","-26.7","","-13.1","","31.1","","0.0","","0.0","","19.1","","19.1","","","","","","",""
"1951-01-24","1951","01","24","","2.8","","-23.3","","-10.3","","28.3","","0.0","","2.8","","0.0","","2.8","","","","","","",""
"1951-01-25","1951","01","25","","-2.2","","-11.1","","-6.7","","24.7","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1951-01-26","1951","01","26","","-4.4","","-13.3","","-8.9","","26.9","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1951-01-27","1951","01","27","","-15.6","","-21.7","","-18.7","","36.7","","0.0","","0.0","","0.0","","0.0","","","","","","",""
