"Station Name","L'ASSOMPTION"
"Province","QUEBEC"
"Latitude","45.81"
"Longitude","-73.43"
"Elevation","21.00"
"Climate Identifier","7014160"
"WMO Identifier","71524"
"TC Identifier","WEW"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1993-01-01","1993","01","01","","-5.5","","-11.5","","-8.5","","26.5","","0.0","","0.0","","0.0","","0.0","","8","","","","",""
"1993-01-02","1993","01","02","","-12.0","","-19.0","","-15.5","","33.5","","0.0","","0.0","","0.0","","0.0","","8","","","","",""
"1993-01-03","1993","01","03","","1.0","","-21.0","","-10.0","","28.0","","0.0","","8.8","","1.0","","9.8","","7","","","","",""
"1993-01-04","1993","01","04","","5.5","","-9.5","","-2.0","","20.0","","0.0","","40.8","","0.0","","40.8","","9","","","","",""
"1993-01-05","1993","01","05","","2.0","","-4.5","","-1.3","","19.3","","0.0","","2.0","","4.5","","6.5","","2","","","","",""
"1993-01-06","1993","01","06","","-5.5","","-12.5","","-9.0","","27.0","","0.0","","0.0","","0.5","","0.5","","7","","","","",""
"1993-01-07","1993","01","07","","-0.5","","-13.5","","-7.0","","25.0","","0.0","","0.0","","2.0","","2.0","","7","","","","",""
"1993-01-08","1993","01","08","","-4.5","","-8.0","","-6.3","","24.3","","0.0","","0.0","","0.2","","0.2","","9","","","","",""
"1993-01-09","1993","01","09","","-16.0","","-21.0","","-18.5","","36.5","","0.0","","0.0","","0.0","","0.0","","9","","","","",""
"1993-01-10","1993","01","10","","-16.5","","-25.5","","-21.0","","39.0","","0.0","","0.0","","0.0","","0.0","","9","","","","",""
"1993-01-11","1993","01","11","","-9.5","","-21.5","","-15.5","","33.5","","0.0","","0.0","","0.0","","0.0","","8","","","","",""
"1993-01-12","1993","01","12","","-7.5","","-22.0","","-14.8","","32.8","","0.0","","0.0","","0.0","","0.0","","8","","","","",""
"1993-01-13","1993","01","13","","-9.0","","-16.0","","-12.5","","30.5","","0.0","","0.0","","8.0","","8.0","","7","","","","",""
"1993-01-14","1993","01","14","","-10.5","","-14.0","","-12.3","","30.3","","0.0","","0.0","","0.0","T","0.0","T","6","","","","",""
"1993-01-15","1993","01","15","","-9.5","","-19.0","","-14.3","","32.3","","0.0","","0.0","","2.2","","2.2","","6","","","","",""
"1993-01-16","1993","01","16","","-1.5","","-22.5","","-12.0","","30.0","","0.0","","0.0","","0.0","","0.0","","5","","","","",""
"1993-01-17","1993","01","17","","-1.0","","-3.0","","-2.0","","20.0","","0.0","","0.0","","0.4","","0.4","","5","","","","",""
"1993-01-18","1993","01","18","","-11.0","","-16.0","","-13.5","","31.5","","0.0","","0.0","","0.0","","0.0","","5","","","","",""
"1993-01-19","1993","01","19","","-5.5","","-25.0","","-15.3","","33.3","","0.0","","0.0","","0.0","","0.0","","5","","","","",""
"1993-01-20","1993","01","20","","-1.0","","-17.0","","-9.0","","27.0","","0.0","","0.0","","0.0","","0.0","","5","","","","",""
"1993-01-21","1993","01","21","","-0.5","","-16.0","","-8.3","","26.3","","0.0","","5.6","","0.0","","5.6","","5","","","","",""
"1993-01-22","1993","01","22","","1.5","","-7.0","","-2.8","","20.8","","0.0","","6.0","","0.0","","6.0","","5","","","","",""
"1993-01-23","1993","01","23","","3.5","","0.5","","2.0","","16.0","","0.0","","0.0","","0.0","","0.0","","5","","","","",""
"1993-01-24","1993","01","24","","3.5","","-1.0","","1.3","","16.7","","0.0","","12.6","","0.0","","12.6","","3","","","","",""
"1993-01-25","1993","01","25","","-9.0","","-11.5","","-10.3","","28.3","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
"1993-01-26","1993","01","26","","-2.5","","-16.5","","-9.5","","27.5","","0.0","","0.0","","0.0","T","0.0","T","0","T","","","",""
"1993-01-27","1993","01","27","","-1.0","","-10.0","","-5.5","","23.5","","0.0","","0.0","","1.5","","1.5","","0","T","","","",""
"1993-01-28","1993","01","28","","-9.5","","-19.5","","-14.5","","32.5","","0.0","","0.0","","9.0","","9.0","","3","","","","",""
"1993-01-29","1993","01","29","","-9.0","","-14.5","","-11.8","","29.8","","0.0","","0.0","","1.0","","1.0","","10","","","","",""
"1993-01-30","1993","01","30","","-22.5","","-24.5","","-23.5","","41.5","","0.0","","0.0","","4.0","","4.0","","9","","","","",""
"1993-01-31","1993","01","31","","-15.5","","-28.0","","-21.8","","39.8","","0.0","","0.0","","9.0","","9.0","","10","","","","",""
"1993-02-01","1993","02","01","","-14.5","","-21.0","","-17.8","","35.8","","0.0","","0.0","","0.0","","0.0","","13","","","","",""
"1993-02-02","1993","02","02","","-9.0","","-29.5","","-19.3","","37.3","","0.0","","0.0","","0.0","","0.0","","12","","","","",""
"1993-02-03","1993","02","03","","0.0","","-16.0","","-8.0","","26.0","","0.0","","0.0","","0.0","","0.0","","11","","","","",""
"1993-02-04","1993","02","04","","-4.5","","-12.0","","-8.3","","26.3","","0.0","","0.0","","0.0","","0.0","","7","","","","",""
"1993-02-05","1993","02","05","","-3.5","","-12.0","","-7.8","","25.8","","0.0","","0.0","","0.5","","0.5","","7","","","","",""
"1993-02-06","1993","02","06","","-22.0","","-28.0","","-25.0","","43.0","","0.0","","0.0","","0.0","","0.0","","7","","","","",""
"1993-02-07","1993","02","07","","-17.5","","-33.0","","-25.3","","43.3","","0.0","","0.0","","2.0","","2.0","","7","","","","",""
"1993-02-08","1993","02","08","","-9.5","","-21.5","","-15.5","","33.5","","0.0","","0.0","","0.0","","0.0","","9","","","","",""
"1993-02-09","1993","02","09","","-11.5","","-27.5","","-19.5","","37.5","","0.0","","0.0","","0.0","","0.0","","8","","","","",""
"1993-02-10","1993","02","10","","-5.0","","-14.0","","-9.5","","27.5","","0.0","","0.0","","0.2","","0.2","","7","","","","",""
"1993-02-11","1993","02","11","","-12.5","","-21.0","","-16.8","","34.8","","0.0","","0.0","","0.0","","0.0","","7","","","","",""
"1993-02-12","1993","02","12","","-6.5","","-25.5","","-16.0","","34.0","","0.0","","0.0","","28.0","","28.0","","6","","","","",""
"1993-02-13","1993","02","13","","-4.0","","-9.0","","-6.5","","24.5","","0.0","","0.0","","6.2","","6.2","","28","","","","",""
"1993-02-14","1993","02","14","","-4.0","","-9.5","","-6.8","","24.8","","0.0","","0.0","","0.0","","0.0","","26","","","","",""
"1993-02-15","1993","02","15","","-5.5","","-22.5","","-14.0","","32.0","","0.0","","0.0","","0.0","T","0.0","T","27","","","","",""
"1993-02-16","1993","02","16","","-2.5","","-15.5","","-9.0","","27.0","","0.0","","0.0","","16.4","","16.4","","26","","","","",""
"1993-02-17","1993","02","17","","-4.0","","-7.0","","-5.5","","23.5","","0.0","","0.0","","0.0","","0.0","","33","","","","",""
"1993-02-18","1993","02","18","","-14.5","","-31.0","","-22.8","","40.8","","0.0","","0.0","","0.0","","0.0","","29","","","","",""
"1993-02-19","1993","02","19","","-12.0","","-31.5","","-21.8","","39.8","","0.0","","0.0","","0.0","T","0.0","T","28","","","","",""
"1993-02-20","1993","02","20","","-13.0","","-27.0","","-20.0","","38.0","","0.0","","0.0","","0.0","","0.0","","28","","","","",""
"1993-02-21","1993","02","21","","-12.5","","-32.5","","-22.5","","40.5","","0.0","","0.0","","7.0","","7.0","","28","","","","",""
"1993-02-22","1993","02","22","","-10.5","","-17.0","","-13.8","","31.8","","0.0","","0.0","T","7.0","","7.0","","29","","","","",""
