"Station Name","L'ASSOMPTION"
"Province","QUEBEC"
"Latitude","45.81"
"Longitude","-73.43"
"Elevation","21.00"
"Climate Identifier","7014160"
"WMO Identifier","71524"
"TC Identifier","WEW"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1979-01-01","1979","01","01","","6.1","","-2.8","","1.7","","16.3","","0.0","","8.6","","0.0","","8.6","","38","","","","",""
"1979-01-02","1979","01","02","","1.1","","-2.8","","-0.9","","18.9","","0.0","","1.8","","4.3","","6.1","","33","","","","",""
"1979-01-03","1979","01","03","","-10.6","","-14.4","","-12.5","","30.5","","0.0","","0.0","","0.0","","0.0","","35","","","","",""
"1979-01-04","1979","01","04","","-9.4","","-18.3","","-13.9","","31.9","","0.0","","0.0","","0.0","","0.0","","35","","","","",""
"1979-01-05","1979","01","05","","-10.0","","-20.6","","-15.3","","33.3","","0.0","","0.0","","0.0","","0.0","","35","","","","",""
"1979-01-06","1979","01","06","","-4.4","","-16.1","","-10.3","","28.3","","0.0","","0.0","","0.0","T","0.0","T","35","","","","",""
"1979-01-07","1979","01","07","","-5.0","","-10.0","","-7.5","","25.5","","0.0","","0.0","","6.1","","6.1","","35","","","","",""
"1979-01-08","1979","01","08","","-5.0","","-7.2","","-6.1","","24.1","","0.0","","0.0","","1.3","","1.3","","35","","","","",""
"1979-01-09","1979","01","09","","-8.3","","-20.6","","-14.5","","32.5","","0.0","","0.0","","0.0","T","0.0","T","38","","","","",""
"1979-01-10","1979","01","10","","-12.8","","-19.4","","-16.1","","34.1","","0.0","","0.0","","0.0","","0.0","","38","","","","",""
"1979-01-11","1979","01","11","","-18.9","","-31.1","","-25.0","","43.0","","0.0","","0.0","","0.0","","0.0","","38","","","","",""
"1979-01-12","1979","01","12","","-16.7","","-31.1","","-23.9","","41.9","","0.0","","0.0","","0.3","","0.3","","35","","","","",""
"1979-01-13","1979","01","13","","-3.3","","-20.0","","-11.7","","29.7","","0.0","","7.9","","16.8","","24.7","","35","","","","",""
"1979-01-14","1979","01","14","","1.1","","-11.1","","-5.0","","23.0","","0.0","","1.5","","2.5","","4.0","","43","","","","",""
"1979-01-15","1979","01","15","","-12.8","","-21.1","","-17.0","","35.0","","0.0","","0.0","","0.5","","0.5","","48","","","","",""
"1979-01-16","1979","01","16","","-10.0","","-21.1","","-15.6","","33.6","","0.0","","0.0","","0.0","","0.0","","48","","","","",""
"1979-01-17","1979","01","17","","-17.2","","-32.8","","-25.0","","43.0","","0.0","","0.0","","6.4","","6.4","","48","","","","",""
"1979-01-18","1979","01","18","","-15.6","","-21.1","","-18.4","","36.4","","0.0","","0.0","","0.0","","0.0","","53","","","","",""
"1979-01-19","1979","01","19","","-17.2","","-32.8","","-25.0","","43.0","","0.0","","0.0","","0.0","","0.0","","53","","","","",""
"1979-01-20","1979","01","20","","-7.2","","-27.2","","-17.2","","35.2","","0.0","","0.0","","2.0","","2.0","","53","","","","",""
"1979-01-21","1979","01","21","","-5.0","","-13.3","","-9.2","","27.2","","0.0","","0.0","","10.9","","10.9","","53","","","","",""
"1979-01-22","1979","01","22","","-3.9","","-7.8","","-5.9","","23.9","","0.0","","0.0","","0.0","","0.0","","55","","","","",""
"1979-01-23","1979","01","23","","-5.0","","-15.6","","-10.3","","28.3","","0.0","","0.0","","0.0","","0.0","","55","","","","",""
"1979-01-24","1979","01","24","","0.0","","-16.1","","-8.1","","26.1","","0.0","","0.0","","0.0","","0.0","","55","","","","",""
"1979-01-25","1979","01","25","","3.9","","-5.0","","-0.6","","18.6","","0.0","","0.8","","4.1","","4.9","","55","","","","",""
"1979-01-26","1979","01","26","","4.4","","1.1","","2.8","","15.2","","0.0","","0.5","","0.0","","0.5","","50","","","","",""
"1979-01-27","1979","01","27","","5.0","","0.0","","2.5","","15.5","","0.0","","3.3","","0.0","","3.3","","48","","","","",""
"1979-01-28","1979","01","28","","4.4","","0.6","","2.5","","15.5","","0.0","","1.5","","0.0","","1.5","","48","","","","",""
"1979-01-29","1979","01","29","","5.6","","1.1","","3.4","","14.6","","0.0","","0.0","","0.0","","0.0","","40","","","","",""
"1979-01-30","1979","01","30","","-1.7","","-3.9","","-2.8","","20.8","","0.0","","0.0","","8.6","","8.6","","38","","","","",""
"1979-01-31","1979","01","31","","-6.1","","-7.2","","-6.7","","24.7","","0.0","","0.0","","9.9","","9.9","","43","","","","",""
"1979-02-01","1979","02","01","","-6.7","","-10.6","","-8.7","","26.7","","0.0","","0.0","","2.3","","2.3","","50","","","","",""
"1979-02-02","1979","02","02","","-8.9","","-12.2","","-10.6","","28.6","","0.0","","0.0","","0.0","","0.0","","50","","","","",""
"1979-02-03","1979","02","03","","-12.2","","-22.2","","-17.2","","35.2","","0.0","","0.0","","0.0","","0.0","","50","","","","",""
"1979-02-04","1979","02","04","","-10.0","","-29.4","","-19.7","","37.7","","0.0","","0.0","","2.3","","2.3","","50","","","","",""
"1979-02-05","1979","02","05","","-10.6","","-16.7","","-13.7","","31.7","","0.0","","0.0","","0.0","","0.0","","53","","","","",""
"1979-02-06","1979","02","06","","-14.4","","-22.8","","-18.6","","36.6","","0.0","","0.0","","0.0","","0.0","","53","","","","",""
"1979-02-07","1979","02","07","","-13.3","","-27.8","","-20.6","","38.6","","0.0","","0.0","","0.5","","0.5","","53","","","","",""
"1979-02-08","1979","02","08","","-10.6","","-18.3","","-14.5","","32.5","","0.0","","0.0","","1.3","","1.3","","53","","","","",""
"1979-02-09","1979","02","09","","-15.6","","-22.8","","-19.2","","37.2","","0.0","","0.0","","0.0","","0.0","","53","","","","",""
"1979-02-10","1979","02","10","","-17.8","","-35.0","","-26.4","","44.4","","0.0","","0.0","","0.0","","0.0","","53","","","","",""
"1979-02-11","1979","02","11","","-21.1","","-32.2","","-26.7","","44.7","","0.0","","0.0","","0.0","","0.0","","53","","","","",""
"1979-02-12","1979","02","12","","-17.2","","-30.0","","-23.6","","41.6","","0.0","","0.0","","0.0","","0.0","","53","","","","",""
"1979-02-13","1979","02","13","","-18.9","","-30.6","","-24.8","","42.8","","0.0","","0.0","","0.0","","0.0","","53","","","","",""
"1979-02-14","1979","02","14","","-18.3","","-32.2","","-25.3","","43.3","","0.0","","0.0","","0.0","","0.0","","53","","","","",""
"1979-02-15","1979","02","15","","-16.7","","-32.8","","-24.8","","42.8","","0.0","","0.0","","0.0","","0.0","","50","","","","",""
"1979-02-16","1979","02","16","","-14.4","","-25.0","","-19.7","","37.7","","0.0","","0.0","","0.0","","0.0","","50","","","","",""
"1979-02-17","1979","02","17","","-20.0","","-31.1","","-25.6","","43.6","","0.0","","0.0","","0.0","","0.0","","50","","","","",""
"1979-02-18","1979","02","18","","-16.7","","-35.0","","-25.9","","43.9","","0.0","","0.0","","0.0","","0.0","","50","","","","",""
"1979-02-19","1979","02","19","","-10.0","","-31.7","","-20.9","","38.9","","0.0","","0.0","","0.0","","0.0","","50","","","","",""
"1979-02-20","1979","02","20","","-2.2","","-15.0","","-8.6","","26.6","","0.0","","0.0","","0.0","","0.0","","50","","","","",""
"1979-02-21","1979","02","21","","2.8","","-12.2","","-4.7","","22.7","","0.0","","1.0","","1.5","","2.5","","50","","","","",""
"1979-02-22","1979","02","22","","2.8","","-2.2","","0.3","","17.7","","0.0","","0.0","","0.0","","0.0","","50","","","","",""
"1979-02-23","1979","02","23","","3.9","","-9.4","","-2.8","","20.8","","0.0","","1.5","","0.0","","1.5","","50","","","","",""
"1979-02-24","1979","02","24","","2.8","","-2.8","","0.0","","18.0","","0.0","","0.0","","0.0","","0.0","","48","","","","",""
"1979-02-25","1979","02","25","","-5.0","","-12.8","","-8.9","","26.9","","0.0","","0.0","","2.0","","2.0","","48","","","","",""
"1979-02-26","1979","02","26","","-4.4","","-8.3","","-6.4","","24.4","","0.0","","0.5","","6.6","","7.1","","48","","","","",""
"1979-02-27","1979","02","27","","-2.2","","-7.2","","-4.7","","22.7","","0.0","","0.0","","1.5","","1.5","","48","","","","",""
"1979-02-28","1979","02","28","","2.8","","-10.6","","-3.9","","21.9","","0.0","","0.0","","0.0","","0.0","","48","","","","",""
"1979-03-01","1979","03","01","","-2.2","","-5.0","","-3.6","","21.6","","0.0","","0.0","","1.8","","1.8","","45","","","","",""
