"Station Name","L'ASSOMPTION"
"Province","QUEBEC"
"Latitude","45.81"
"Longitude","-73.43"
"Elevation","21.00"
"Climate Identifier","7014160"
"WMO Identifier","71524"
"TC Identifier","WEW"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2010-01-01","2010","01","01","†","-3.5","","-6.1","","-4.8","","22.8","","0.0","","0.0","","","M","5.0","","10","","","","<31",""
"2010-01-02","2010","01","02","†","-3.8","","-8.6","","-6.2","","24.2","","0.0","","0.0","","","M","5.0","","12","","32","","33",""
"2010-01-03","2010","01","03","†","2.2","","-9.3","","-3.6","","21.6","","0.0","","","M","","M","7.0","","23","","30","","35",""
"2010-01-04","2010","01","04","†","-2.5","","-10.6","","-6.6","","24.6","","0.0","","0.0","","","M","2.0","","20","","22","","32",""
"2010-01-05","2010","01","05","†","-5.4","","-8.0","","-6.7","","24.7","","0.0","","","M","","M","1.0","","24","","","","<31",""
"2010-01-06","2010","01","06","†","-3.4","","-6.6","","-5.0","","23.0","","0.0","","","M","","M","0.0","","22","","25","","33",""
"2010-01-07","2010","01","07","†","-4.1","","-11.6","","-7.9","","25.9","","0.0","","","M","","M","0.0","","22","","","","<31",""
"2010-01-08","2010","01","08","†","-5.8","","-14.1","","-10.0","","28.0","","0.0","","","M","","M","0.0","","20","","34","","33",""
"2010-01-09","2010","01","09","†","-11.6","","-21.3","","-16.5","","34.5","","0.0","","","M","","M","0.0","","19","","","","<31",""
"2010-01-10","2010","01","10","†","-9.6","","-20.2","","-14.9","","32.9","","0.0","","","M","","M","0.0","","19","","22","","33",""
"2010-01-11","2010","01","11","†","-4.3","","-9.8","","-7.1","","25.1","","0.0","","","M","","M","0.0","","18","","24","","32",""
"2010-01-12","2010","01","12","†","-7.4","","-22.0","","-14.7","","32.7","","0.0","","","M","","M","0.0","","18","","","","<31",""
"2010-01-13","2010","01","13","†","-9.5","","-21.8","","-15.7","","33.7","","0.0","","","M","","M","0.0","","18","","","","<31",""
"2010-01-14","2010","01","14","†","-6.8","","-10.6","","-8.7","","26.7","","0.0","","","M","","M","","M","18","","","","<31",""
"2010-01-15","2010","01","15","†","2.8","","-6.8","","-2.0","","20.0","","0.0","","","M","","M","1.0","","18","","25","","39",""
"2010-01-16","2010","01","16","†","1.6","","-3.6","","-1.0","","19.0","","0.0","","","M","","M","0.0","","15","","24","","48",""
"2010-01-17","2010","01","17","†","-3.6","","-9.4","","-6.5","","24.5","","0.0","","","M","","M","0.0","","14","","6","","32",""
"2010-01-18","2010","01","18","†","-3.4","","-8.1","","-5.8","","23.8","","0.0","","","M","","M","0.0","","14","","","","<31",""
"2010-01-19","2010","01","19","†","-1.0","","-3.4","","-2.2","","20.2","","0.0","","0.0","","","M","1.1","","13","","","","<31",""
"2010-01-20","2010","01","20","†","0.2","","-5.1","","-2.5","","20.5","","0.0","","0.0","","","M","1.0","","15","","","","<31",""
