"Station Name","L'ASSOMPTION"
"Province","QUEBEC"
"Latitude","45.81"
"Longitude","-73.43"
"Elevation","21.00"
"Climate Identifier","7014160"
"WMO Identifier","71524"
"TC Identifier","WEW"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1991-01-01","1991","01","01","","-0.5","","-22.0","","-11.3","","29.3","","0.0","","0.0","","0.0","T","0.0","T","6","","","","",""
"1991-01-02","1991","01","02","","1.0","","-8.5","","-3.8","","21.8","","0.0","","0.0","","0.0","","0.0","","5","","","","",""
"1991-01-03","1991","01","03","","-7.5","","-21.0","","-14.3","","32.3","","0.0","","0.0","","0.0","T","0.0","T","5","","","","",""
"1991-01-04","1991","01","04","","-3.5","","-11.0","","-7.3","","25.3","","0.0","","0.0","","0.0","","0.0","","5","","","","",""
"1991-01-05","1991","01","05","","-2.5","","-10.5","","-6.5","","24.5","","0.0","","0.0","","3.0","","3.0","","5","","","","",""
"1991-01-06","1991","01","06","","-1.0","","-8.0","","-4.5","","22.5","","0.0","","0.0","","0.0","","0.0","","8","","","","",""
"1991-01-07","1991","01","07","","-9.5","","-18.5","","-14.0","","32.0","","0.0","","0.0","","0.0","","0.0","","7","","","","",""
"1991-01-08","1991","01","08","","-15.0","","-25.5","","-20.3","","38.3","","0.0","","0.0","","0.0","T","0.0","T","7","","","","",""
"1991-01-09","1991","01","09","","-5.5","","-21.0","","-13.3","","31.3","","0.0","","0.0","","4.9","","4.9","","7","","","","",""
"1991-01-10","1991","01","10","","-13.0","","-16.0","","-14.5","","32.5","","0.0","","0.0","","0.0","","0.0","","9","","","","",""
"1991-01-11","1991","01","11","","-13.5","","-28.0","","-20.8","","38.8","","0.0","","0.0","","18.0","","18.0","","8","","","","",""
"1991-01-12","1991","01","12","","-10.5","","-19.5","","-15.0","","33.0","","0.0","","0.0","","4.5","","4.5","","24","","","","",""
"1991-01-13","1991","01","13","","-6.5","","-20.0","","-13.3","","31.3","","0.0","","0.0","","0.0","","0.0","","26","","","","",""
"1991-01-14","1991","01","14","","-3.0","","-13.0","","-8.0","","26.0","","0.0","","0.0","","5.6","","5.6","","23","","","","",""
