"Station Name","L'ASSOMPTION"
"Province","QUEBEC"
"Latitude","45.81"
"Longitude","-73.43"
"Elevation","21.00"
"Climate Identifier","7014160"
"WMO Identifier","71524"
"TC Identifier","WEW"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1967-01-01","1967","01","01","","-1.7","","-10.0","","-5.9","","23.9","","0.0","","0.0","","3.0","","3.0","","33","","","","",""
"1967-01-02","1967","01","02","","-0.6","","-15.6","","-8.1","","26.1","","0.0","","0.0","","0.0","T","0.0","T","36","","","","",""
"1967-01-03","1967","01","03","","1.1","","-12.2","","-5.6","","23.6","","0.0","","0.0","","0.8","","0.8","","36","","","","",""
"1967-01-04","1967","01","04","","1.1","","-2.2","","-0.6","","18.6","","0.0","","0.0","","0.3","","0.3","","30","","","","",""
"1967-01-05","1967","01","05","","0.0","","-2.2","","-1.1","","19.1","","0.0","","0.0","","0.3","","0.3","","25","","","","",""
"1967-01-06","1967","01","06","","-14.4","","-21.7","","-18.1","","36.1","","0.0","","0.0","","0.0","","0.0","","25","","","","",""
"1967-01-07","1967","01","07","","-4.4","","-27.8","","-16.1","","34.1","","0.0","","0.0","","3.3","","3.3","","25","","","","",""
"1967-01-08","1967","01","08","","1.1","","-13.9","","-6.4","","24.4","","0.0","","0.0","","0.0","","0.0","","28","","","","",""
"1967-01-09","1967","01","09","","-4.4","","-9.4","","-6.9","","24.9","","0.0","","0.0","","0.0","","0.0","","28","","","","",""
"1967-01-10","1967","01","10","","-6.1","","-12.8","","-9.5","","27.5","","0.0","","0.0","","1.3","","1.3","","28","","","","",""
"1967-01-11","1967","01","11","","-3.9","","-12.8","","-8.4","","26.4","","0.0","","0.0","","0.0","","0.0","","30","","","","",""
"1967-01-12","1967","01","12","","-0.6","","-17.8","","-9.2","","27.2","","0.0","","0.0","","5.3","","5.3","","30","","","","",""
"1967-01-13","1967","01","13","","2.2","","-5.6","","-1.7","","19.7","","0.0","","0.0","","0.0","","0.0","","33","","","","",""
"1967-01-14","1967","01","14","","2.2","","-7.2","","-2.5","","20.5","","0.0","","1.0","","0.0","","1.0","","33","","","","",""
"1967-01-15","1967","01","15","","1.7","","-3.3","","-0.8","","18.8","","0.0","","0.0","","0.3","","0.3","","28","","","","",""
"1967-01-16","1967","01","16","","-4.4","","-21.1","","-12.8","","30.8","","0.0","","0.0","","2.0","","2.0","","28","","","","",""
"1967-01-17","1967","01","17","","0.6","","-20.6","","-10.0","","28.0","","0.0","","0.0","","0.0","T","0.0","T","30","","","","",""
"1967-01-18","1967","01","18","","-20.0","","-28.3","","-24.2","","42.2","","0.0","","0.0","","0.0","","0.0","","30","","","","",""
"1967-01-19","1967","01","19","","-15.0","","-33.9","","-24.5","","42.5","","0.0","","0.0","","0.3","","0.3","","30","","","","",""
"1967-01-20","1967","01","20","","-8.9","","-21.1","","-15.0","","33.0","","0.0","","0.0","","0.8","","0.8","","30","","","","",""
"1967-01-21","1967","01","21","","-3.3","","-14.4","","-8.9","","26.9","","0.0","","0.0","","0.3","","0.3","","30","","","","",""
"1967-01-22","1967","01","22","","-3.9","","-8.3","","-6.1","","24.1","","0.0","","2.5","","3.0","","5.6","","30","","","","",""
"1967-01-23","1967","01","23","","-2.8","","-8.3","","-5.6","","23.6","","0.0","","3.6","","0.0","","3.6","","33","","","","",""
"1967-01-24","1967","01","24","","5.0","","-7.8","","-1.4","","19.4","","0.0","","0.5","","0.0","","0.5","","33","","","","",""
"1967-01-25","1967","01","25","","2.2","","-8.9","","-3.4","","21.4","","0.0","","7.6","","0.0","","7.6","","30","","","","",""
"1967-01-26","1967","01","26","","1.1","","-1.1","","0.0","","18.0","","0.0","","0.0","","0.0","","0.0","","30","","","","",""
"1967-01-27","1967","01","27","","-6.7","","-10.6","","-8.7","","26.7","","0.0","","0.0","","25.1","","25.1","","30","","","","",""
"1967-01-28","1967","01","28","","-6.1","","-8.3","","-7.2","","25.2","","0.0","","0.0","","1.5","","1.5","","41","","","","",""
"1967-01-29","1967","01","29","","-6.7","","-10.0","","-8.4","","26.4","","0.0","","0.0","","0.0","","0.0","","41","","","","",""
"1967-01-30","1967","01","30","","-7.2","","-14.4","","-10.8","","28.8","","0.0","","0.0","","0.0","","0.0","","41","","","","",""
"1967-01-31","1967","01","31","","-8.3","","-16.7","","-12.5","","30.5","","0.0","","0.0","","0.5","","0.5","","41","","","","",""
"1967-02-01","1967","02","01","","-3.3","","-14.4","","-8.9","","26.9","","0.0","","0.0","","1.0","","1.0","","41","","","","",""
"1967-02-02","1967","02","02","","-4.4","","-11.7","","-8.1","","26.1","","0.0","","0.0","","2.5","","2.5","","41","","","","",""
"1967-02-03","1967","02","03","","-13.3","","-26.7","","-20.0","","38.0","","0.0","","0.0","","0.0","","0.0","","43","","","","",""
"1967-02-04","1967","02","04","","0.6","","-26.7","","-13.1","","31.1","","0.0","","0.0","","2.3","","2.3","","43","","","","",""
"1967-02-05","1967","02","05","","-1.1","","-9.4","","-5.3","","23.3","","0.0","","0.0","","0.0","","0.0","","43","","","","",""
"1967-02-06","1967","02","06","","-18.9","","-27.8","","-23.4","","41.4","","0.0","","0.0","","0.0","","0.0","","43","","","","",""
"1967-02-07","1967","02","07","","-16.1","","-30.6","","-23.4","","41.4","","0.0","","0.0","","0.0","","0.0","","43","","","","",""
"1967-02-08","1967","02","08","","-8.9","","-28.3","","-18.6","","36.6","","0.0","","0.0","","0.3","","0.3","","43","","","","",""
"1967-02-09","1967","02","09","","-5.0","","-12.8","","-8.9","","26.9","","0.0","","0.0","","0.0","T","0.0","T","43","","","","",""
"1967-02-10","1967","02","10","","2.2","","-19.4","","-8.6","","26.6","","0.0","","0.0","","0.3","","0.3","","43","","","","",""
"1967-02-11","1967","02","11","","1.7","","-17.2","","-7.8","","25.8","","0.0","","0.0","","0.3","","0.3","","43","","","","",""
"1967-02-12","1967","02","12","","-25.0","","-31.7","","-28.4","","46.4","","0.0","","0.0","","0.0","","0.0","","43","","","","",""
"1967-02-13","1967","02","13","","-18.3","","-36.7","","-27.5","","45.5","","0.0","","0.0","","0.0","T","0.0","T","43","","","","",""
"1967-02-14","1967","02","14","","-8.3","","-30.0","","-19.2","","37.2","","0.0","","0.0","","0.8","","0.8","","43","","","","",""
"1967-02-15","1967","02","15","","-2.2","","-15.0","","-8.6","","26.6","","0.0","","0.0","","6.6","","6.6","","43","","","","",""
"1967-02-16","1967","02","16","","-10.6","","-14.4","","-12.5","","30.5","","0.0","","0.0","","3.0","","3.0","","46","","","","",""
"1967-02-17","1967","02","17","","-15.0","","-28.9","","-22.0","","40.0","","0.0","","0.0","","0.0","","0.0","","46","","","","",""
"1967-02-18","1967","02","18","","-16.1","","-34.4","","-25.3","","43.3","","0.0","","0.0","","0.0","","0.0","","46","","","","",""
"1967-02-19","1967","02","19","","-13.3","","-35.0","","-24.2","","42.2","","0.0","","0.0","","0.3","","0.3","","46","","","","",""
"1967-02-20","1967","02","20","","-8.9","","-28.9","","-18.9","","36.9","","0.0","","0.0","","6.9","","6.9","","46","","","","",""
"1967-02-21","1967","02","21","","-6.1","","-12.8","","-9.5","","27.5","","0.0","","0.0","","0.5","","0.5","","48","","","","",""
"1967-02-22","1967","02","22","","-4.4","","-22.8","","-13.6","","31.6","","0.0","","0.0","","0.3","","0.3","","48","","","","",""
"1967-02-23","1967","02","23","","-0.6","","-12.2","","-6.4","","24.4","","0.0","","0.0","","4.8","","4.8","","48","","","","",""
"1967-02-24","1967","02","24","","-12.2","","-13.9","","-13.1","","31.1","","0.0","","0.0","","1.8","","1.8","","51","","","","",""
"1967-02-25","1967","02","25","","-12.2","","-20.0","","-16.1","","34.1","","0.0","","0.0","","0.0","","0.0","","51","","","","",""
