"Station Name","L'ASSOMPTION"
"Province","QUEBEC"
"Latitude","45.81"
"Longitude","-73.43"
"Elevation","21.00"
"Climate Identifier","7014160"
"WMO Identifier","71524"
"TC Identifier","WEW"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2002-01-01","2002","01","01","†","-8.0","","-16.5","","-12.3","","30.3","","0.0","","","M","","M","0.0","","5","","24","","33",""
"2002-01-02","2002","01","02","†","-3.7","","-10.6","","-7.2","","25.2","","0.0","","","M","","M","0.0","","5","","25","","41",""
"2002-01-03","2002","01","03","†","-1.3","","-9.4","","-5.4","","23.4","","0.0","","","M","","M","0.0","","5","","24","","37",""
"2002-01-04","2002","01","04","†","-4.1","","-16.9","","-10.5","","28.5","","0.0","","","M","","M","0.0","","5","","","","<31",""
"2002-01-05","2002","01","05","†","0.6","","-9.4","","-4.4","","22.4","","0.0","","","M","","M","2.0","","5","","","","<31",""
"2002-01-06","2002","01","06","†","1.5","","-0.4","","0.6","","17.4","","0.0","","","M","","M","0.0","","5","","","","<31",""
"2002-01-07","2002","01","07","†","0.3","","-15.7","","-7.7","","25.7","","0.0","","","M","","M","0.0","","5","","1","","44",""
"2002-01-08","2002","01","08","†","-0.8","","-14.3","","-7.6","","25.6","","0.0","","","M","","M","0.0","","4","","23","","39",""
"2002-01-09","2002","01","09","†","0.3","","-1.7","","-0.7","","18.7","","0.0","","","M","","M","5.0","","5","","","","<31",""
"2002-01-10","2002","01","10","†","3.1","","0.3","","1.7","","16.3","","0.0","","","M","","M","0.0","","7","","","","<31",""
"2002-01-11","2002","01","11","†","2.0","","-3.1","","-0.6","","18.6","","0.0","","","M","","M","2.0","","4","","30","","35",""
"2002-01-12","2002","01","12","†","-2.7","","-8.2","","-5.5","","23.5","","0.0","","","M","","M","0.0","","1","","","","<31",""
"2002-01-13","2002","01","13","†","2.4","","-8.4","","-3.0","","21.0","","0.0","","","M","","M","1.0","","1","","29","","44",""
"2002-01-14","2002","01","14","†","-6.3","","-12.7","","-9.5","","27.5","","0.0","","","M","","M","0.0","","1","","27","","35",""
"2002-01-15","2002","01","15","†","-5.6","","-9.0","","-7.3","","25.3","","0.0","","","M","","M","5.0","","1","","","","<31",""
"2002-01-16","2002","01","16","†","-4.1","","-12.3","","-8.2","","26.2","","0.0","","","M","","M","","M","6","","","","<31",""
"2002-01-17","2002","01","17","†","-5.1","","-13.7","","-9.4","","27.4","","0.0","","","M","","M","","M","","","","","<31",""
"2002-01-18","2002","01","18","†","-3.5","","-17.9","","-10.7","","28.7","","0.0","","","M","","M","3.0","","8","","","","<31",""
"2002-01-19","2002","01","19","†","-9.8","","-23.0","","-16.4","","34.4","","0.0","","","M","","M","0.0","","11","","","","<31",""
"2002-01-20","2002","01","20","†","-1.7","","-12.3","","-7.0","","25.0","","0.0","","","M","","M","0.0","","8","","24","","37",""
