"Station Name","L'ASSOMPTION"
"Province","QUEBEC"
"Latitude","45.81"
"Longitude","-73.43"
"Elevation","21.00"
"Climate Identifier","7014160"
"WMO Identifier","71524"
"TC Identifier","WEW"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1987-01-01","1987","01","01","","-4.5","","-17.0","","-10.8","","28.8","","0.0","","0.0","","0.0","","0.0","","13","","","","",""
"1987-01-02","1987","01","02","","0.0","","-8.0","","-4.0","","22.0","","0.0","","0.0","","0.4","","0.4","","12","","","","",""
"1987-01-03","1987","01","03","","-5.0","","-9.0","","-7.0","","25.0","","0.0","","0.0","","0.0","","0.0","","13","","","","",""
"1987-01-04","1987","01","04","","-5.0","","-20.0","","-12.5","","30.5","","0.0","","0.0","","0.0","T","0.0","T","13","","","","",""
"1987-01-05","1987","01","05","","-1.5","","-12.0","","-6.8","","24.8","","0.0","","0.0","","0.0","","0.0","","13","","","","",""
"1987-01-06","1987","01","06","","-1.0","","-4.5","","-2.8","","20.8","","0.0","","0.0","","1.4","","1.4","","13","","","","",""
"1987-01-07","1987","01","07","","-0.5","","-3.5","","-2.0","","20.0","","0.0","","0.0","","1.8","","1.8","","14","","","","",""
"1987-01-08","1987","01","08","","-6.0","","-12.0","","-9.0","","27.0","","0.0","","0.0","","0.0","T","0.0","T","16","","","","",""
"1987-01-09","1987","01","09","","-2.5","","-12.0","","-7.3","","25.3","","0.0","","0.0","","0.0","T","0.0","T","16","","","","",""
"1987-01-10","1987","01","10","","-3.5","","-13.0","","-8.3","","26.3","","0.0","","0.0","","6.4","","6.4","","16","","","","",""
"1987-01-11","1987","01","11","","-1.0","","-5.5","","-3.3","","21.3","","0.0","","0.0","","0.2","","0.2","","20","","","","",""
"1987-01-12","1987","01","12","","-1.5","","-5.5","","-3.5","","21.5","","0.0","","0.0","","0.0","","0.0","","20","","","","",""
"1987-01-13","1987","01","13","","-1.0","","-4.0","","-2.5","","20.5","","0.0","","0.0","","0.0","","0.0","","19","","","","",""
"1987-01-14","1987","01","14","","1.0","","-14.0","","-6.5","","24.5","","0.0","","0.0","","0.0","","0.0","","18","","","","",""
"1987-01-15","1987","01","15","","2.5","","-2.5","","0.0","","18.0","","0.0","","0.0","","3.0","","3.0","","18","","","","",""
"1987-01-16","1987","01","16","","-11.5","","-20.5","","-16.0","","34.0","","0.0","","0.0","","0.0","","0.0","","21","","","","",""
"1987-01-17","1987","01","17","","-13.0","","-28.5","","-20.8","","38.8","","0.0","","0.0","","0.0","","0.0","","20","","","","",""
"1987-01-18","1987","01","18","","-11.5","","-25.5","","-18.5","","36.5","","0.0","","0.0","","12.0","","12.0","","19","","","","",""
"1987-01-19","1987","01","19","","-9.0","","-25.5","","-17.3","","35.3","","0.0","","0.0","","0.0","","0.0","","29","","","","",""
"1987-01-20","1987","01","20","","-14.0","","-24.0","","-19.0","","37.0","","0.0","","0.0","","1.8","","1.8","","29","","","","",""
"1987-01-21","1987","01","21","","-6.0","","-21.0","","-13.5","","31.5","","0.0","","0.0","","0.8","","0.8","","30","","","","",""
"1987-01-22","1987","01","22","","-4.5","","-19.0","","-11.8","","29.8","","0.0","","0.0","","28.0","","28.0","","30","","","","",""
"1987-01-23","1987","01","23","","-4.0","","-8.0","","-6.0","","24.0","","0.0","","0.0","","1.0","","1.0","","49","","","","",""
"1987-01-24","1987","01","24","","-17.0","","-31.5","","-24.3","","42.3","","0.0","","0.0","","0.0","","0.0","","49","","","","",""
"1987-01-25","1987","01","25","","-17.5","","-31.0","","-24.3","","42.3","","0.0","","0.0","","0.0","","0.0","","47","","","","",""
"1987-01-26","1987","01","26","","-15.0","","-32.5","","-23.8","","41.8","","0.0","","0.0","","0.0","","0.0","","45","","","","",""
"1987-01-27","1987","01","27","","-12.0","","-34.0","","-23.0","","41.0","","0.0","","0.0","","0.0","T","0.0","T","45","","","","",""
"1987-01-28","1987","01","28","","-6.5","","-21.5","","-14.0","","32.0","","0.0","","0.0","","0.2","","0.2","","44","","","","",""
"1987-01-29","1987","01","29","","-4.5","","-13.5","","-9.0","","27.0","","0.0","","0.0","","0.0","T","0.0","T","43","","","","",""
"1987-01-30","1987","01","30","","-5.0","","-14.0","","-9.5","","27.5","","0.0","","0.0","","6.2","","6.2","","43","","","","",""
"1987-01-31","1987","01","31","","-4.5","","-7.0","","-5.8","","23.8","","0.0","","0.0","","1.0","","1.0","","43","","","","",""
"1987-02-01","1987","02","01","","-4.5","","-11.0","","-7.8","","25.8","","0.0","","0.0","","1.8","","1.8","","43","","","","",""
"1987-02-02","1987","02","02","","-4.5","","-15.5","","-10.0","","28.0","","0.0","","0.0","","1.4","","1.4","","46","","","","",""
"1987-02-03","1987","02","03","","-1.5","","-7.5","","-4.5","","22.5","","0.0","","0.0","","0.0","T","0.0","T","46","","","","",""
"1987-02-04","1987","02","04","","-5.0","","-13.5","","-9.3","","27.3","","0.0","","0.0","","0.0","","0.0","","45","","","","",""
"1987-02-05","1987","02","05","","-12.0","","-24.5","","-18.3","","36.3","","0.0","","0.0","","2.6","","2.6","","46","","","","",""
"1987-02-06","1987","02","06","","-5.0","","-14.5","","-9.8","","27.8","","0.0","","0.0","","3.0","","3.0","","48","","","","",""
"1987-02-07","1987","02","07","","-0.5","","-9.5","","-5.0","","23.0","","0.0","","0.0","","0.0","","0.0","","50","","","","",""
"1987-02-08","1987","02","08","","-4.0","","-12.0","","-8.0","","26.0","","0.0","","0.0","","12.4","","12.4","","50","","","","",""
"1987-02-09","1987","02","09","","-9.0","","-18.5","","-13.8","","31.8","","0.0","","0.0","","0.0","","0.0","","58","","","","",""
"1987-02-10","1987","02","10","","-5.5","","-31.0","","-18.3","","36.3","","0.0","","0.0","","0.0","","0.0","","56","","","","",""
"1987-02-11","1987","02","11","","-9.5","","-18.5","","-14.0","","32.0","","0.0","","0.0","","0.0","","0.0","","55","","","","",""
"1987-02-12","1987","02","12","","-11.0","","-28.5","","-19.8","","37.8","","0.0","","0.0","","2.4","","2.4","","55","","","","",""
"1987-02-13","1987","02","13","","-17.0","","-20.5","","-18.8","","36.8","","0.0","","0.0","","0.0","","0.0","","57","","","","",""
"1987-02-14","1987","02","14","","-20.5","","-34.5","","-27.5","","45.5","","0.0","","0.0","","0.0","","0.0","","57","","","","",""
"1987-02-15","1987","02","15","","-16.5","","-32.0","","-24.3","","42.3","","0.0","","0.0","","0.0","","0.0","","57","","","","",""
"1987-02-16","1987","02","16","","-12.5","","-23.5","","-18.0","","36.0","","0.0","","0.0","","0.0","","0.0","","57","","","","",""
"1987-02-17","1987","02","17","","-6.5","","-29.0","","-17.8","","35.8","","0.0","","0.0","","0.0","","0.0","","57","","","","",""
"1987-02-18","1987","02","18","","-7.5","","-24.5","","-16.0","","34.0","","0.0","","0.0","","0.0","","0.0","","57","","","","",""
"1987-02-19","1987","02","19","","-5.5","","-25.0","","-15.3","","33.3","","0.0","","0.0","","0.0","","0.0","","56","","","","",""
"1987-02-20","1987","02","20","","-4.0","","-21.0","","-12.5","","30.5","","0.0","","0.0","","0.0","","0.0","","54","","","","",""
"1987-02-21","1987","02","21","","-2.0","","-21.0","","-11.5","","29.5","","0.0","","0.0","","0.0","","0.0","","53","","","","",""
"1987-02-22","1987","02","22","","-1.0","","-22.0","","-11.5","","29.5","","0.0","","0.0","","0.0","","0.0","","53","","","","",""
"1987-02-23","1987","02","23","","1.0","","-20.5","","-9.8","","27.8","","0.0","","0.0","","0.0","","0.0","","51","","","","",""
"1987-02-24","1987","02","24","","-1.5","","-13.0","","-7.3","","25.3","","0.0","","0.0","","0.0","","0.0","","51","","","","",""
"1987-02-25","1987","02","25","","-1.5","","-15.0","","-8.3","","26.3","","0.0","","0.0","","0.0","","0.0","","51","","","","",""
"1987-02-26","1987","02","26","","-2.0","","-15.5","","-8.8","","26.8","","0.0","","0.0","","0.0","","0.0","","48","","","","",""
"1987-02-27","1987","02","27","","0.0","","-20.0","","-10.0","","28.0","","0.0","","0.0","","0.0","","0.0","","48","","","","",""
"1987-02-28","1987","02","28","","4.5","","-13.5","","-4.5","","22.5","","0.0","","0.0","","0.0","","0.0","","48","","","","",""
"1987-03-01","1987","03","01","","-4.0","","-10.0","","-7.0","","25.0","","0.0","","0.0","","26.0","","26.0","","48","","","","",""
"1987-03-02","1987","03","02","","-5.0","","-6.5","","-5.8","","23.8","","0.0","","0.4","","4.0","","4.4","","59","","","","",""
"1987-03-03","1987","03","03","","-5.0","","-8.5","","-6.8","","24.8","","0.0","","0.0","","1.0","","1.0","","61","","","","",""
"1987-03-04","1987","03","04","","-3.5","","-23.0","","-13.3","","31.3","","0.0","","0.0","","0.0","","0.0","","61","","","","",""
"1987-03-05","1987","03","05","","-2.0","","-25.0","","-13.5","","31.5","","0.0","","0.0","","0.0","","0.0","","61","","","","",""
"1987-03-06","1987","03","06","","3.5","","-12.0","","-4.3","","22.3","","0.0","","0.0","","0.0","","0.0","","60","","","","",""
"1987-03-07","1987","03","07","","8.5","","-0.5","","4.0","","14.0","","0.0","","0.0","","0.0","","0.0","","56","","","","",""
"1987-03-08","1987","03","08","","7.0","","-6.0","","0.5","","17.5","","0.0","","0.0","","0.0","","0.0","","49","","","","",""
"1987-03-09","1987","03","09","","-10.0","","-12.5","","-11.3","","29.3","","0.0","","0.0","","0.0","","0.0","","47","","","","",""
"1987-03-10","1987","03","10","","-10.5","","-25.5","","-18.0","","36.0","","0.0","","0.0","","0.0","","0.0","","47","","","","",""
"1987-03-11","1987","03","11","","-6.5","","-25.5","","-16.0","","34.0","","0.0","","0.0","","0.0","","0.0","","47","","","","",""
"1987-03-12","1987","03","12","","-1.0","","-18.0","","-9.5","","27.5","","0.0","","0.0","","0.0","","0.0","","47","","","","",""
"1987-03-13","1987","03","13","","1.5","","-15.0","","-6.8","","24.8","","0.0","","0.0","","0.0","","0.0","","45","","","","",""
"1987-03-14","1987","03","14","","1.5","","-15.0","","-6.8","","24.8","","0.0","","0.0","","0.0","","0.0","","45","","","","",""
"1987-03-15","1987","03","15","","3.0","","-13.0","","-5.0","","23.0","","0.0","","0.0","","0.0","","0.0","","45","","","","",""
"1987-03-16","1987","03","16","","-0.5","","-11.0","","-5.8","","23.8","","0.0","","0.0","","2.0","","2.0","","45","","","","",""
"1987-03-17","1987","03","17","","4.5","","-6.0","","-0.8","","18.8","","0.0","","0.0","","0.0","","0.0","","47","","","","",""
