"Station Name","L'ASSOMPTION"
"Province","QUEBEC"
"Latitude","45.81"
"Longitude","-73.43"
"Elevation","21.00"
"Climate Identifier","7014160"
"WMO Identifier","71524"
"TC Identifier","WEW"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1982-01-01","1982","01","01","","2.5","","-8.0","","-2.8","","20.8","","0.0","","3.0","","0.0","","3.0","","20","","","","",""
"1982-01-02","1982","01","02","","-12.0","","-18.0","","-15.0","","33.0","","0.0","","0.0","","0.0","","0.0","","20","","","","",""
"1982-01-03","1982","01","03","","-4.0","","-24.5","","-14.3","","32.3","","0.0","","0.0","","5.0","","5.0","","26","","","","",""
"1982-01-04","1982","01","04","","3.0","","-13.0","","-5.0","","23.0","","0.0","","18.2","","6.4","","24.6","","24","","","","",""
"1982-01-05","1982","01","05","","-2.5","","-10.0","","-6.3","","24.3","","0.0","","0.0","","0.0","","0.0","","22","","","","",""
"1982-01-06","1982","01","06","","-9.0","","-21.0","","-15.0","","33.0","","0.0","","0.0","","0.8","","0.8","","22","","","","",""
"1982-01-07","1982","01","07","","-1.0","","-13.0","","-7.0","","25.0","","0.0","","0.0","","0.0","T","0.0","T","23","","","","",""
"1982-01-08","1982","01","08","","-15.5","","-20.0","","-17.8","","35.8","","0.0","","0.0","","0.0","","0.0","","23","","","","",""
"1982-01-09","1982","01","09","","-17.0","","-21.5","","-19.3","","37.3","","0.0","","0.0","","0.0","","0.0","","23","","","","",""
"1982-01-10","1982","01","10","","-15.0","","-28.0","","-21.5","","39.5","","0.0","","0.0","","0.0","T","0.0","T","23","","","","",""
"1982-01-11","1982","01","11","","-15.0","","-27.5","","-21.3","","39.3","","0.0","","0.0","","0.4","","0.4","","23","","","","",""
"1982-01-12","1982","01","12","","-21.0","","-27.5","","-24.3","","42.3","","0.0","","0.0","","0.0","","0.0","","23","","","","",""
"1982-01-13","1982","01","13","","-14.0","","-27.5","","-20.8","","38.8","","0.0","","0.0","","1.0","","1.0","","23","","","","",""
"1982-01-14","1982","01","14","","-11.5","","-19.5","","-15.5","","33.5","","0.0","","0.0","","1.7","","1.7","","23","","","","",""
"1982-01-15","1982","01","15","","-9.0","","-18.5","","-13.8","","31.8","","0.0","","0.0","","0.0","","0.0","","24","","","","",""
"1982-01-16","1982","01","16","","-6.0","","-25.0","","-15.5","","33.5","","0.0","","0.0","","2.8","","2.8","","24","","","","",""
"1982-01-17","1982","01","17","","-26.0","","-29.5","","-27.8","","45.8","","0.0","","0.0","","0.0","","0.0","","25","","","","",""
"1982-01-18","1982","01","18","","-19.5","","-37.5","","-28.5","","46.5","","0.0","","0.0","","0.0","","0.0","","25","","","","",""
"1982-01-19","1982","01","19","","-18.0","","-35.0","","-26.5","","44.5","","0.0","","0.0","","0.4","","0.4","","25","","","","",""
"1982-01-20","1982","01","20","","-9.0","","-25.0","","-17.0","","35.0","","0.0","","0.0","","0.0","","0.0","","25","","","","",""
"1982-01-21","1982","01","21","","-18.5","","-29.5","","-24.0","","42.0","","0.0","","0.0","","0.0","","0.0","","25","","","","",""
"1982-01-22","1982","01","22","","-18.0","","-33.0","","-25.5","","43.5","","0.0","","0.0","","0.0","","0.0","","25","","","","",""
"1982-01-23","1982","01","23","","-8.5","","-32.0","","-20.3","","38.3","","0.0","","0.0","","21.5","","21.5","","25","","","","",""
"1982-01-24","1982","01","24","","-8.5","","-16.0","","-12.3","","30.3","","0.0","","0.0","","0.0","","0.0","","38","","","","",""
"1982-01-25","1982","01","25","","-16.0","","-27.0","","-21.5","","39.5","","0.0","","0.0","","0.0","","0.0","","38","","","","",""
"1982-01-26","1982","01","26","","-19.0","","-32.0","","-25.5","","43.5","","0.0","","0.0","","0.0","","0.0","","38","","","","",""
"1982-01-27","1982","01","27","","-15.0","","-34.5","","-24.8","","42.8","","0.0","","0.0","","0.0","","0.0","","38","","","","",""
"1982-01-28","1982","01","28","","-1.5","","-21.0","","-11.3","","29.3","","0.0","","0.0","","2.0","","2.0","","38","","","","",""
"1982-01-29","1982","01","29","","-10.5","","-13.0","","-11.8","","29.8","","0.0","","0.0","","0.4","","0.4","","38","","","","",""
"1982-01-30","1982","01","30","","-5.0","","-25.5","","-15.3","","33.3","","0.0","","0.0","","2.4","","2.4","","38","","","","",""
"1982-01-31","1982","01","31","","-10.0","","-16.5","","-13.3","","31.3","","0.0","","0.0","","17.0","","17.0","","40","","","","",""
"1982-02-01","1982","02","01","","-6.0","","-14.5","","-10.3","","28.3","","0.0","","0.0","","0.0","T","0.0","T","45","","","","",""
"1982-02-02","1982","02","02","","-6.0","","-23.0","","-14.5","","32.5","","0.0","","0.0","","0.8","","0.8","","45","","","","",""
"1982-02-03","1982","02","03","","-1.0","","-10.5","","-5.8","","23.8","","0.0","","0.0","","8.8","","8.8","","46","","","","",""
"1982-02-04","1982","02","04","","-5.5","","-11.5","","-8.5","","26.5","","0.0","","0.0","","0.0","","0.0","","52","","","","",""
"1982-02-05","1982","02","05","","-12.5","","-27.5","","-20.0","","38.0","","0.0","","0.0","","4.0","","4.0","","52","","","","",""
"1982-02-06","1982","02","06","","-10.0","","-18.5","","-14.3","","32.3","","0.0","","0.0","","0.0","","0.0","","54","","","","",""
"1982-02-07","1982","02","07","","-7.5","","-21.5","","-14.5","","32.5","","0.0","","0.0","","1.0","","1.0","","54","","","","",""
"1982-02-08","1982","02","08","","-5.0","","-10.0","","-7.5","","25.5","","0.0","","0.0","","0.0","","0.0","","54","","","","",""
"1982-02-09","1982","02","09","","-6.0","","-13.5","","-9.8","","27.8","","0.0","","0.0","","0.6","","0.6","","54","","","","",""
"1982-02-10","1982","02","10","","-9.0","","-14.0","","-11.5","","29.5","","0.0","","0.0","","0.0","","0.0","","54","","","","",""
"1982-02-11","1982","02","11","","-7.5","","-16.0","","-11.8","","29.8","","0.0","","0.0","","0.2","","0.2","","54","","","","",""
"1982-02-12","1982","02","12","","-7.5","","-17.5","","-12.5","","30.5","","0.0","","0.0","","0.0","","0.0","","54","","","","",""
"1982-02-13","1982","02","13","","-8.0","","-18.0","","-13.0","","31.0","","0.0","","0.0","","0.2","","0.2","","54","","","","",""
"1982-02-14","1982","02","14","","-6.0","","-22.5","","-14.3","","32.3","","0.0","","0.0","","0.0","","0.0","","54","","","","",""
"1982-02-15","1982","02","15","","3.0","","-18.5","","-7.8","","25.8","","0.0","","0.0","","0.0","","0.0","","54","","","","",""
"1982-02-16","1982","02","16","","-2.5","","-5.5","","-4.0","","22.0","","0.0","","0.0","","0.0","","0.0","","50","","","","",""
"1982-02-17","1982","02","17","","-8.5","","-19.5","","-14.0","","32.0","","0.0","","0.0","","0.0","","0.0","","50","","","","",""
"1982-02-18","1982","02","18","","-6.0","","-19.5","","-12.8","","30.8","","0.0","","0.0","","2.8","","2.8","","49","","","","",""
"1982-02-19","1982","02","19","","-3.0","","-14.0","","-8.5","","26.5","","0.0","","0.0","","0.8","","0.8","","51","","","","",""
"1982-02-20","1982","02","20","","2.0","","-5.5","","-1.8","","19.8","","0.0","","0.0","","0.0","","0.0","","51","","","","",""
"1982-02-21","1982","02","21","","2.0","","-8.0","","-3.0","","21.0","","0.0","","0.0","","0.0","","0.0","","51","","","","",""
"1982-02-22","1982","02","22","","-3.0","","-10.5","","-6.8","","24.8","","0.0","","0.0","","0.0","","0.0","","50","","","","",""
"1982-02-23","1982","02","23","","-1.5","","-9.0","","-5.3","","23.3","","0.0","","0.0","","0.0","T","0.0","T","49","","","","",""
"1982-02-24","1982","02","24","","-9.5","","-19.0","","-14.3","","32.3","","0.0","","0.0","","0.0","","0.0","","49","","","","",""
"1982-02-25","1982","02","25","","-11.5","","-22.5","","-17.0","","35.0","","0.0","","0.0","","0.0","","0.0","","49","","","","",""
"1982-02-26","1982","02","26","","-10.5","","-22.5","","-16.5","","34.5","","0.0","","0.0","","0.0","T","0.0","T","49","","","","",""
"1982-02-27","1982","02","27","","-5.5","","-20.5","","-13.0","","31.0","","0.0","","0.0","","0.0","","0.0","","49","","","","",""
"1982-02-28","1982","02","28","","-12.0","","-26.0","","-19.0","","37.0","","0.0","","0.0","","0.0","","0.0","","49","","","","",""
"1982-03-01","1982","03","01","","-7.0","","-28.0","","-17.5","","35.5","","0.0","","0.0","","4.8","","4.8","","49","","","","",""
"1982-03-02","1982","03","02","","-4.0","","-14.0","","-9.0","","27.0","","0.0","","0.0","","0.0","","0.0","","52","","","","",""
"1982-03-03","1982","03","03","","-12.5","","-23.0","","-17.8","","35.8","","0.0","","0.0","","0.0","","0.0","","52","","","","",""
"1982-03-04","1982","03","04","","-5.0","","-23.5","","-14.3","","32.3","","0.0","","0.4","","15.0","","15.4","","52","","","","",""
"1982-03-05","1982","03","05","","-2.0","","-10.5","","-6.3","","24.3","","0.0","","0.0","","0.0","T","0.0","T","63","","","","",""
"1982-03-06","1982","03","06","","-1.0","","-16.0","","-8.5","","26.5","","0.0","","0.0","","4.0","","4.0","","63","","","","",""
"1982-03-07","1982","03","07","","-0.5","","-5.5","","-3.0","","21.0","","0.0","","0.0","","4.6","","4.6","","64","","","","",""
"1982-03-08","1982","03","08","","-9.5","","-11.5","","-10.5","","28.5","","0.0","","0.0","","0.0","","0.0","","69","","","","",""
"1982-03-09","1982","03","09","","-10.5","","-26.0","","-18.3","","36.3","","0.0","","0.0","","4.6","","4.6","","69","","","","",""
"1982-03-10","1982","03","10","","1.0","","-17.5","","-8.3","","26.3","","0.0","","0.0","","1.6","","1.6","","70","","","","",""
"1982-03-11","1982","03","11","","4.5","","-6.5","","-1.0","","19.0","","0.0","","5.4","","0.0","","5.4","","68","","","","",""
"1982-03-12","1982","03","12","","4.5","","0.5","","2.5","","15.5","","0.0","","0.0","","0.0","","0.0","","61","","","","",""
"1982-03-13","1982","03","13","","6.5","","-3.5","","1.5","","16.5","","0.0","","9.0","","0.0","","9.0","","60","","","","",""
"1982-03-14","1982","03","14","","2.0","","-2.0","","0.0","","18.0","","0.0","","0.0","","0.0","","0.0","","58","","","","",""
"1982-03-15","1982","03","15","","3.0","","-10.5","","-3.8","","21.8","","0.0","","0.0","","0.0","","0.0","","51","","","","",""
"1982-03-16","1982","03","16","","0.5","","-15.5","","-7.5","","25.5","","0.0","","0.0","","0.0","","0.0","","50","","","","",""
"1982-03-17","1982","03","17","","6.0","","-3.5","","1.3","","16.7","","0.0","","0.0","","0.0","","0.0","","49","","","","",""
"1982-03-18","1982","03","18","","5.0","","-9.0","","-2.0","","20.0","","0.0","","0.0","","0.0","","0.0","","48","","","","",""
"1982-03-19","1982","03","19","","6.5","","-4.5","","1.0","","17.0","","0.0","","0.0","","0.0","","0.0","","47","","","","",""
"1982-03-20","1982","03","20","","3.5","","-6.0","","-1.3","","19.3","","0.0","","0.0","","0.0","","0.0","","46","","","","",""
"1982-03-21","1982","03","21","","1.0","","-7.5","","-3.3","","21.3","","0.0","","0.0","","11.2","","11.2","","46","","","","",""
"1982-03-22","1982","03","22","","3.5","","-1.5","","1.0","","17.0","","0.0","","0.0","","0.0","","0.0","","53","","","","",""
"1982-03-23","1982","03","23","","1.0","","-4.5","","-1.8","","19.8","","0.0","","0.0","","0.0","","0.0","","46","","","","",""
"1982-03-24","1982","03","24","","6.5","","-11.5","","-2.5","","20.5","","0.0","","0.0","","0.0","","0.0","","45","","","","",""
"1982-03-25","1982","03","25","","8.0","","-1.0","","3.5","","14.5","","0.0","","22.0","","0.0","","22.0","","43","","","","",""
"1982-03-26","1982","03","26","","2.0","","-2.0","","0.0","","18.0","","0.0","","4.4","","0.0","","4.4","","37","","","","",""
"1982-03-27","1982","03","27","","-8.0","","-13.5","","-10.8","","28.8","","0.0","","0.0","","0.0","","0.0","","37","","","","",""
"1982-03-28","1982","03","28","","-1.0","","-17.0","","-9.0","","27.0","","0.0","","0.0","","0.0","","0.0","","37","","","","",""
"1982-03-29","1982","03","29","","3.5","","-10.0","","-3.3","","21.3","","0.0","","0.0","","0.0","","0.0","","35","","","","",""
"1982-03-30","1982","03","30","","8.0","","-2.5","","2.8","","15.2","","0.0","","6.4","","0.0","","6.4","","33","","","","",""
"1982-03-31","1982","03","31","","10.5","","1.5","","6.0","","12.0","","0.0","","2.7","","0.0","","2.7","","28","","","","",""
"1982-04-01","1982","04","01","","4.5","","2.5","","3.5","","14.5","","0.0","","0.0","","0.0","","0.0","","15","","","","",""
"1982-04-02","1982","04","02","","0.0","","-9.5","","-4.8","","22.8","","0.0","","0.0","","0.0","","0.0","","12","","","","",""
"1982-04-03","1982","04","03","","3.0","","-8.0","","-2.5","","20.5","","0.0","","14.0","","0.0","","14.0","","10","","","","",""
"1982-04-04","1982","04","04","","1.0","","-2.0","","-0.5","","18.5","","0.0","","0.0","","0.6","","0.6","","10","","","","",""
"1982-04-05","1982","04","05","","-3.0","","-12.5","","-7.8","","25.8","","0.0","","0.0","","0.0","","0.0","","11","","","","",""
"1982-04-06","1982","04","06","","-5.0","","-13.5","","-9.3","","27.3","","0.0","","0.0","","0.0","","0.0","","11","","","","",""
"1982-04-07","1982","04","07","","-3.5","","-13.5","","-8.5","","26.5","","0.0","","0.0","","0.0","T","0.0","T","11","","","","",""
"1982-04-08","1982","04","08","","0.0","","-9.5","","-4.8","","22.8","","0.0","","0.0","","0.0","","0.0","","11","","","","",""
"1982-04-09","1982","04","09","","4.0","","-8.5","","-2.3","","20.3","","0.0","","0.0","","0.0","","0.0","","10","","","","",""
"1982-04-10","1982","04","10","","8.5","","-3.0","","2.8","","15.2","","0.0","","0.0","","0.0","","0.0","","10","","","","",""
"1982-04-11","1982","04","11","","6.0","","-1.0","","2.5","","15.5","","0.0","","1.2","","0.0","","1.2","","5","","","","",""
"1982-04-12","1982","04","12","","8.0","","-2.5","","2.8","","15.2","","0.0","","1.0","","0.0","","1.0","","5","","","","",""
"1982-04-13","1982","04","13","","6.5","","-0.5","","3.0","","15.0","","0.0","","12.0","","0.0","","12.0","","4","","","","",""
"1982-04-14","1982","04","14","","7.5","","1.5","","4.5","","13.5","","0.0","","0.0","","0.0","","0.0","","2","","","","",""
"1982-04-15","1982","04","15","","12.0","","-3.5","","4.3","","13.7","","0.0","","0.0","","0.0","","0.0","","1","","","","",""
"1982-04-16","1982","04","16","","18.5","","0.5","","9.5","","8.5","","0.0","","0.4","","0.0","","0.4","","0","T","","","",""
