"Station Name","L'ASSOMPTION"
"Province","QUEBEC"
"Latitude","45.81"
"Longitude","-73.43"
"Elevation","21.00"
"Climate Identifier","7014160"
"WMO Identifier","71524"
"TC Identifier","WEW"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1998-01-01","1998","01","01","†","-15.7","","-30.6","","-23.2","","41.2","","0.0","","","M","","M","5.0","","","","","","<31",""
"1998-01-02","1998","01","02","†","2.7","","-15.7","","-6.5","","24.5","","0.0","","","M","","M","2.0","","","","","","<31",""
"1998-01-03","1998","01","03","†","5.6","","2.5","","4.1","","13.9","","0.0","","","M","","M","0.0","","","","24","","35",""
"1998-01-04","1998","01","04","†","4.8","","-10.3","","-2.8","","20.8","","0.0","","","M","","M","0.0","","","","34","","48",""
"1998-01-05","1998","01","05","†","-3.2","","-9.7","","-6.5","","24.5","","0.0","","","M","","M","19.0","","","","","","<31",""
"1998-01-06","1998","01","06","†","-2.2","","-6.7","","-4.5","","22.5","","0.0","","","M","","M","16.0","","","","","M","","M"
"1998-01-07","1998","01","07","†","-4.7","","-6.9","","-5.8","","23.8","","0.0","","","M","","M","3.0","","","","","M","","M"
"1998-01-08","1998","01","08","†","-3.5","","-5.2","","-4.4","","22.4","","0.0","","","M","","M","38.0","","","","3","","52",""
"1998-01-09","1998","01","09","†","-1.2","","-5.0","","-3.1","","21.1","","0.0","","","M","","M","9.2","","","","3","","54",""
"1998-01-10","1998","01","10","†","3.5","","-3.6","","-0.1","","18.1","","0.0","","","M","","M","4.8","","","","23","","44",""
"1998-01-11","1998","01","11","†","-3.5","","-12.6","","-8.1","","26.1","","0.0","","","M","","M","0.0","","","","24","","44",""
"1998-01-12","1998","01","12","†","-5.1","","-18.4","","-11.8","","29.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"1998-01-13","1998","01","13","†","-0.1","","-11.4","","-5.8","","23.8","","0.0","","","M","","M","9.0","","","","27","","52",""
"1998-01-14","1998","01","14","†","-11.4","","-19.1","","-15.3","","33.3","","0.0","","","M","","M","0.0","","","","28","","56",""
"1998-01-15","1998","01","15","†","-12.6","","-20.9","","-16.8","","34.8","","0.0","","","M","","M","6.0","","","","","","<31",""
"1998-01-16","1998","01","16","†","-8.9","","-12.6","","-10.8","","28.8","","0.0","","","M","","M","0.0","","","","2","","39",""
"1998-01-17","1998","01","17","†","-7.7","","-16.1","","-11.9","","29.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"1998-01-18","1998","01","18","†","-2.5","","-10.2","","-6.4","","24.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"1998-01-19","1998","01","19","†","-0.6","","-4.5","","-2.6","","20.6","","0.0","","","M","","M","7.0","","","","","","<31",""
"1998-01-20","1998","01","20","†","1.1","","-8.0","","-3.5","","21.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"1998-01-21","1998","01","21","†","-0.8","","-16.8","","-8.8","","26.8","","0.0","","","M","","M","","M","","","35","","32",""
"1998-01-22","1998","01","22","†","-12.4","","-28.4","","-20.4","","38.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"1998-01-23","1998","01","23","†","-7.6","","-27.9","","-17.8","","35.8","","0.0","","","M","","M","32.0","","","","4","","33",""
"1998-01-24","1998","01","24","†","-4.4","","-7.8","","-6.1","","24.1","","0.0","","","M","","M","1.0","","","","","","<31",""
"1998-01-25","1998","01","25","†","-2.7","","-14.6","","-8.7","","26.7","","0.0","","","M","","M","0.0","","","","26","","41",""
"1998-01-26","1998","01","26","†","-10.7","","-29.0","","-19.9","","37.9","","0.0","","","M","","M","0.0","","","","29","","33",""
"1998-01-27","1998","01","27","†","-11.3","","-30.8","","-21.1","","39.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"1998-01-28","1998","01","28","†","-0.8","","-11.9","","-6.4","","24.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"1998-01-29","1998","01","29","†","2.9","","-14.3","","-5.7","","23.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"1998-01-30","1998","01","30","†","-1.1","","-5.1","","-3.1","","21.1","","0.0","","","M","","M","4.0","","","","","","<31",""
"1998-01-31","1998","01","31","†","1.9","","-8.7","","-3.4","","21.4","","0.0","","","M","","M","1.0","","","","","","<31",""
"1998-02-01","1998","02","01","†","2.4","","-11.3","","-4.5","","22.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"1998-02-02","1998","02","02","†","1.3","","-12.4","","-5.6","","23.6","","0.0","","","M","","M","","M","","","","","<31",""
"1998-02-03","1998","02","03","†","3.5","","-9.7","","-3.1","","21.1","","0.0","","","M","","M","0.0","","","","27","","32",""
"1998-02-04","1998","02","04","†","-5.1","","-17.6","","-11.4","","29.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"1998-02-05","1998","02","05","†","-2.8","","-12.9","","-7.9","","25.9","","0.0","","","M","","M","0.0","","","","4","","39",""
"1998-02-06","1998","02","06","†","-2.3","","-17.1","","-9.7","","27.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"1998-02-07","1998","02","07","†","-2.7","","-18.7","","-10.7","","28.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"1998-02-08","1998","02","08","†","-2.7","","-17.4","","-10.1","","28.1","","0.0","","","M","","M","0.0","","","","2","","32",""
"1998-02-09","1998","02","09","†","-0.1","","-19.2","","-9.7","","27.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"1998-02-10","1998","02","10","†","0.4","","-14.9","","-7.3","","25.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"1998-02-11","1998","02","11","†","0.6","","-16.0","","-7.7","","25.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"1998-02-12","1998","02","12","†","4.2","","-0.9","","1.7","","16.3","","0.0","","","M","","M","9.0","","","","30","","43",""
"1998-02-13","1998","02","13","†","-0.6","","-16.4","","-8.5","","26.5","","0.0","","","M","","M","0.0","","","","30","","43",""
"1998-02-14","1998","02","14","†","-8.8","","-21.2","","-15.0","","33.0","","0.0","","","M","","M","0.0","","","","33","","35",""
"1998-02-15","1998","02","15","†","-10.1","","-28.0","","-19.1","","37.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"1998-02-16","1998","02","16","†","-2.5","","-19.0","","-10.8","","28.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"1998-02-17","1998","02","17","†","2.9","","-7.3","","-2.2","","20.2","","0.0","","","M","","M","1.0","","","","5","","32",""
"1998-02-18","1998","02","18","†","1.5","","-1.4","","0.1","","17.9","","0.0","","","M","","M","8.5","","","","4","","50",""
"1998-02-19","1998","02","19","†","0.3","","-0.8","","-0.3","","18.3","","0.0","","","M","","M","1.5","","","","4","","39",""
"1998-02-20","1998","02","20","†","2.7","","-0.6","","1.1","","16.9","","0.0","","","M","","M","1.0","","","","","","<31",""
"1998-02-21","1998","02","21","†","3.6","","-7.5","","-2.0","","20.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"1998-02-22","1998","02","22","†","2.4","","-10.6","","-4.1","","22.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"1998-02-23","1998","02","23","†","2.9","","-13.5","","-5.3","","23.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"1998-02-24","1998","02","24","†","2.7","","-2.3","","0.2","","17.8","","0.0","","","M","","M","16.0","","","","4","","54",""
"1998-02-25","1998","02","25","†","2.4","","0.4","","1.4","","16.6","","0.0","","","M","","M","15.0","","","","2","","33",""
"1998-02-26","1998","02","26","†","6.9","","-0.6","","3.2","","14.8","","0.0","","","M","","M","","M","","","33","","39",""
"1998-02-27","1998","02","27","†","7.3","","-4.2","","1.6","","16.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"1998-02-28","1998","02","28","†","6.2","","0.3","","3.3","","14.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"1998-03-01","1998","03","01","†","3.1","","0.5","","1.8","","16.2","","0.0","","","M","","M","7.0","","","","","","<31",""
"1998-03-02","1998","03","02","†","8.0","","0.6","","4.3","","13.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"1998-03-03","1998","03","03","†","3.0","","-0.9","","1.1","","16.9","","0.0","","","M","","M","2.0","","","","","","<31",""
"1998-03-04","1998","03","04","†","4.3","","-1.3","","1.5","","16.5","","0.0","","","M","","M","1.0","","","","","","<31",""
"1998-03-05","1998","03","05","†","4.3","","-2.8","","0.8","","17.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"1998-03-06","1998","03","06","†","4.4","","-8.3","","-2.0","","20.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"1998-03-07","1998","03","07","†","3.0","","-9.2","","-3.1","","21.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"1998-03-08","1998","03","08","†","1.8","","-10.3","","-4.3","","22.3","","0.0","","","M","","M","5.0","","","","6","","37",""
"1998-03-09","1998","03","09","†","2.8","","0.7","","1.8","","16.2","","0.0","","","M","","M","35.0","","","","6","","32",""
"1998-03-10","1998","03","10","†","2.8","","-12.5","","-4.9","","22.9","","0.0","","","M","","M","13.0","","","","27","","37",""
"1998-03-11","1998","03","11","†","-6.6","","-16.8","","-11.7","","29.7","","0.0","","","M","","M","1.2","","","","27","","39",""
"1998-03-12","1998","03","12","†","-10.0","","-19.3","","-14.7","","32.7","","0.0","","","M","","M","0.0","","","","29","","39",""
"1998-03-13","1998","03","13","†","-2.7","","-20.8","","-11.8","","29.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"1998-03-14","1998","03","14","†","-0.3","","-8.0","","-4.2","","22.2","","0.0","","","M","","M","7.0","","","","12","","32",""
"1998-03-15","1998","03","15","†","1.0","","-8.0","","-3.5","","21.5","","0.0","","","M","","M","2.0","","","","","","<31",""
"1998-03-16","1998","03","16","†","-0.6","","-17.3","","-9.0","","27.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"1998-03-17","1998","03","17","†","2.1","","-20.1","","-9.0","","27.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"1998-03-18","1998","03","18","†","5.3","","-17.9","","-6.3","","24.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"1998-03-19","1998","03","19","†","0.0","","-4.5","","-2.3","","20.3","","0.0","","","M","","M","15.0","","","","5","","43",""
"1998-03-20","1998","03","20","†","0.3","","-4.6","","-2.2","","20.2","","0.0","","","M","","M","5.0","","","","1","","41",""
"1998-03-21","1998","03","21","†","-2.0","","-7.1","","-4.6","","22.6","","0.0","","","M","","M","2.0","","","","2","","54",""
"1998-03-22","1998","03","22","†","-2.5","","-6.5","","-4.5","","22.5","","0.0","","","M","","M","16.0","","","","5","","56",""
"1998-03-23","1998","03","23","†","-0.8","","-7.6","","-4.2","","22.2","","0.0","","","M","","M","2.0","","","","22","","32",""
"1998-03-24","1998","03","24","†","4.5","","-11.2","","-3.4","","21.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"1998-03-25","1998","03","25","†","5.2","","-11.6","","-3.2","","21.2","","0.0","","","M","","M","0.0","","","","22","","33",""
"1998-03-26","1998","03","26","†","3.3","","0.7","","2.0","","16.0","","0.0","","","M","","M","7.0","","","","15","","32",""
"1998-03-27","1998","03","27","†","12.1","","0.8","","6.5","","11.5","","0.0","","","M","","M","2.0","","","","25","","37",""
"1998-03-28","1998","03","28","†","10.2","","1.8","","6.0","","12.0","","0.0","","","M","","M","3.0","","","","25","","69",""
"1998-03-29","1998","03","29","†","13.0","","1.9","","7.5","","10.5","","0.0","","","M","","M","0.0","","","","21","","32",""
"1998-03-30","1998","03","30","†","16.8","","0.6","","8.7","","9.3","","0.0","","","M","","M","7.0","","","","","","<31",""
"1998-03-31","1998","03","31","†","8.0","","1.9","","5.0","","13.0","","0.0","","","M","","M","0.0","","","","4","","41",""
"1998-04-01","1998","04","01","†","3.2","","1.8","","2.5","","15.5","","0.0","","","M","","M","3.0","","","","3","","39",""
"1998-04-02","1998","04","02","†","2.5","","0.8","","1.7","","16.3","","0.0","","","M","","M","5.0","","","","","","<31",""
"1998-04-03","1998","04","03","†","4.1","","-0.2","","2.0","","16.0","","0.0","","","M","","M","1.0","","","","","","<31",""
"1998-04-04","1998","04","04","†","5.2","","-1.7","","1.8","","16.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"1998-04-05","1998","04","05","†","7.6","","1.0","","4.3","","13.7","","0.0","","","M","","M","0.0","","","","34","","35",""
"1998-04-06","1998","04","06","†","12.2","","1.4","","6.8","","11.2","","0.0","","","M","","M","1.0","","","","33","","33",""
"1998-04-07","1998","04","07","†","14.2","","0.6","","7.4","","10.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"1998-04-08","1998","04","08","†","14.0","","-1.4","","6.3","","11.7","","0.0","","","M","","M","","M","","","","","<31",""
"1998-04-09","1998","04","09","†","9.3","","-0.1","","4.6","","13.4","","0.0","","","M","","M","0.0","","","","2","","33",""
"1998-04-10","1998","04","10","†","10.7","","-0.5","","5.1","","12.9","","0.0","","","M","","M","0.0","","","","28","","41",""
"1998-04-11","1998","04","11","†","12.2","","-2.6","","4.8","","13.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"1998-04-12","1998","04","12","†","16.9","","-2.2","","7.4","","10.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"1998-04-13","1998","04","13","†","18.1","","-0.9","","8.6","","9.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"1998-04-14","1998","04","14","†","18.2","","2.6","","10.4","","7.6","","0.0","","","M","","M","0.0","","","","3","","32",""
"1998-04-15","1998","04","15","†","19.0","","2.8","","10.9","","7.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"1998-04-16","1998","04","16","†","20.2","","0.9","E","10.6","E","7.4","E","0.0","E","","M","","M","7.0","E","","","","M","","M"
"1998-04-17","1998","04","17","†","16.4","","5.4","","10.9","","7.1","","0.0","","","M","","M","5.0","","","","16","","46",""
"1998-04-18","1998","04","18","†","13.5","","4.3","","8.9","","9.1","","0.0","","","M","","M","0.0","","","","21","","57",""
"1998-04-19","1998","04","19","†","15.3","","2.6","","9.0","","9.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"1998-04-20","1998","04","20","†","12.6","","4.1","","8.4","","9.6","","0.0","","","M","","M","3.0","","","","","","<31",""
"1998-04-21","1998","04","21","†","16.8","","0.6","","8.7","","9.3","","0.0","","","M","","M","0.0","","","","28","","43",""
"1998-04-22","1998","04","22","†","21.3","","1.0","","11.2","","6.8","","0.0","","","M","","M","0.0","","","","17","","39",""
"1998-04-23","1998","04","23","†","21.9","","4.5","","13.2","","4.8","","0.0","","","M","","M","","M","","","","","<31",""
"1998-04-24","1998","04","24","†","14.9","","4.7","","9.8","","8.2","","0.0","","","M","","M","0.0","","","","4","","32",""
"1998-04-25","1998","04","25","†","7.1","","-0.2","","3.5","","14.5","","0.0","","","M","","M","3.2","","","","29","","43",""
"1998-04-26","1998","04","26","†","9.8","","-4.6","","2.6","","15.4","","0.0","","","M","","M","0.0","","","","36","","41",""
"1998-04-27","1998","04","27","†","10.4","","-1.3","","4.6","","13.4","","0.0","","","M","","M","0.0","","","","33","","41",""
"1998-04-28","1998","04","28","†","17.8","","2.8","","10.3","","7.7","","0.0","","","M","","M","0.0","","","","32","","35",""
"1998-04-29","1998","04","29","†","21.4","","4.0","","12.7","","5.3","","0.0","","","M","","M","0.0","","","","22","","50",""
"1998-04-30","1998","04","30","†","23.6","","5.3","","14.5","","3.5","","0.0","","","M","","M","0.0","","","","21","","44",""
"1998-05-01","1998","05","01","†","27.4","","9.7","","18.6","","0.0","","0.6","","","M","","M","0.0","","","","2","","32",""
"1998-05-02","1998","05","02","†","17.1","","9.5","","13.3","","4.7","","0.0","","","M","","M","2.8","","","","3","","44",""
"1998-05-03","1998","05","03","†","14.3","","9.3","","11.8","","6.2","","0.0","","","M","","M","0.6","","","","","","<31",""
"1998-05-04","1998","05","04","†","20.9","","9.7","","15.3","","2.7","","0.0","","0.4","","","M","5.4","","","","","","<31",""
"1998-05-05","1998","05","05","†","24.7","","14.0","","19.4","","0.0","","1.4","","0.6","","","M","1.6","","","","10","","48",""
"1998-05-06","1998","05","06","†","21.1","","14.2","","17.7","","0.3","","0.0","","","M","","M","2.8","","","","","","<31",""
"1998-05-07","1998","05","07","†","23.3","","11.8","","17.6","","0.4","","0.0","","","M","","M","0.0","","1","","","","<31",""
"1998-05-08","1998","05","08","†","22.1","","11.1","","16.6","","1.4","","0.0","","","M","","M","0.0","","","","2","","41",""
"1998-05-09","1998","05","09","†","16.0","","11.7","","13.9","","4.1","","0.0","","","M","","M","0.8","","1","","4","","50",""
"1998-05-10","1998","05","10","†","20.1","","10.4","","15.3","","2.7","","0.0","","","M","","M","0.0","","","","2","","39",""
"1998-05-11","1998","05","11","†","22.9","","10.8","","16.9","","1.1","","0.0","","","M","","M","0.0","","1","","2","","44",""
"1998-05-12","1998","05","12","†","23.0","","8.0","","15.5","","2.5","","0.0","","","M","","M","0.2","","2","","","","<31",""
"1998-05-13","1998","05","13","†","24.3","","6.4","","15.4","","2.6","","0.0","","","M","","M","0.0","","1","","","","<31",""
"1998-05-14","1998","05","14","†","27.3","","6.2","","16.8","","1.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"1998-05-15","1998","05","15","†","29.2","","10.7","","20.0","","0.0","","2.0","","","M","","M","0.0","","","","","","<31",""
"1998-05-16","1998","05","16","†","30.6","","12.9","","21.8","","0.0","","3.8","","","M","","M","0.0","","","","","","<31",""
"1998-05-17","1998","05","17","†","27.9","","14.2","","21.1","","0.0","","3.1","","","M","","M","6.8","","1","","15","","50",""
"1998-05-18","1998","05","18","†","25.0","","12.3","","18.7","","0.0","","0.7","","","M","","M","0.0","","","","26","","43",""
"1998-05-19","1998","05","19","†","23.5","","6.8","","15.2","","2.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"1998-05-20","1998","05","20","†","25.5","","9.2","","17.4","","0.6","","0.0","","","M","","M","7.4","","","","19","","46",""
"1998-05-21","1998","05","21","†","16.3","","7.3","","11.8","","6.2","","0.0","","","M","","M","1.6","","","","28","","39",""
"1998-05-22","1998","05","22","†","19.0","","7.9","","13.5","","4.5","","0.0","","","M","","M","0.0","","","","34","","44",""
"1998-05-23","1998","05","23","†","20.7","","5.8","","13.3","","4.7","","0.0","","","M","","M","0.0","","","","29","","39",""
"1998-05-24","1998","05","24","†","26.5","","6.8","","16.7","","1.3","","0.0","","","M","","M","0.0","","","","34","","33",""
"1998-05-25","1998","05","25","†","27.8","","9.0","","18.4","","0.0","","0.4","","","M","","M","0.4","","","","23","","54",""
