"Station Name","L'ASSOMPTION"
"Province","QUEBEC"
"Latitude","45.81"
"Longitude","-73.43"
"Elevation","21.00"
"Climate Identifier","7014160"
"WMO Identifier","71524"
"TC Identifier","WEW"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2003-01-01","2003","01","01","†","0.9","","-10.7","","-4.9","","22.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"2003-01-02","2003","01","02","†","-7.6","","-12.7","","-10.2","","28.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"2003-01-03","2003","01","03","†","-4.7","","-9.3","","-7.0","","25.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"2003-01-04","2003","01","04","†","-4.0","","-6.1","","-5.1","","23.1","","0.0","","","M","","M","6.0","","","","5","","35",""
"2003-01-05","2003","01","05","†","-2.9","","-8.8","","-5.9","","23.9","","0.0","","","M","","M","1.0","","","","","","<31",""
"2003-01-06","2003","01","06","†","-1.4","","-11.1","","-6.3","","24.3","","0.0","","","M","","M","1.0","","","","","","<31",""
"2003-01-07","2003","01","07","†","-6.0","","-12.7","","-9.4","","27.4","","0.0","","","M","","M","3.0","","","","23","","33",""
"2003-01-08","2003","01","08","†","-0.5","","-13.9","","-7.2","","25.2","","0.0","","","M","","M","3.0","","","","","","<31",""
"2003-01-09","2003","01","09","†","-12.0","","-17.4","","-14.7","","32.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"2003-01-10","2003","01","10","†","-9.8","","-19.8","","-14.8","","32.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"2003-01-11","2003","01","11","†","-12.4","","-21.3","","-16.9","","34.9","","0.0","","","M","","M","0.0","","","","23","","33",""
"2003-01-12","2003","01","12","†","-7.6","","-13.3","","-10.5","","28.5","","0.0","","","M","","M","0.0","","","","23","","41",""
"2003-01-13","2003","01","13","†","-3.6","","-12.7","","-8.2","","26.2","","0.0","","","M","","M","5.0","","","","27","","41",""
"2003-01-14","2003","01","14","†","-12.7","","-25.2","","-19.0","","37.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"2003-01-15","2003","01","15","†","-13.8","","-26.3","","-20.1","","38.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"2003-01-16","2003","01","16","†","-13.7","","-22.0","","-17.9","","35.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"2003-01-17","2003","01","17","†","-13.8","","-28.0","","-20.9","","38.9","","0.0","","","M","","M","1.3","","","","","","<31",""
"2003-01-18","2003","01","18","†","-12.9","","-26.4","","-19.7","","37.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"2003-01-19","2003","01","19","†","-8.4","","-23.0","","-15.7","","33.7","","0.0","","","M","","M","2.0","","","","","","<31",""
"2003-01-20","2003","01","20","†","-7.9","","-19.9","","-13.9","","31.9","","0.0","","","M","","M","1.0","","","","25","","41",""
