"Station Name","L'ASSOMPTION"
"Province","QUEBEC"
"Latitude","45.81"
"Longitude","-73.43"
"Elevation","21.00"
"Climate Identifier","7014160"
"WMO Identifier","71524"
"TC Identifier","WEW"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2004-01-01","2004","01","01","†","0.6","","-10.8","","-5.1","","23.1","","0.0","","","M","","M","","M","","","29","","32",""
"2004-01-02","2004","01","02","†","-7.6","","-11.1","","-9.4","","27.4","","0.0","","","M","","M","3.0","","","","","","<31",""
"2004-01-03","2004","01","03","†","3.0","","-7.7","","-2.4","","20.4","","0.0","","","M","","M","5.0","","","","27","","33",""
"2004-01-04","2004","01","04","†","4.1","","-7.8","","-1.9","","19.9","","0.0","","","M","","M","0.0","","","","31","","37",""
"2004-01-05","2004","01","05","†","-7.8","","-11.2","E","-9.5","E","27.5","E","0.0","E","","M","","M","","M","","","","","<31",""
"2004-01-06","2004","01","06","†","-8.4","","-16.9","","-12.7","","30.7","","0.0","","","M","","M","","M","","","24","","32",""
"2004-01-07","2004","01","07","†","-10.8","","-24.1","","-17.5","","35.5","","0.0","","","M","","M","0.0","","","","28","","48",""
"2004-01-08","2004","01","08","†","-19.7","","-28.4","","-24.1","","42.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"2004-01-09","2004","01","09","†","-20.8","","-29.2","","-25.0","","43.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"2004-01-10","2004","01","10","†","-19.3","","-28.8","","-24.1","","42.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"2004-01-11","2004","01","11","†","-13.6","","-25.2","","-19.4","","37.4","","0.0","","","M","","M","3.0","","","","","","<31",""
