"Station Name","L'ASSOMPTION"
"Province","QUEBEC"
"Latitude","45.81"
"Longitude","-73.43"
"Elevation","21.00"
"Climate Identifier","7014160"
"WMO Identifier","71524"
"TC Identifier","WEW"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1954-01-01","1954","01","01","","-14.4","","-26.1","","-20.3","","38.3","","0.0","","0.0","","3.8","","3.8","","","","","","",""
"1954-01-02","1954","01","02","","-8.3","","-22.2","","-15.3","","33.3","","0.0","","0.0","","3.8","","3.8","","","","","","",""
"1954-01-03","1954","01","03","","-7.2","","-15.6","","-11.4","","29.4","","0.0","","0.0","","3.0","","3.0","","","","","","",""
"1954-01-04","1954","01","04","","-3.3","","-10.0","","-6.7","","24.7","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1954-01-05","1954","01","05","","-2.2","","-7.8","","-5.0","","23.0","","0.0","","0.0","","0.8","","0.8","","","","","","",""
"1954-01-06","1954","01","06","","-0.6","","-7.2","","-3.9","","21.9","","0.0","","0.0","","16.5","","16.5","","","","","","",""
"1954-01-07","1954","01","07","","-7.2","","-10.6","","-8.9","","26.9","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1954-01-08","1954","01","08","","-10.6","","-18.3","","-14.5","","32.5","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1954-01-09","1954","01","09","","-17.2","","-26.7","","-22.0","","40.0","","0.0","","0.0","","5.6","","5.6","","","","","","",""
"1954-01-10","1954","01","10","","-17.2","","-26.1","","-21.7","","39.7","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1954-01-11","1954","01","11","","-15.0","","-35.6","","-25.3","","43.3","","0.0","","0.0","","1.3","","1.3","","","","","","",""
"1954-01-12","1954","01","12","","-12.8","","-27.8","","-20.3","","38.3","","0.0","","0.0","","3.3","","3.3","","","","","","",""
"1954-01-13","1954","01","13","","-18.3","","-25.6","","-22.0","","40.0","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1954-01-14","1954","01","14","","-9.4","","-27.8","","-18.6","","36.6","","0.0","","0.0","","4.1","","4.1","","","","","","",""
"1954-01-15","1954","01","15","","0.0","","-23.3","","-11.7","","29.7","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1954-01-16","1954","01","16","","-6.1","","-16.1","","-11.1","","29.1","","0.0","","0.0","","2.5","","2.5","","","","","","",""
"1954-01-17","1954","01","17","","-18.9","","-23.3","","-21.1","","39.1","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1954-01-18","1954","01","18","","-15.6","","-29.4","","-22.5","","40.5","","0.0","","0.0","","0.8","","0.8","","","","","","",""
"1954-01-19","1954","01","19","","-6.1","","-25.0","","-15.6","","33.6","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1954-01-20","1954","01","20","","2.8","","-15.6","","-6.4","","24.4","","0.0","","13.5","","0.0","","13.5","","","","","","",""
"1954-01-21","1954","01","21","","-6.1","","-6.7","","-6.4","","24.4","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1954-01-22","1954","01","22","","-17.2","","-27.2","","-22.2","","40.2","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1954-01-23","1954","01","23","","-16.7","","-33.3","","-25.0","","43.0","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1954-01-24","1954","01","24","","-1.7","","-27.8","","-14.8","","32.8","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1954-01-25","1954","01","25","","2.2","","-17.2","","-7.5","","25.5","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1954-01-26","1954","01","26","","1.7","","-1.7","","0.0","","18.0","","0.0","","2.5","","0.0","","2.5","","","","","","",""
"1954-01-27","1954","01","27","","-9.4","","-10.0","","-9.7","","27.7","","0.0","","0.0","","7.6","","7.6","","","","","","",""
"1954-01-28","1954","01","28","","-10.6","","-15.6","","-13.1","","31.1","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1954-01-29","1954","01","29","","-13.3","","-27.8","","-20.6","","38.6","","0.0","","0.0","","5.1","","5.1","","","","","","",""
"1954-01-30","1954","01","30","","-6.1","","-25.0","","-15.6","","33.6","","0.0","","0.0","","2.5","","2.5","","","","","","",""
"1954-01-31","1954","01","31","","-11.7","","-18.9","","-15.3","","33.3","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1954-02-01","1954","02","01","","-10.6","","-31.1","","-20.9","","38.9","","0.0","","0.0","","2.0","","2.0","","","","","","",""
"1954-02-02","1954","02","02","","-4.4","","-28.3","","-16.4","","34.4","","0.0","","0.0","","3.8","","3.8","","","","","","",""
"1954-02-03","1954","02","03","","-0.6","","-10.6","","-5.6","","23.6","","0.0","","0.0","","15.7","","15.7","","","","","","",""
"1954-02-04","1954","02","04","","1.1","","-5.0","","-2.0","","20.0","","0.0","","0.0","","2.5","","2.5","","","","","","",""
"1954-02-05","1954","02","05","","1.7","","-2.2","","-0.3","","18.3","","0.0","","0.0","","2.0","","2.0","","","","","","",""
"1954-02-06","1954","02","06","","-5.6","","-7.8","","-6.7","","24.7","","0.0","","0.0","","0.5","","0.5","","","","","","",""
"1954-02-07","1954","02","07","","-1.1","","-15.6","","-8.4","","26.4","","0.0","","0.0","","2.0","","2.0","","","","","","",""
"1954-02-08","1954","02","08","","1.1","","-10.6","","-4.8","","22.8","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1954-02-09","1954","02","09","","0.6","","-6.1","","-2.8","","20.8","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1954-02-10","1954","02","10","","-6.1","","-15.0","","-10.6","","28.6","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1954-02-11","1954","02","11","","-10.0","","-21.7","","-15.9","","33.9","","0.0","","0.0","","1.3","","1.3","","","","","","",""
"1954-02-12","1954","02","12","","-18.9","","-26.7","","-22.8","","40.8","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1954-02-13","1954","02","13","","-15.0","","-31.7","","-23.4","","41.4","","0.0","","0.0","","1.3","","1.3","","","","","","",""
"1954-02-14","1954","02","14","","-5.0","","-26.7","","-15.9","","33.9","","0.0","","0.0","","3.8","","3.8","","","","","","",""
"1954-02-15","1954","02","15","","4.4","","-16.7","","-6.2","","24.2","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1954-02-16","1954","02","16","","2.2","","-5.0","","-1.4","","19.4","","0.0","","0.0","","20.3","","20.3","","","","","","",""
"1954-02-17","1954","02","17","","1.1","","-2.8","","-0.9","","18.9","","0.0","","0.0","","15.2","","15.2","","","","","","",""
"1954-02-18","1954","02","18","","7.8","","-8.9","","-0.6","","18.6","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1954-02-19","1954","02","19","","3.9","","-11.7","","-3.9","","21.9","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1954-02-20","1954","02","20","","5.6","","-13.3","","-3.9","","21.9","","0.0","","7.4","","0.0","","7.4","","","","","","",""
"1954-02-21","1954","02","21","","5.0","","-10.0","","-2.5","","20.5","","0.0","","13.2","","0.0","","13.2","","","","","","",""
"1954-02-22","1954","02","22","","4.4","","-1.7","","1.4","","16.6","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1954-02-23","1954","02","23","","-3.9","","-14.4","","-9.2","","27.2","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1954-02-24","1954","02","24","","0.0","","-12.2","","-6.1","","24.1","","0.0","","0.0","","1.3","","1.3","","","","","","",""
"1954-02-25","1954","02","25","","1.1","","-7.8","","-3.4","","21.4","","0.0","","0.0","","2.0","","2.0","","","","","","",""
"1954-02-26","1954","02","26","","1.1","","-3.3","","-1.1","","19.1","","0.0","","0.0","","5.6","","5.6","","","","","","",""
"1954-02-27","1954","02","27","","3.3","","-2.8","","0.3","","17.7","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1954-02-28","1954","02","28","","5.6","","-2.2","","1.7","","16.3","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1954-03-01","1954","03","01","","6.7","","-1.7","","2.5","","15.5","","0.0","","2.3","","0.0","","2.3","","","","","","",""
"1954-03-02","1954","03","02","","3.9","","-1.1","","1.4","","16.6","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1954-03-03","1954","03","03","","6.1","","-5.6","","0.3","","17.7","","0.0","","2.3","","7.6","","9.9","","","","","","",""
"1954-03-04","1954","03","04","","-8.3","","-8.9","","-8.6","","26.6","","0.0","","0.0","","1.3","","1.3","","","","","","",""
"1954-03-05","1954","03","05","","-7.8","","-14.4","","-11.1","","29.1","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1954-03-06","1954","03","06","","-2.2","","-13.9","","-8.1","","26.1","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1954-03-07","1954","03","07","","2.2","","-10.6","","-4.2","","22.2","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1954-03-08","1954","03","08","","-1.7","","-13.9","","-7.8","","25.8","","0.0","","0.0","","0.5","","0.5","","","","","","",""
"1954-03-09","1954","03","09","","-0.6","","-11.7","","-6.2","","24.2","","0.0","","0.0","","1.3","","1.3","","","","","","",""
"1954-03-10","1954","03","10","","2.2","","-5.6","","-1.7","","19.7","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1954-03-11","1954","03","11","","-0.6","","-15.6","","-8.1","","26.1","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1954-03-12","1954","03","12","","0.6","","-17.2","","-8.3","","26.3","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1954-03-13","1954","03","13","","-2.2","","-11.7","","-7.0","","25.0","","0.0","","0.0","","0.8","","0.8","","","","","","",""
"1954-03-14","1954","03","14","","-0.6","","-6.1","","-3.4","","21.4","","0.0","","0.0","","1.3","","1.3","","","","","","",""
"1954-03-15","1954","03","15","","1.1","","-11.1","","-5.0","","23.0","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1954-03-16","1954","03","16","","3.3","","-12.2","","-4.5","","22.5","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1954-03-17","1954","03","17","","2.2","","-11.1","","-4.5","","22.5","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1954-03-18","1954","03","18","","2.2","","-15.6","","-6.7","","24.7","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1954-03-19","1954","03","19","","2.8","","-9.4","","-3.3","","21.3","","0.0","","0.0","","5.1","","5.1","","","","","","",""
"1954-03-20","1954","03","20","","1.1","","-2.2","","-0.6","","18.6","","0.0","","0.0","","10.2","","10.2","","","","","","",""
"1954-03-21","1954","03","21","","0.0","","-3.3","","-1.7","","19.7","","0.0","","0.0","","0.5","","0.5","","","","","","",""
"1954-03-22","1954","03","22","","0.0","","-10.6","","-5.3","","23.3","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1954-03-23","1954","03","23","","3.3","","-10.0","","-3.4","","21.4","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1954-03-24","1954","03","24","","2.2","","-11.1","","-4.5","","22.5","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1954-03-25","1954","03","25","","8.3","","-12.8","","-2.3","","20.3","","0.0","","8.1","","0.0","","8.1","","","","","","",""
"1954-03-26","1954","03","26","","5.0","","-3.9","","0.6","","17.4","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1954-03-27","1954","03","27","","-1.1","","-11.1","","-6.1","","24.1","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1954-03-28","1954","03","28","","4.4","","-13.9","","-4.8","","22.8","","0.0","","5.1","","0.0","","5.1","","","","","","",""
"1954-03-29","1954","03","29","","-0.6","","-1.1","","-0.9","","18.9","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1954-03-30","1954","03","30","","-2.8","","-12.2","","-7.5","","25.5","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1954-03-31","1954","03","31","","1.1","","-12.2","","-5.6","","23.6","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1954-04-01","1954","04","01","","2.8","","-13.3","","-5.3","","23.3","","0.0","","0.0","","0.0","T","0.0","T","","","","","",""
"1954-04-02","1954","04","02","","2.8","","-6.1","","-1.7","","19.7","","0.0","","0.0","","5.1","","5.1","","","","","","",""
"1954-04-03","1954","04","03","","-6.1","","-16.7","","-11.4","","29.4","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1954-04-04","1954","04","04","","-5.6","","-19.4","","-12.5","","30.5","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1954-04-05","1954","04","05","","4.4","","-12.2","","-3.9","","21.9","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1954-04-06","1954","04","06","","3.9","","-5.6","","-0.9","","18.9","","0.0","","29.7","","0.0","","29.7","","","","","","",""
"1954-04-07","1954","04","07","","11.1","","-1.1","","5.0","","13.0","","0.0","","13.7","","0.0","","13.7","","","","","","",""
"1954-04-08","1954","04","08","","11.1","","-0.6","","5.3","","12.7","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1954-04-09","1954","04","09","","6.7","","-8.9","","-1.1","","19.1","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1954-04-10","1954","04","10","","12.2","","-5.6","","3.3","","14.7","","0.0","","2.8","","0.0","","2.8","","","","","","",""
"1954-04-11","1954","04","11","","9.4","","2.8","","6.1","","11.9","","0.0","","4.8","","0.0","","4.8","","","","","","",""
"1954-04-12","1954","04","12","","10.0","","-5.6","","2.2","","15.8","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1954-04-13","1954","04","13","","12.2","","-5.6","","3.3","","14.7","","0.0","","0.0","","0.0","T","0.0","T","","","","","",""
"1954-04-14","1954","04","14","","3.3","","-3.3","","0.0","","18.0","","0.0","","0.0","","5.3","","5.3","","","","","","",""
"1954-04-15","1954","04","15","","10.6","","-7.8","","1.4","","16.6","","0.0","","2.5","","0.0","","2.5","","","","","","",""
"1954-04-16","1954","04","16","","7.8","","2.2","","5.0","","13.0","","0.0","","42.2","","0.0","","42.2","","","","","","",""
"1954-04-17","1954","04","17","","8.3","","2.2","","5.3","","12.7","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1954-04-18","1954","04","18","","15.0","","-2.2","","6.4","","11.6","","0.0","","0.0","T","0.0","","0.0","T","","","","","",""
"1954-04-19","1954","04","19","","14.4","","-2.2","","6.1","","11.9","","0.0","","5.6","","0.0","","5.6","","","","","","",""
"1954-04-20","1954","04","20","","9.4","","1.1","","5.3","","12.7","","0.0","","3.0","","0.0","","3.0","","","","","","",""
"1954-04-21","1954","04","21","","16.7","","3.3","","10.0","","8.0","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1954-04-22","1954","04","22","","25.0","","2.2","","13.6","","4.4","","0.0","","0.8","","0.0","","0.8","","","","","","",""
"1954-04-23","1954","04","23","","14.4","","5.6","","10.0","","8.0","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1954-04-24","1954","04","24","","10.0","","-5.6","","2.2","","15.8","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1954-04-25","1954","04","25","","18.3","","2.8","","10.6","","7.4","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1954-04-26","1954","04","26","","13.3","","-1.7","","5.8","","12.2","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1954-04-27","1954","04","27","","7.8","","-2.8","","2.5","","15.5","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1954-04-28","1954","04","28","","15.6","","1.7","","8.7","","9.3","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1954-04-29","1954","04","29","","20.6","","-2.8","","8.9","","9.1","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1954-04-30","1954","04","30","","24.4","","0.6","","12.5","","5.5","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1954-05-01","1954","05","01","","21.1","","5.6","","13.4","","4.6","","0.0","","6.4","","0.0","","6.4","","","","","","",""
"1954-05-02","1954","05","02","","21.7","","8.9","","15.3","","2.7","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1954-05-03","1954","05","03","","13.3","","8.3","","10.8","","7.2","","0.0","","24.4","","0.0","","24.4","","","","","","",""
"1954-05-04","1954","05","04","","8.9","","6.7","","7.8","","10.2","","0.0","","1.0","","0.0","","1.0","","","","","","",""
