"Station Name","L'ASSOMPTION"
"Province","QUEBEC"
"Latitude","45.81"
"Longitude","-73.43"
"Elevation","21.00"
"Climate Identifier","7014160"
"WMO Identifier","71524"
"TC Identifier","WEW"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1970-01-01","1970","01","01","","-13.3","","-26.1","","-19.7","","37.7","","0.0","","0.0","","0.0","","0.0","","36","","","","",""
"1970-01-02","1970","01","02","","-12.8","","-25.0","","-18.9","","36.9","","0.0","","0.0","","0.0","","0.0","","36","","","","",""
"1970-01-03","1970","01","03","","-10.6","","-26.1","","-18.4","","36.4","","0.0","","0.0","","0.0","","0.0","","36","","","","",""
"1970-01-04","1970","01","04","","-14.4","","-31.7","","-23.1","","41.1","","0.0","","0.0","","0.0","","0.0","","36","","","","",""
"1970-01-05","1970","01","05","","-12.2","","-30.0","","-21.1","","39.1","","0.0","","0.0","","0.5","","0.3","","36","","","","",""
"1970-01-06","1970","01","06","","-10.0","","-21.1","","-15.6","","33.6","","0.0","","0.0","","0.0","","0.0","","36","","","","",""
"1970-01-07","1970","01","07","","-11.7","","-26.7","","-19.2","","37.2","","0.0","","0.0","","0.3","","0.3","","36","","","","",""
"1970-01-08","1970","01","08","","-12.2","","-20.0","","-16.1","","34.1","","0.0","","0.0","","0.0","T","0.0","T","36","","","","",""
"1970-01-09","1970","01","09","","-12.2","","-21.1","","-16.7","","34.7","","0.0","","0.0","","0.5","","0.5","","36","","","","",""
"1970-01-10","1970","01","10","","-9.4","","-15.0","","-12.2","","30.2","","0.0","","0.0","","0.0","","0.0","","36","","","","",""
"1970-01-11","1970","01","11","","-11.7","","-18.3","","-15.0","","33.0","","0.0","","0.0","","0.0","","0.0","","36","","","","",""
"1970-01-12","1970","01","12","","-13.3","","-28.9","","-21.1","","39.1","","0.0","","0.0","","0.8","","1.0","","33","","","","",""
"1970-01-13","1970","01","13","","-12.8","","-22.8","","-17.8","","35.8","","0.0","","0.0","","0.0","T","0.0","T","33","","","","",""
"1970-01-14","1970","01","14","","-15.0","","-21.1","","-18.1","","36.1","","0.0","","0.0","","0.0","","0.0","","33","","","","",""
"1970-01-15","1970","01","15","","-19.4","","-25.6","","-22.5","","40.5","","0.0","","0.0","","0.0","","0.0","","33","","","","",""
"1970-01-16","1970","01","16","","-11.1","","-27.8","","-19.5","","37.5","","0.0","","0.0","","3.0","","2.8","","33","","","","",""
"1970-01-17","1970","01","17","","-5.0","","-16.1","","-10.6","","28.6","","0.0","","0.0","","0.0","","0.0","","36","","","","",""
"1970-01-18","1970","01","18","","-12.8","","-20.0","","-16.4","","34.4","","0.0","","0.0","","0.0","","0.0","","36","","","","",""
"1970-01-19","1970","01","19","","-17.2","","-35.6","","-26.4","","44.4","","0.0","","0.0","","0.0","","0.0","","36","","","","",""
"1970-01-20","1970","01","20","","-19.4","","-35.0","","-27.2","","45.2","","0.0","","0.0","","0.0","","0.0","","36","","","","",""
"1970-01-21","1970","01","21","","-17.2","","-31.1","","-24.2","","42.2","","0.0","","0.0","","0.3","","0.3","","36","","","","",""
"1970-01-22","1970","01","22","","-15.6","","-27.8","","-21.7","","39.7","","0.0","","0.0","","1.5","","1.8","","36","","","","",""
"1970-01-23","1970","01","23","","-12.8","","-25.6","","-19.2","","37.2","","0.0","","0.0","","0.3","","0.3","","36","","","","",""
"1970-01-24","1970","01","24","","-13.9","","-31.7","","-22.8","","40.8","","0.0","","0.0","","0.0","T","0.0","T","36","","","","",""
"1970-01-25","1970","01","25","","-8.9","","-21.7","","-15.3","","33.3","","0.0","","0.0","","2.0","","1.8","","36","","","","",""
"1970-01-26","1970","01","26","","-3.3","","-16.1","","-9.7","","27.7","","0.0","","0.0","","0.0","","0.0","","36","","","","",""
"1970-01-27","1970","01","27","","-10.0","","-17.8","","-13.9","","31.9","","0.0","","0.0","","0.0","T","0.0","T","36","","","","",""
"1970-01-28","1970","01","28","","4.4","","-15.6","","-5.6","","23.6","","0.0","","6.1","","6.1","","16.8","","36","","","","",""
"1970-01-29","1970","01","29","","3.9","","-7.8","","-2.0","","20.0","","0.0","","0.0","","0.0","","0.0","","36","","","","",""
"1970-01-30","1970","01","30","","-8.9","","-13.9","","-11.4","","29.4","","0.0","","0.0","","0.0","","0.0","","33","","","","",""
"1970-01-31","1970","01","31","","0.0","","-20.0","","-10.0","","28.0","","0.0","","0.0","","0.3","","0.3","","33","","","","",""
"1970-02-01","1970","02","01","","2.8","","-4.4","","-0.8","","18.8","","0.0","","0.0","","0.0","","0.0","","33","","","","",""
"1970-02-02","1970","02","02","","4.4","","-1.7","","1.4","","16.6","","0.0","","11.9","","0.0","","11.9","","33","","","","",""
"1970-02-03","1970","02","03","","-1.1","","-8.3","","-4.7","","22.7","","0.0","","0.0","","12.4","","11.9","","25","","","","",""
"1970-02-04","1970","02","04","","-20.0","","-22.8","","-21.4","","39.4","","0.0","","0.0","","0.0","","0.0","","33","","","","",""
"1970-02-05","1970","02","05","","-8.3","","-28.3","","-18.3","","36.3","","0.0","","0.0","","0.0","","0.0","","33","","","","",""
"1970-02-06","1970","02","06","","-1.1","","-15.6","","-8.4","","26.4","","0.0","","0.0","","0.0","T","0.0","T","33","","","","",""
"1970-02-07","1970","02","07","","0.0","","-13.3","","-6.7","","24.7","","0.0","","0.0","","0.0","","0.0","","33","","","","",""
"1970-02-08","1970","02","08","","1.7","","-15.0","","-6.7","","24.7","","0.0","","0.0","","0.0","","0.0","","33","","","","",""
"1970-02-09","1970","02","09","","-3.3","","-11.7","","-7.5","","25.5","","0.0","","0.0","","0.0","","0.0","","30","","","","",""
"1970-02-10","1970","02","10","","2.2","","-5.6","","-1.7","","19.7","","0.0","","5.8","","4.1","","9.7","","30","","","","",""
"1970-02-11","1970","02","11","","3.3","","0.0","","1.7","","16.3","","0.0","","7.6","","4.3","","12.7","","28","","","","",""
"1970-02-12","1970","02","12","","-10.6","","-15.0","","-12.8","","30.8","","0.0","","0.0","","0.3","","0.3","","30","","","","",""
"1970-02-13","1970","02","13","","-17.8","","-26.1","","-22.0","","40.0","","0.0","","0.0","","0.0","","0.0","","30","","","","",""
"1970-02-14","1970","02","14","","-13.9","","-30.6","","-22.3","","40.3","","0.0","","0.0","","0.0","","0.0","","30","","","","",""
"1970-02-15","1970","02","15","","-10.0","","-25.0","","-17.5","","35.5","","0.0","","0.0","","7.4","","5.8","","30","","","","",""
"1970-02-16","1970","02","16","","-7.8","","-16.7","","-12.3","","30.3","","0.0","","0.0","","0.0","","0.0","","33","","","","",""
"1970-02-17","1970","02","17","","-5.6","","-16.7","","-11.2","","29.2","","0.0","","0.0","","0.0","","0.0","","33","","","","",""
"1970-02-18","1970","02","18","","2.2","","-16.7","","-7.3","","25.3","","0.0","","0.0","","3.3","","6.4","","33","","","","",""
"1970-02-19","1970","02","19","","-6.7","","-12.2","","-9.5","","27.5","","0.0","","0.0","","0.0","","0.0","","36","","","","",""
