"Station Name","L'ASSOMPTION"
"Province","QUEBEC"
"Latitude","45.81"
"Longitude","-73.43"
"Elevation","21.00"
"Climate Identifier","7014160"
"WMO Identifier","71524"
"TC Identifier","WEW"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1980-01-01","1980","01","01","","-4.0","","-9.0","","-6.5","","24.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1980-01-02","1980","01","02","","-2.5","","-5.5","","-4.0","","22.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1980-01-03","1980","01","03","","-9.5","","-15.5","","-12.5","","30.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1980-01-04","1980","01","04","","-7.5","","-17.5","","-12.5","","30.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1980-01-05","1980","01","05","","-8.0","","-14.0","","-11.0","","29.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1980-01-06","1980","01","06","","-2.5","","-17.0","","-9.8","","27.8","","0.0","","0.0","","0.8","","0.8","","0","","","","",""
"1980-01-07","1980","01","07","","2.5","","-13.5","","-5.5","","23.5","","0.0","","0.0","","1.5","","1.5","","1","","","","",""
"1980-01-08","1980","01","08","","-4.0","","-7.0","","-5.5","","23.5","","0.0","","0.0","","0.0","","0.0","","2","","","","",""
"1980-01-09","1980","01","09","","-7.0","","-12.0","","-9.5","","27.5","","0.0","","0.0","","0.0","","0.0","","2","","","","",""
"1980-01-10","1980","01","10","","-4.5","","-17.5","","-11.0","","29.0","","0.0","","0.0","T","0.0","","0.0","T","2","","","","",""
"1980-01-11","1980","01","11","","10.5","","-10.5","","0.0","","18.0","","0.0","","14.6","","0.0","","14.6","","2","","","","",""
"1980-01-12","1980","01","12","","-6.0","","-8.5","","-7.3","","25.3","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1980-01-13","1980","01","13","","-0.5","","-15.0","","-7.8","","25.8","","0.0","","0.0","","1.5","","1.5","","0","","","","",""
"1980-01-14","1980","01","14","","3.0","","-8.5","","-2.8","","20.8","","0.0","","1.6","","1.0","","2.6","","1","","","","",""
"1980-01-15","1980","01","15","","-0.5","","-11.0","","-5.8","","23.8","","0.0","","0.0","","0.0","","0.0","","1","","","","",""
"1980-01-16","1980","01","16","","-6.0","","-13.0","","-9.5","","27.5","","0.0","","0.0","","0.0","","0.0","","1","","","","",""
"1980-01-17","1980","01","17","","-1.5","","-9.5","","-5.5","","23.5","","0.0","","0.0","","0.0","","0.0","","1","","","","",""
"1980-01-18","1980","01","18","","2.0","","-4.5","","-1.3","","19.3","","0.0","","0.2","","0.0","","0.2","","1","","","","",""
"1980-01-19","1980","01","19","","3.0","","-0.5","","1.3","","16.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1980-01-20","1980","01","20","","-5.0","","-8.0","","-6.5","","24.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1980-01-21","1980","01","21","","-9.5","","-13.5","","-11.5","","29.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1980-01-22","1980","01","22","","-4.0","","-16.5","","-10.3","","28.3","","0.0","","5.6","","0.0","","5.6","","0","","","","",""
"1980-01-23","1980","01","23","","0.0","","-9.5","","-4.8","","22.8","","0.0","","0.2","","0.0","","0.2","","5","","","","",""
"1980-01-24","1980","01","24","","-18.5","","-24.0","","-21.3","","39.3","","0.0","","0.0","","0.0","","0.0","","5","","","","",""
"1980-01-25","1980","01","25","","-13.0","","-21.5","","-17.3","","35.3","","0.0","","0.0","","0.0","","0.0","","5","","","","",""
"1980-01-26","1980","01","26","","-10.5","","-19.5","","-15.0","","33.0","","0.0","","0.0","","0.0","","0.0","","5","","","","",""
"1980-01-27","1980","01","27","","-4.5","","-12.0","","-8.3","","26.3","","0.0","","0.0","","0.0","","0.0","","5","","","","",""
"1980-01-28","1980","01","28","","-3.0","","-14.5","","-8.8","","26.8","","0.0","","0.0","","0.0","","0.0","","5","","","","",""
"1980-01-29","1980","01","29","","-10.5","","-22.5","","-16.5","","34.5","","0.0","","0.0","","0.0","","0.0","","5","","","","",""
"1980-01-30","1980","01","30","","-10.5","","-19.5","","-15.0","","33.0","","0.0","","0.0","","0.0","","0.0","","5","","","","",""
"1980-01-31","1980","01","31","","-11.0","","-23.0","","-17.0","","35.0","","0.0","","0.0","","0.0","","0.0","","5","","","","",""
"1980-02-01","1980","02","01","","-8.0","","-16.5","","-12.3","","30.3","","0.0","","0.0","","0.0","","0.0","","5","","","","",""
"1980-02-02","1980","02","02","","-12.5","","-17.0","","-14.8","","32.8","","0.0","","0.0","","0.0","T","0.0","T","3","","","","",""
"1980-02-03","1980","02","03","","-11.5","","-18.0","","-14.8","","32.8","","0.0","","0.0","","0.0","","0.0","","3","","","","",""
"1980-02-04","1980","02","04","","-9.5","","-19.0","","-14.3","","32.3","","0.0","","0.0","","0.0","","0.0","","3","","","","",""
"1980-02-05","1980","02","05","","-5.5","","-12.0","","-8.8","","26.8","","0.0","","0.0","","0.0","","0.0","","3","","","","",""
"1980-02-06","1980","02","06","","-4.5","","-20.0","","-12.3","","30.3","","0.0","","0.0","","0.0","","0.0","","3","","","","",""
"1980-02-07","1980","02","07","","-4.0","","-17.0","","-10.5","","28.5","","0.0","","0.0","","0.0","","0.0","","3","","","","",""
"1980-02-08","1980","02","08","","-1.5","","-19.0","","-10.3","","28.3","","0.0","","0.0","","0.0","","0.0","","3","","","","",""
"1980-02-09","1980","02","09","","-2.5","","-18.5","","-10.5","","28.5","","0.0","","0.0","","0.0","","0.0","","3","","","","",""
"1980-02-10","1980","02","10","","-4.5","","-17.0","","-10.8","","28.8","","0.0","","0.0","","0.0","","0.0","","3","","","","",""
"1980-02-11","1980","02","11","","-3.0","","-19.0","","-11.0","","29.0","","0.0","","0.0","","1.8","","1.8","","3","","","","",""
"1980-02-12","1980","02","12","","-1.0","","-11.0","","-6.0","","24.0","","0.0","","0.0","","0.0","T","0.0","T","4","","","","",""
"1980-02-13","1980","02","13","","-3.5","","-18.5","","-11.0","","29.0","","0.0","","0.0","","0.2","","0.2","","5","","","","",""
"1980-02-14","1980","02","14","","-1.0","","-10.5","","-5.8","","23.8","","0.0","","0.0","","0.0","T","0.0","T","6","","","","",""
"1980-02-15","1980","02","15","","-4.5","","-16.0","","-10.3","","28.3","","0.0","","0.0","","0.6","","0.6","","5","","","","",""
"1980-02-16","1980","02","16","","-8.0","","-12.0","","-10.0","","28.0","","0.0","","0.0","","0.0","","0.0","","5","","","","",""
"1980-02-17","1980","02","17","","-6.0","","-18.0","","-12.0","","30.0","","0.0","","0.0","","0.0","","0.0","","5","","","","",""
"1980-02-18","1980","02","18","","-3.5","","-14.0","","-8.8","","26.8","","0.0","","0.0","","0.0","","0.0","","5","","","","",""
"1980-02-19","1980","02","19","","1.0","","-8.0","","-3.5","","21.5","","0.0","","0.0","","0.0","T","0.0","T","5","","","","",""
"1980-02-20","1980","02","20","","4.5","","-2.0","","1.3","","16.7","","0.0","","0.0","","0.0","","0.0","","3","","","","",""
"1980-02-21","1980","02","21","","1.5","","-4.0","","-1.3","","19.3","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
"1980-02-22","1980","02","22","","-4.5","","-18.0","","-11.3","","29.3","","0.0","","0.0","","3.8","","3.8","","0","T","","","",""
"1980-02-23","1980","02","23","","-1.0","","-10.5","","-5.8","","23.8","","0.0","","0.0","","1.0","","1.0","","3","","","","",""
"1980-02-24","1980","02","24","","1.0","","-11.5","","-5.3","","23.3","","0.0","","0.0","","3.5","","3.5","","4","","","","",""
"1980-02-25","1980","02","25","","-1.5","","-6.0","","-3.8","","21.8","","0.0","","0.0","","0.0","","0.0","","8","","","","",""
"1980-02-26","1980","02","26","","-12.0","","-23.5","","-17.8","","35.8","","0.0","","0.0","","0.0","","0.0","","8","","","","",""
"1980-02-27","1980","02","27","","-11.0","","-26.5","","-18.8","","36.8","","0.0","","0.0","","2.6","","2.6","","8","","","","",""
"1980-02-28","1980","02","28","","-8.5","","-14.5","","-11.5","","29.5","","0.0","","0.0","","0.0","T","0.0","T","10","","","","",""
"1980-02-29","1980","02","29","","-11.5","","-18.5","","-15.0","","33.0","","0.0","","0.0","","0.0","","0.0","","10","","","","",""
"1980-03-01","1980","03","01","","-14.5","","-26.0","","-20.3","","38.3","","0.0","","0.0","","0.0","","0.0","","10","","","","",""
"1980-03-02","1980","03","02","","-12.5","","-31.0","","-21.8","","39.8","","0.0","","0.0","","0.0","","0.0","","10","","","","",""
"1980-03-03","1980","03","03","","-5.5","","-24.0","","-14.8","","32.8","","0.0","","0.0","","0.0","","0.0","","10","","","","",""
"1980-03-04","1980","03","04","","1.0","","-13.0","","-6.0","","24.0","","0.0","","0.0","","0.4","","0.4","","10","","","","",""
"1980-03-05","1980","03","05","","1.0","","-10.0","","-4.5","","22.5","","0.0","","0.0","","3.8","","3.8","","10","","","","",""
"1980-03-06","1980","03","06","","-4.0","","-9.5","","-6.8","","24.8","","0.0","","0.0","","1.2","","1.2","","11","","","","",""
"1980-03-07","1980","03","07","","0.0","","-10.0","","-5.0","","23.0","","0.0","","0.0","","0.0","","0.0","","12","","","","",""
"1980-03-08","1980","03","08","","-1.5","","-13.5","","-7.5","","25.5","","0.0","","0.0","","4.8","","4.8","","12","","","","",""
