"Station Name","L'ASSOMPTION"
"Province","QUEBEC"
"Latitude","45.81"
"Longitude","-73.43"
"Elevation","21.00"
"Climate Identifier","7014160"
"WMO Identifier","71524"
"TC Identifier","WEW"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2013-01-01","2013","01","01","†","-2.8","","-22.0","","-12.4","","30.4","","0.0","","","M","","M","0.0","","34","","30","","44",""
"2013-01-02","2013","01","02","†","-16.3","","-27.6","","-22.0","","40.0","","0.0","","","M","","M","0.0","","34","","","","<31",""
"2013-01-03","2013","01","03","†","-16.8","","-28.8","","-22.8","","40.8","","0.0","","","M","","M","0.0","","34","","","","<31",""
"2013-01-04","2013","01","04","†","-0.7","","-17.9","","-9.3","","27.3","","0.0","","0.0","","","M","4.0","","35","","24","","48",""
"2013-01-05","2013","01","05","†","-1.4","","-19.3","","-10.4","","28.4","","0.0","","","M","","M","0.0","","37","","26","","56",""
"2013-01-06","2013","01","06","†","-8.1","","-13.7","","-10.9","","28.9","","0.0","","0.0","","","M","3.0","","37","","","","<31",""
"2013-01-07","2013","01","07","†","-8.9","","-19.8","","-14.4","","32.4","","0.0","","","M","","M","0.0","","40","","","","<31",""
"2013-01-08","2013","01","08","†","1.8","","-13.2","","-5.7","","23.7","","0.0","","","M","","M","0.0","","39","","21","","39",""
"2013-01-09","2013","01","09","†","3.1","","-8.8","","-2.9","","20.9","","0.0","","","M","","M","2.0","","38","","25","","43",""
"2013-01-10","2013","01","10","†","3.8","","-8.5","","-2.4","","20.4","","0.0","","","M","","M","0.0","","37","","26","","41",""
"2013-01-11","2013","01","11","†","1.8","","-9.7","","-4.0","","22.0","","0.0","","","M","","M","0.0","","36","","","","<31",""
"2013-01-12","2013","01","12","†","4.5","","-0.1","","2.2","","15.8","","0.0","","","M","","M","2.0","","34","","","","<31",""
"2013-01-13","2013","01","13","†","4.6","","0.9","","2.8","","15.2","","0.0","","","M","","M","4.0","","29","","","","<31",""
"2013-01-14","2013","01","14","†","5.4","","-1.7","","1.9","","16.1","","0.0","","","M","","M","1.0","","23","","26","","41",""
"2013-01-15","2013","01","15","†","-1.2","","-7.0","","-4.1","","22.1","","0.0","","","M","","M","0.0","","20","","","","<31",""
"2013-01-16","2013","01","16","†","0.7","","-7.9","","-3.6","","21.6","","0.0","","","M","","M","0.0","","19","","21","","37",""
"2013-01-17","2013","01","17","†","1.0","","-23.5","","-11.3","","29.3","","0.0","","","M","","M","0.0","","20","","30","","48",""
"2013-01-18","2013","01","18","†","-11.0","","-27.9","","-19.5","","37.5","","0.0","","","M","","M","0.0","","19","","","","<31",""
"2013-01-19","2013","01","19","†","-4.9","","-13.8","","-9.4","","27.4","","0.0","","0.0","","","M","17.0","","21","","","","<31",""
"2013-01-20","2013","01","20","†","4.2","","-19.1","","-7.5","","25.5","","0.0","","","M","","M","5.0","","33","","20","","72",""
"2013-01-21","2013","01","21","†","-16.5","","-23.7","","-20.1","","38.1","","0.0","","","M","","M","0.0","","28","","","","<31",""
"2013-01-22","2013","01","22","†","-16.2","","-26.3","","-21.3","","39.3","","0.0","","","M","","M","0.0","","28","","29","","33",""
"2013-01-23","2013","01","23","†","-23.4","","-32.1","","-27.8","","45.8","","0.0","","","M","","M","0.0","","28","","","","<31",""
"2013-01-24","2013","01","24","†","-17.5","","-27.0","","-22.3","","40.3","","0.0","","","M","","M","0.0","","28","","28","","37",""
"2013-01-25","2013","01","25","†","-15.7","","-24.4","","-20.1","","38.1","","0.0","","","M","","M","0.0","","28","","","","<31",""
"2013-01-26","2013","01","26","†","-11.4","","-29.2","","-20.3","","38.3","","0.0","","","M","","M","0.0","","28","","","","<31",""
"2013-01-27","2013","01","27","†","-12.4","","-24.8","","-18.6","","36.6","","0.0","","","M","","M","0.0","","28","","","","<31",""
"2013-01-28","2013","01","28","†","-9.7","","-20.5","","-15.1","","33.1","","0.0","","0.0","","","M","2.0","","29","","","","<31",""
"2013-01-29","2013","01","29","†","-3.0","","-17.7","","-10.4","","28.4","","0.0","","","M","","M","0.0","","29","","","","<31",""
"2013-01-30","2013","01","30","†","8.1","","-3.0","","2.6","","15.4","","0.0","","","M","","M","8.0","","29","","19","","35",""
"2013-01-31","2013","01","31","†","9.3","","-13.0","","-1.9","","19.9","","0.0","","","M","","M","18.0","","9","","23","","82",""
"2013-02-01","2013","02","01","†","-11.6","","-17.8","","-14.7","","32.7","","0.0","","","M","","M","0.0","","","","25","","35",""
"2013-02-02","2013","02","02","†","-14.6","","-21.9","","-18.3","","36.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"2013-02-03","2013","02","03","†","-9.8","","-18.0","","-13.9","","31.9","","0.0","","","M","","M","1.0","","","","","","<31",""
"2013-02-04","2013","02","04","†","-8.1","","-19.4","","-13.8","","31.8","","0.0","","","M","","M","0.0","","","","28","","41",""
"2013-02-05","2013","02","05","†","-10.9","","-24.9","","-17.9","","35.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"2013-02-06","2013","02","06","†","-6.6","","-19.6","","-13.1","","31.1","","0.0","","","M","","M","0.0","","","","26","","37",""
"2013-02-07","2013","02","07","†","-19.0","","-23.5","","-21.3","","39.3","","0.0","","","M","","M","0.0","","9","","","","<31",""
"2013-02-08","2013","02","08","†","-11.6","","-19.4","","-15.5","","33.5","","0.0","","","M","","M","12.0","","","","1","","44",""
"2013-02-09","2013","02","09","†","-7.2","","-22.7","","-15.0","","33.0","","0.0","","","M","","M","0.0","","","","4","","41",""
"2013-02-10","2013","02","10","†","-6.0","","-25.0","","-15.5","","33.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"2013-02-11","2013","02","11","†","1.0","","-14.4","","-6.7","","24.7","","0.0","","","M","","M","4.0","","","","23","","41",""
"2013-02-12","2013","02","12","†","3.1","","-1.6","","0.8","","17.2","","0.0","","","M","","M","0.0","","","","28","","35",""
"2013-02-13","2013","02","13","†","0.6","","-3.6","","-1.5","","19.5","","0.0","","","M","","M","","M","","","","","<31",""
"2013-02-14","2013","02","14","†","1.7","","-3.7","E","-1.0","E","19.0","E","0.0","E","","M","","M","","M","","","","","<31",""
"2013-02-15","2013","02","15","†","2.8","","-3.0","","-0.1","","18.1","","0.0","","","M","","M","3.3","","","","24","","54",""
"2013-02-16","2013","02","16","†","-2.6","","-13.6","","-8.1","","26.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"2013-02-17","2013","02","17","†","-7.6","","-17.0","","-12.3","","30.3","","0.0","","","M","","M","0.0","","","","28","","39",""
"2013-02-18","2013","02","18","†","-6.5","","-17.1","","-11.8","","29.8","","0.0","","","M","","M","0.0","","","","27","","41",""
"2013-02-19","2013","02","19","†","-1.5","","-15.3","","-8.4","","26.4","","0.0","","","M","","M","4.0","","","","","","<31",""
"2013-02-20","2013","02","20","†","-2.0","","-10.6","","-6.3","","24.3","","0.0","","","M","","M","","M","","","","","<31",""
"2013-02-21","2013","02","21","†","","M","-13.0","E","","M","","M","","M","","M","","M","","M","","","","","<31",""
"2013-02-22","2013","02","22","†","-1.1","","-13.6","","-7.4","","25.4","","0.0","","","M","","M","","M","","","","","<31",""
"2013-02-23","2013","02","23","†","0.2","","-5.4","","-2.6","","20.6","","0.0","","","M","","M","8.0","","","","","","<31",""
"2013-02-24","2013","02","24","†","0.3","","-1.2","","-0.5","","18.5","","0.0","","","M","","M","3.0","","","","","","<31",""
