"Station Name","L'ASSOMPTION"
"Province","QUEBEC"
"Latitude","45.81"
"Longitude","-73.43"
"Elevation","21.00"
"Climate Identifier","7014160"
"WMO Identifier","71524"
"TC Identifier","WEW"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1995-01-01","1995","01","01","†","-4.7","","-8.7","","-6.7","","24.7","","0.0","","","M","","M","8.0","","","","","","<31",""
"1995-01-02","1995","01","02","†","-2.9","","-9.1","","-6.0","","24.0","","0.0","","","M","","M","","M","","","26","","32",""
"1995-01-03","1995","01","03","†","-4.6","","-13.8","","-9.2","","27.2","","0.0","","","M","","M","0.0","","","","25","","32",""
"1995-01-04","1995","01","04","†","-4.7","","-18.4","","-11.6","","29.6","","0.0","","","M","","M","1.0","","","","27","","39",""
"1995-01-05","1995","01","05","†","-5.5","","-23.7","","-14.6","","32.6","","0.0","","","M","","M","1.0","","","","23","","52",""
"1995-01-06","1995","01","06","†","-3.2","","-6.9","","-5.1","","23.1","","0.0","","","M","","M","4.0","","","","22","","48",""
"1995-01-07","1995","01","07","†","-1.7","","-12.2","","-7.0","","25.0","","0.0","","","M","","M","9.9","","","","","","<31",""
"1995-01-08","1995","01","08","†","-8.1","","-20.9","","-14.5","","32.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"1995-01-09","1995","01","09","†","-6.6","","-25.4","","-16.0","","34.0","","0.0","","","M","","M","0.0","","","","23","","32",""
"1995-01-10","1995","01","10","†","-20.0","","-31.6","","-25.8","","43.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"1995-01-11","1995","01","11","†","-15.8","","-33.2","","-24.5","","42.5","","0.0","","","M","","M","3.0","","","","2","","32",""
"1995-01-12","1995","01","12","†","-4.9","","-15.8","","-10.4","","28.4","","0.0","","","M","","M","18.0","","","","4","","35",""
"1995-01-13","1995","01","13","†","-3.3","","-5.6","","-4.5","","22.5","","0.0","","","M","","M","3.0","","","","","","<31",""
"1995-01-14","1995","01","14","†","0.1","","-4.2","","-2.1","","20.1","","0.0","","","M","","M","1.0","","","","","","<31",""
"1995-01-15","1995","01","15","†","11.1","","0.1","","5.6","","12.4","","0.0","","","M","","M","26.0","","","","17","","33",""
"1995-01-16","1995","01","16","†","5.8","","0.2","","3.0","","15.0","","0.0","","","M","","M","0.0","","","","2","","32",""
"1995-01-17","1995","01","17","†","0.5","","-3.4","","-1.5","","19.5","","0.0","","","M","","M","0.0","","","","6","","33",""
"1995-01-18","1995","01","18","†","0.2","","-3.2","","-1.5","","19.5","","0.0","","","M","","M","0.0","","","","6","","32",""
"1995-01-19","1995","01","19","†","1.4","","-0.7","","0.4","","17.6","","0.0","","","M","","M","1.1","","","","","","<31",""
"1995-01-20","1995","01","20","†","1.9","","1.0","","1.5","","16.5","","0.0","","","M","","M","25.9","","","","2","","52",""
"1995-01-21","1995","01","21","†","1.1","","-1.6","","-0.3","","18.3","","0.0","","","M","","M","11.1","","","","5","","48",""
"1995-01-22","1995","01","22","†","-1.5","","-3.9","","-2.7","","20.7","","0.0","","","M","","M","2.1","","","","3","","35",""
"1995-01-23","1995","01","23","†","-1.6","","-4.4","","-3.0","","21.0","","0.0","","","M","","M","1.0","","","","","","<31",""
"1995-01-24","1995","01","24","†","-2.7","","-4.9","","-3.8","","21.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"1995-01-25","1995","01","25","†","-2.5","","-13.9","","-8.2","","26.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"1995-01-26","1995","01","26","†","-8.2","","-18.1","","-13.2","","31.2","","0.0","","","M","","M","1.0","","","","24","","35",""
"1995-01-27","1995","01","27","†","-12.0","","-20.0","","-16.0","","34.0","","0.0","","","M","","M","0.0","","","","29","","32",""
"1995-01-28","1995","01","28","†","-9.7","","-18.7","","-14.2","","32.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"1995-01-29","1995","01","29","†","-5.3","","-19.6","","-12.5","","30.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"1995-01-30","1995","01","30","†","-2.5","","-9.6","","-6.1","","24.1","","0.0","","","M","","M","1.0","","","","25","","35",""
"1995-01-31","1995","01","31","†","0.8","","-7.2","","-3.2","","21.2","","0.0","","","M","","M","1.0","","","","22","","44",""
"1995-02-01","1995","02","01","†","2.1","","-10.3","","-4.1","","22.1","","0.0","","","M","","M","1.0","","","","35","","39",""
"1995-02-02","1995","02","02","†","-7.8","","-16.1","","-12.0","","30.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"1995-02-03","1995","02","03","†","-8.6","","-20.2","","-14.4","","32.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"1995-02-04","1995","02","04","†","-7.1","","-16.1","","-11.6","","29.6","","0.0","","","M","","M","13.6","","","","2","","48",""
"1995-02-05","1995","02","05","†","-7.5","","-23.1","","-15.3","","33.3","","0.0","","","M","","M","2.4","","","","32","","52",""
"1995-02-06","1995","02","06","†","-22.8","","-27.5","","-25.2","","43.2","","0.0","","","M","","M","0.0","","","","27","","43",""
"1995-02-07","1995","02","07","†","-16.0","","-25.3","","-20.7","","38.7","","0.0","","","M","","M","1.1","","","","23","","37",""
"1995-02-08","1995","02","08","†","-11.8","","-28.6","","-20.2","","38.2","","0.0","","","M","","M","0.0","","","","25","","46",""
"1995-02-09","1995","02","09","†","-4.6","","-14.2","","-9.4","","27.4","","0.0","","","M","","M","1.0","","","","24","","50",""
"1995-02-10","1995","02","10","†","-7.7","","-19.1","","-13.4","","31.4","","0.0","","","M","","M","1.2","","","","","","<31",""
"1995-02-11","1995","02","11","†","-4.4","","-14.3","","-9.4","","27.4","","0.0","","","M","","M","4.0","","","","23","","61",""
"1995-02-12","1995","02","12","†","-14.3","","-20.5","","-17.4","","35.4","","0.0","","","M","","M","0.0","","","","29","","46",""
"1995-02-13","1995","02","13","†","-6.3","","-20.6","","-13.5","","31.5","","0.0","","","M","","M","0.0","","","","22","","39",""
"1995-02-14","1995","02","14","†","-7.2","","-14.2","","-10.7","","28.7","","0.0","","","M","","M","0.0","","","","22","","37",""
"1995-02-15","1995","02","15","†","1.2","","-20.0","","-9.4","","27.4","","0.0","","","M","","M","10.0","","","","18","","63",""
"1995-02-16","1995","02","16","†","2.2","","-14.8","","-6.3","","24.3","","0.0","","","M","","M","","M","","","24","","43",""
"1995-02-17","1995","02","17","†","-1.2","","-14.8","","-8.0","","26.0","","0.0","","","M","","M","0.0","","","","21","","39",""
"1995-02-18","1995","02","18","†","1.5","","-7.0","","-2.8","","20.8","","0.0","","","M","","M","0.0","","","","24","","32",""
"1995-02-19","1995","02","19","†","3.3","","-8.4","","-2.6","","20.6","","0.0","","","M","","M","1.0","","","","25","","35",""
"1995-02-20","1995","02","20","†","-3.0","","-10.2","","-6.6","","24.6","","0.0","","","M","","M","","M","","","","","<31",""
"1995-02-21","1995","02","21","†","-3.6","","-6.9","","-5.3","","23.3","","0.0","","","M","","M","5.0","","","","1","","37",""
"1995-02-22","1995","02","22","†","-6.7","","-11.1","","-8.9","","26.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"1995-02-23","1995","02","23","†","0.4","","-9.7","E","-4.7","E","22.7","E","0.0","E","","M","","M","1.0","","","","","M","","M"
"1995-02-24","1995","02","24","†","1.3","","-2.9","E","-0.8","E","18.8","E","0.0","E","","M","","M","","M","","","26","","54",""
"1995-02-25","1995","02","25","†","-11.4","","-20.7","","-16.1","","34.1","","0.0","","","M","","M","0.0","","","","27","","43",""
"1995-02-26","1995","02","26","†","-13.6","","-25.2","","-19.4","","37.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"1995-02-27","1995","02","27","†","-10.1","","-25.2","","-17.7","","35.7","","0.0","","","M","","M","6.1","","","","","","<31",""
"1995-02-28","1995","02","28","†","-4.1","","-10.1","","-7.1","","25.1","","0.0","","","M","","M","1.1","","","","2","","32",""
"1995-03-01","1995","03","01","†","-3.3","","-15.5","","-9.4","","27.4","","0.0","","","M","","M","1.9","","","","","","<31",""
