"Station Name","L'ASSOMPTION"
"Province","QUEBEC"
"Latitude","45.81"
"Longitude","-73.43"
"Elevation","21.00"
"Climate Identifier","7014160"
"WMO Identifier","71524"
"TC Identifier","WEW"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2008-01-01","2008","01","01","†","-4.9","","-8.9","","-6.9","","24.9","","0.0","","","M","","M","9.0","","21","","36","","43",""
"2008-01-02","2008","01","02","†","-8.9","","-24.0","","-16.5","","34.5","","0.0","","","M","","M","1.0","","19","","35","","50",""
"2008-01-03","2008","01","03","†","-16.4","","-30.7","","-23.6","","41.6","","0.0","","","M","","M","0.0","","18","","","","<31",""
"2008-01-04","2008","01","04","†","-2.7","","-18.0","","-10.4","","28.4","","0.0","","0.0","","","M","3.0","","21","","25","","41",""
"2008-01-05","2008","01","05","†","-0.8","","-4.2","","-2.5","","20.5","","0.0","","","M","","M","0.0","","21","","","","<31",""
"2008-01-06","2008","01","06","†","3.1","","-0.8","","1.2","","16.8","","0.0","","","M","","M","0.0","","19","","","","<31",""
"2008-01-07","2008","01","07","†","4.4","","1.6","","3.0","","15.0","","0.0","","","M","","M","11.0","","11","","","","<31",""
"2008-01-08","2008","01","08","†","8.0","","1.6","","4.8","","13.2","","0.0","","","M","","M","1.0","","6","","","","<31",""
"2008-01-09","2008","01","09","†","9.8","","1.1","","5.5","","12.5","","0.0","","","M","","M","7.3","","","","20","","87",""
"2008-01-10","2008","01","10","†","2.8","","-2.3","","0.3","","17.7","","0.0","","","M","","M","0.0","","","","22","","54",""
"2008-01-11","2008","01","11","†","3.9","","-2.7","","0.6","","17.4","","0.0","","","M","","M","20.0","","","","20","","52",""
"2008-01-12","2008","01","12","†","3.2","","-7.9","","-2.4","","20.4","","0.0","","","M","","M","0.0","","","","21","","52",""
"2008-01-13","2008","01","13","†","-5.4","","-11.7","","-8.6","","26.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"2008-01-14","2008","01","14","†","","M","-8.2","E","","M","","M","","M","","M","","M","","M","","","2","E","33","E"
"2008-01-15","2008","01","15","","","","","","","","","","","","","","","","","","","","","","",""
"2008-01-16","2008","01","16","","","","","","","","","","","","","","","","","","","","","","",""
"2008-01-17","2008","01","17","","","","","","","","","","","","","","","","","","","","","","",""
"2008-01-18","2008","01","18","","","","","","","","","","","","","","","","","","","","","","",""
"2008-01-19","2008","01","19","","","","","","","","","","","","","","","","","","","","","","",""
