"Station Name","L'ASSOMPTION"
"Province","QUEBEC"
"Latitude","45.81"
"Longitude","-73.43"
"Elevation","21.00"
"Climate Identifier","7014160"
"WMO Identifier","71524"
"TC Identifier","WEW"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1975-01-01","1975","01","01","","-1.7","","-6.1","","-3.9","","21.9","","0.0","","0.0","","0.8","","0.8","","25","","","","",""
"1975-01-02","1975","01","02","","-5.0","","-12.2","","-8.6","","26.6","","0.0","","0.0","","0.0","","0.0","","25","","","","",""
"1975-01-03","1975","01","03","","-5.0","","-16.1","","-10.6","","28.6","","0.0","","0.0","","4.8","","4.8","","25","","","","",""
"1975-01-04","1975","01","04","","0.0","","-8.3","","-4.2","","22.2","","0.0","","0.0","","0.0","","0.0","","30","","","","",""
"1975-01-05","1975","01","05","","-7.8","","-21.1","","-14.5","","32.5","","0.0","","0.0","","0.0","","0.0","","30","","","","",""
"1975-01-06","1975","01","06","","-6.7","","-24.4","","-15.6","","33.6","","0.0","","0.0","","2.8","","2.8","","30","","","","",""
"1975-01-07","1975","01","07","","-2.8","","-15.6","","-9.2","","27.2","","0.0","","0.0","","0.5","","0.5","","30","","","","",""
"1975-01-08","1975","01","08","","1.7","","-4.4","","-1.4","","19.4","","0.0","","0.0","","2.5","","2.5","","30","","","","",""
"1975-01-09","1975","01","09","","2.8","","-2.2","","0.3","","17.7","","0.0","","0.5","","10.2","","10.7","","33","","","","",""
"1975-01-10","1975","01","10","","3.9","","0.0","","2.0","","16.0","","0.0","","1.5","","0.0","","1.5","","33","","","","",""
"1975-01-11","1975","01","11","","8.9","","1.7","","5.3","","12.7","","0.0","","2.3","","0.0","","2.3","","33","","","","",""
"1975-01-12","1975","01","12","","1.1","","-1.1","","0.0","","18.0","","0.0","","0.0","","0.0","","0.0","","28","","","","",""
"1975-01-13","1975","01","13","","-1.1","","-5.6","","-3.4","","21.4","","0.0","","0.0","","0.0","","0.0","","20","","","","",""
"1975-01-14","1975","01","14","","-7.2","","-10.0","","-8.6","","26.6","","0.0","","0.0","","0.0","","0.0","","20","","","","",""
"1975-01-15","1975","01","15","","-11.7","","-20.0","","-15.9","","33.9","","0.0","","0.0","","1.0","","1.0","","20","","","","",""
"1975-01-16","1975","01","16","","-7.2","","-19.4","","-13.3","","31.3","","0.0","","0.0","","0.0","","0.0","","23","","","","",""
"1975-01-17","1975","01","17","","-17.2","","-25.0","","-21.1","","39.1","","0.0","","0.0","","0.0","T","0.0","T","20","","","","",""
"1975-01-18","1975","01","18","","1.1","","-24.4","","-11.7","","29.7","","0.0","","0.0","","6.4","","6.4","","20","","","","",""
"1975-01-19","1975","01","19","","2.2","","-5.6","","-1.7","","19.7","","0.0","","0.0","","0.5","","0.5","","28","","","","",""
"1975-01-20","1975","01","20","","-22.8","","-28.3","","-25.6","","43.6","","0.0","","0.0","","0.0","","0.0","","28","","","","",""
