"Station Name","L'ASSOMPTION"
"Province","QUEBEC"
"Latitude","45.81"
"Longitude","-73.43"
"Elevation","21.00"
"Climate Identifier","7014160"
"WMO Identifier","71524"
"TC Identifier","WEW"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1952-01-01","1952","01","01","","7.2","","-10.0","","-1.4","","19.4","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1952-01-02","1952","01","02","","-5.6","","-8.9","","-7.3","","25.3","","0.0","","0.0","","2.5","","2.5","","","","","","",""
"1952-01-03","1952","01","03","","-6.7","","-13.3","","-10.0","","28.0","","0.0","","0.0","","0.5","","0.5","","","","","","",""
"1952-01-04","1952","01","04","","-7.2","","-15.6","","-11.4","","29.4","","0.0","","0.0","","3.8","","3.8","","","","","","",""
"1952-01-05","1952","01","05","","-6.7","","-23.3","","-15.0","","33.0","","0.0","","0.0","","0.8","","0.8","","","","","","",""
"1952-01-06","1952","01","06","","-7.2","","-18.9","","-13.1","","31.1","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1952-01-07","1952","01","07","","-10.6","","-25.6","","-18.1","","36.1","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1952-01-08","1952","01","08","","-11.7","","-24.4","","-18.1","","36.1","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1952-01-09","1952","01","09","","-7.2","","-25.0","","-16.1","","34.1","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1952-01-10","1952","01","10","","-6.7","","-23.3","","-15.0","","33.0","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1952-01-11","1952","01","11","","-6.7","","-20.0","","-13.4","","31.4","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1952-01-12","1952","01","12","","1.1","","-17.2","","-8.1","","26.1","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1952-01-13","1952","01","13","","-4.4","","-8.3","","-6.4","","24.4","","0.0","","0.0","","2.5","","2.5","","","","","","",""
"1952-01-14","1952","01","14","","3.3","","-11.1","","-3.9","","21.9","","0.0","","6.9","","0.0","","6.9","","","","","","",""
"1952-01-15","1952","01","15","","5.0","","-11.1","","-3.1","","21.1","","0.0","","10.9","","0.0","","10.9","","","","","","",""
"1952-01-16","1952","01","16","","-4.4","","-6.7","","-5.6","","23.6","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1952-01-17","1952","01","17","","-0.6","","-18.9","","-9.8","","27.8","","0.0","","24.1","","0.0","","24.1","","","","","","",""
"1952-01-18","1952","01","18","","2.2","","-15.6","","-6.7","","24.7","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1952-01-19","1952","01","19","","1.1","","-16.7","","-7.8","","25.8","","0.0","","0.0","","10.2","","10.2","","","","","","",""
"1952-01-20","1952","01","20","","3.3","","-12.2","","-4.5","","22.5","","0.0","","2.5","","0.0","","2.5","","","","","","",""
"1952-01-21","1952","01","21","","-13.3","","-18.3","","-15.8","","33.8","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1952-01-22","1952","01","22","","-7.2","","-23.9","","-15.6","","33.6","","0.0","","0.0","","20.3","","20.3","","","","","","",""
"1952-01-23","1952","01","23","","-0.6","","-18.3","","-9.5","","27.5","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1952-01-24","1952","01","24","","-18.3","","-30.0","","-24.2","","42.2","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1952-01-25","1952","01","25","","-7.8","","-32.8","","-20.3","","38.3","","0.0","","0.0","","11.4","","11.4","","","","","","",""
"1952-01-26","1952","01","26","","-1.7","","-31.1","","-16.4","","34.4","","0.0","","0.0","","1.3","","1.3","","","","","","",""
"1952-01-27","1952","01","27","","2.2","","-7.8","","-2.8","","20.8","","0.0","","0.0","","2.5","","2.5","","","","","","",""
