"Station Name","L'ASSOMPTION"
"Province","QUEBEC"
"Latitude","45.81"
"Longitude","-73.43"
"Elevation","21.00"
"Climate Identifier","7014160"
"WMO Identifier","71524"
"TC Identifier","WEW"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1981-01-01","1981","01","01","","-12.0","","-31.0","","-21.5","","39.5","","0.0","","0.0","","1.8","","1.8","","20","","","","",""
"1981-01-02","1981","01","02","","-11.0","","-19.5","","-15.3","","33.3","","0.0","","0.0","","0.6","","0.6","","20","","","","",""
"1981-01-03","1981","01","03","","-23.0","","-34.5","","-28.8","","46.8","","0.0","","0.0","","0.0","","0.0","","21","","","","",""
"1981-01-04","1981","01","04","","-18.5","","-38.0","","-28.3","","46.3","","0.0","","0.0","","0.6","","0.6","","21","","","","",""
"1981-01-05","1981","01","05","","-15.0","","-31.0","","-23.0","","41.0","","0.0","","0.0","","0.0","","0.0","","21","","","","",""
"1981-01-06","1981","01","06","","-4.0","","-21.5","","-12.8","","30.8","","0.0","","0.0","","6.8","","6.8","","21","","","","",""
"1981-01-07","1981","01","07","","-3.5","","-14.0","","-8.8","","26.8","","0.0","","0.0","","0.8","","0.8","","24","","","","",""
"1981-01-08","1981","01","08","","-18.0","","-21.5","","-19.8","","37.8","","0.0","","0.0","","0.0","","0.0","","24","","","","",""
"1981-01-09","1981","01","09","","-14.5","","-27.0","","-20.8","","38.8","","0.0","","0.0","","0.0","","0.0","","24","","","","",""
"1981-01-10","1981","01","10","","-13.0","","-21.5","","-17.3","","35.3","","0.0","","0.0","","0.0","","0.0","","24","","","","",""
"1981-01-11","1981","01","11","","-22.0","","-27.5","","-24.8","","42.8","","0.0","","0.0","","0.0","","0.0","","24","","","","",""
"1981-01-12","1981","01","12","","-19.5","","-24.0","","-21.8","","39.8","","0.0","","0.0","","0.0","","0.0","","23","","","","",""
"1981-01-13","1981","01","13","","-18.5","","-32.5","","-25.5","","43.5","","0.0","","0.0","","0.0","","0.0","","23","","","","",""
"1981-01-14","1981","01","14","","-15.5","","-31.5","","-23.5","","41.5","","0.0","","0.0","","0.0","","0.0","","23","","","","",""
"1981-01-15","1981","01","15","","-14.0","","-31.0","","-22.5","","40.5","","0.0","","0.0","","0.0","","0.0","","22","","","","",""
"1981-01-16","1981","01","16","","-11.5","","-27.5","","-19.5","","37.5","","0.0","","0.0","","0.0","","0.0","","22","","","","",""
"1981-01-17","1981","01","17","","-7.5","","-19.0","","-13.3","","31.3","","0.0","","0.0","","0.2","","0.2","","22","","","","",""
