"Station Name","L'ASSOMPTION"
"Province","QUEBEC"
"Latitude","45.81"
"Longitude","-73.43"
"Elevation","21.00"
"Climate Identifier","7014160"
"WMO Identifier","71524"
"TC Identifier","WEW"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1957-01-01","1957","01","01","","-17.8","","-21.7","","-19.8","","37.8","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1957-01-02","1957","01","02","","-15.0","","-23.9","","-19.5","","37.5","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1957-01-03","1957","01","03","","-5.6","","-21.1","","-13.4","","31.4","","0.0","","0.0","","7.6","","7.6","","","","","","",""
"1957-01-04","1957","01","04","","-5.0","","-9.4","","-7.2","","25.2","","0.0","","0.0","","1.3","","1.3","","","","","","",""
"1957-01-05","1957","01","05","","-7.8","","-18.9","","-13.4","","31.4","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1957-01-06","1957","01","06","","-12.2","","-30.6","","-21.4","","39.4","","0.0","","0.0","","0.0","T","0.0","T","","","","","",""
"1957-01-07","1957","01","07","","-6.7","","-21.7","","-14.2","","32.2","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1957-01-08","1957","01","08","","-3.9","","-19.4","","-11.7","","29.7","","0.0","","0.0","","0.5","","0.5","","","","","","",""
"1957-01-09","1957","01","09","","0.0","","-11.1","","-5.6","","23.6","","0.0","","0.0","","2.0","","2.0","","","","","","",""
"1957-01-10","1957","01","10","","-13.3","","-18.9","","-16.1","","34.1","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1957-01-11","1957","01","11","","-15.0","","-30.6","","-22.8","","40.8","","0.0","","0.0","","9.4","","9.4","","","","","","",""
"1957-01-12","1957","01","12","","-5.6","","-17.8","","-11.7","","29.7","","0.0","","0.0","","0.8","","0.8","","","","","","",""
"1957-01-13","1957","01","13","","-21.1","","-25.6","","-23.4","","41.4","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1957-01-14","1957","01","14","","-23.3","","-38.3","","-30.8","","48.8","","0.0","","0.0","","0.0","T","0.0","T","","","","","",""
"1957-01-15","1957","01","15","","-22.2","","-43.3","","-32.8","","50.8","","0.0","","0.0","","0.0","T","0.0","T","","","","","",""
"1957-01-16","1957","01","16","","-17.2","","-28.9","","-23.1","","41.1","","0.0","","0.0","","1.3","","1.3","","","","","","",""
"1957-01-17","1957","01","17","","-17.2","","-31.7","","-24.5","","42.5","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1957-01-18","1957","01","18","","-16.1","","-33.3","","-24.7","","42.7","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1957-01-19","1957","01","19","","-7.8","","-26.1","","-17.0","","35.0","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1957-01-20","1957","01","20","","2.8","","-25.0","","-11.1","","29.1","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1957-01-21","1957","01","21","","3.3","","-2.8","","0.3","","17.7","","0.0","","2.0","","0.0","","2.0","","","","","","",""
"1957-01-22","1957","01","22","","5.6","","2.2","","3.9","","14.1","","0.0","","33.5","","2.5","","36.1","","","","","","",""
"1957-01-23","1957","01","23","","-8.9","","-12.2","","-10.6","","28.6","","0.0","","0.0","","0.8","","0.8","","","","","","",""
"1957-01-24","1957","01","24","","-12.8","","-21.7","","-17.3","","35.3","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"1957-01-25","1957","01","25","","-13.9","","-15.0","","-14.5","","32.5","","0.0","","0.0","","0.5","","0.5","","","","","","",""
"1957-01-26","1957","01","26","","-6.7","","-18.3","","-12.5","","30.5","","0.0","","0.0","","0.0","T","0.0","T","","","","","",""
