"Station Name","L'ASSOMPTION"
"Province","QUEBEC"
"Latitude","45.81"
"Longitude","-73.43"
"Elevation","21.00"
"Climate Identifier","7014160"
"WMO Identifier","71524"
"TC Identifier","WEW"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1966-01-01","1966","01","01","","5.0","","-2.2","","1.4","","16.6","","0.0","","0.0","","0.0","","0.0","","13","","","","",""
"1966-01-02","1966","01","02","","-1.1","","-13.3","","-7.2","","25.2","","0.0","","0.0","","7.9","","7.9","","13","","","","",""
"1966-01-03","1966","01","03","","3.3","","-8.3","","-2.5","","20.5","","0.0","","1.5","","2.0","","3.6","","20","","","","",""
"1966-01-04","1966","01","04","","-1.7","","-15.0","","-8.4","","26.4","","0.0","","0.0","","0.0","","0.0","","20","","","","",""
"1966-01-05","1966","01","05","","-5.0","","-12.2","","-8.6","","26.6","","0.0","","0.0","","0.0","","0.0","","20","","","","",""
"1966-01-06","1966","01","06","","-3.9","","-10.6","","-7.3","","25.3","","0.0","","0.8","","0.0","","0.8","","20","","","","",""
"1966-01-07","1966","01","07","","-11.7","","-15.0","","-13.4","","31.4","","0.0","","0.0","","1.3","","1.3","","20","","","","",""
"1966-01-08","1966","01","08","","-11.7","","-19.4","","-15.6","","33.6","","0.0","","0.0","","0.0","","0.0","","20","","","","",""
"1966-01-09","1966","01","09","","-12.8","","-26.1","","-19.5","","37.5","","0.0","","0.0","","0.0","T","0.0","T","20","","","","",""
"1966-01-10","1966","01","10","","-3.9","","-17.2","","-10.6","","28.6","","0.0","","0.0","","0.8","","0.8","","20","","","","",""
"1966-01-11","1966","01","11","","-12.2","","-15.6","","-13.9","","31.9","","0.0","","0.0","","0.0","T","0.0","T","20","","","","",""
"1966-01-12","1966","01","12","","-17.2","","-25.6","","-21.4","","39.4","","0.0","","0.0","","0.0","","0.0","","20","","","","",""
"1966-01-13","1966","01","13","","-12.8","","-27.2","","-20.0","","38.0","","0.0","","0.0","","2.5","","2.5","","20","","","","",""
"1966-01-14","1966","01","14","","-10.0","","-17.2","","-13.6","","31.6","","0.0","","0.0","","0.3","","0.3","","20","","","","",""
"1966-01-15","1966","01","15","","-15.0","","-19.4","","-17.2","","35.2","","0.0","","0.0","","0.8","","0.8","","20","","","","",""
"1966-01-16","1966","01","16","","-7.2","","-23.9","","-15.6","","33.6","","0.0","","0.0","","0.3","","0.3","","20","","","","",""
"1966-01-17","1966","01","17","","-1.1","","-16.1","","-8.6","","26.6","","0.0","","0.0","","0.0","","0.0","","20","","","","",""
"1966-01-18","1966","01","18","","-3.3","","-11.1","","-7.2","","25.2","","0.0","","0.0","","4.8","","4.8","","20","","","","",""
"1966-01-19","1966","01","19","","2.8","","-6.1","","-1.7","","19.7","","0.0","","0.0","","0.8","","0.8","","25","","","","",""
"1966-01-20","1966","01","20","","1.7","","-2.2","","-0.3","","18.3","","0.0","","0.0","","0.0","T","0.0","T","23","","","","",""
"1966-01-21","1966","01","21","","0.6","","-9.4","","-4.4","","22.4","","0.0","","0.0","","0.0","T","0.0","T","23","","","","",""
"1966-01-22","1966","01","22","","-3.3","","-7.2","","-5.3","","23.3","","0.0","","0.0","","0.0","T","0.0","T","23","","","","",""
"1966-01-23","1966","01","23","","-2.2","","-7.2","","-4.7","","22.7","","0.0","","0.0","","31.0","","31.0","","23","","","","",""
"1966-01-24","1966","01","24","","-1.1","","-5.0","","-3.1","","21.1","","0.0","","0.0","","1.0","","1.0","","48","","","","",""
"1966-01-25","1966","01","25","","-13.9","","-21.7","","-17.8","","35.8","","0.0","","0.0","","0.0","","0.0","","48","","","","",""
"1966-01-26","1966","01","26","","-15.6","","-34.4","","-25.0","","43.0","","0.0","","0.0","","0.0","","0.0","","48","","","","",""
"1966-01-27","1966","01","27","","-13.9","","-33.3","","-23.6","","41.6","","0.0","","0.0","","3.3","","3.3","","48","","","","",""
"1966-01-28","1966","01","28","","-15.6","","-20.6","","-18.1","","36.1","","0.0","","0.0","","1.3","","1.3","","48","","","","",""
"1966-01-29","1966","01","29","","-13.9","","-19.4","","-16.7","","34.7","","0.0","","0.0","","4.8","","4.8","","48","","","","",""
