"Station Name","L'ASSOMPTION"
"Province","QUEBEC"
"Latitude","45.81"
"Longitude","-73.43"
"Elevation","21.00"
"Climate Identifier","7014160"
"WMO Identifier","71524"
"TC Identifier","WEW"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2009-01-01","2009","01","01","†","-14.5","","-22.2","","-18.4","","36.4","","0.0","","","M","","M","0.0","","4","","","","<31",""
"2009-01-02","2009","01","02","†","-13.4","","-21.2","","-17.3","","35.3","","0.0","","","M","","M","0.0","","4","","","","<31",""
"2009-01-03","2009","01","03","†","-7.9","","-17.6","","-12.8","","30.8","","0.0","","","M","","M","1.0","","4","","29","","39",""
"2009-01-04","2009","01","04","†","-10.0","","-15.0","","-12.5","","30.5","","0.0","","0.0","","","M","2.0","","4","","","","<31",""
"2009-01-05","2009","01","05","†","-2.4","","-11.2","","-6.8","","24.8","","0.0","","","M","","M","2.0","","7","","23","","35",""
"2009-01-06","2009","01","06","†","-4.7","","-16.6","","-10.7","","28.7","","0.0","","","M","","M","0.0","","6","","","","<31",""
"2009-01-07","2009","01","07","†","-9.2","","-12.5","","-10.9","","28.9","","0.0","","0.0","","","M","27.9","","6","","5","","35",""
"2009-01-08","2009","01","08","†","-8.7","","-16.1","","-12.4","","30.4","","0.0","","0.0","","","M","3.0","","19","","24","","37",""
"2009-01-09","2009","01","09","†","-10.9","","-21.1","","-16.0","","34.0","","0.0","","","M","","M","0.0","","20","","","","<31",""
"2009-01-10","2009","01","10","†","-12.6","","-27.0","","-19.8","","37.8","","0.0","","","M","","M","0.0","","19","","","","<31",""
"2009-01-11","2009","01","11","†","-9.5","","-20.3","","-14.9","","32.9","","0.0","","","M","","M","0.0","","19","","","","<31",""
"2009-01-12","2009","01","12","†","-7.1","","-19.6","","-13.4","","31.4","","0.0","","","M","","M","0.0","","18","","","","<31",""
"2009-01-13","2009","01","13","†","-0.3","","-13.7","","-7.0","","25.0","","0.0","","","M","","M","5.0","","18","","23","","54",""
"2009-01-14","2009","01","14","†","-13.7","","-26.2","","-20.0","","38.0","","0.0","","","M","","M","0.0","","18","","26","","44",""
"2009-01-15","2009","01","15","†","-21.6","","-34.4","","-28.0","","46.0","","0.0","","","M","","M","0.0","","17","","","","<31",""
"2009-01-16","2009","01","16","†","-20.4","","-36.4","","-28.4","","46.4","","0.0","","","M","","M","0.0","","18","","","","<31",""
"2009-01-17","2009","01","17","†","-19.5","","-31.6","","-25.6","","43.6","","0.0","","","M","","M","0.0","","17","","","","<31",""
"2009-01-18","2009","01","18","†","-11.1","","-20.2","","-15.7","","33.7","","0.0","","0.0","","","M","6.0","","18","","2","","32",""
"2009-01-19","2009","01","19","†","-9.5","","-13.1","","-11.3","","29.3","","0.0","","0.0","","","M","3.0","","21","","","","<31",""
"2009-01-20","2009","01","20","†","-9.9","","-22.4","","-16.2","","34.2","","0.0","","","M","","M","","M","23","","","","<31",""
"2009-01-21","2009","01","21","†","-8.7","","-24.1","","-16.4","","34.4","","0.0","","","M","","M","0.0","","22","","22","","37",""
"2009-01-22","2009","01","22","†","-1.3","","-12.9","","-7.1","","25.1","","0.0","","","M","","M","1.0","","21","","24","","48",""
"2009-01-23","2009","01","23","†","-11.0","","-16.4","","-13.7","","31.7","","0.0","","0.0","","","M","2.0","","22","","","","<31",""
"2009-01-24","2009","01","24","†","-8.8","","-23.9","","-16.4","","34.4","","0.0","","0.0","","","M","1.0","","23","","30","","37",""
"2009-01-25","2009","01","25","†","-12.0","","-31.5","","-21.8","","39.8","","0.0","","","M","","M","0.0","","23","","","","<31",""
