"Station Name","L'ASSOMPTION"
"Province","QUEBEC"
"Latitude","45.81"
"Longitude","-73.43"
"Elevation","21.00"
"Climate Identifier","7014160"
"WMO Identifier","71524"
"TC Identifier","WEW"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1999-01-01","1999","01","01","†","-18.3","","-25.3","","-21.8","","39.8","","0.0","","","M","","M","1.1","","","","29","","37",""
"1999-01-02","1999","01","02","†","-14.8","","-26.6","","-20.7","","38.7","","0.0","","","M","","M","0.0","","","","23","","37",""
"1999-01-03","1999","01","03","†","-2.8","","-15.0","","-8.9","","26.9","","0.0","","","M","","M","37.0","","","","6","","35",""
"1999-01-04","1999","01","04","†","-3.1","","-15.7","","-9.4","","27.4","","0.0","","","M","","M","0.0","","","","20","","48",""
"1999-01-05","1999","01","05","†","-12.9","","-21.8","","-17.4","","35.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"1999-01-06","1999","01","06","†","-5.0","","-21.8","","-13.4","","31.4","","0.0","","","M","","M","2.0","","","","18","","41",""
"1999-01-07","1999","01","07","†","-4.3","","-23.6","","-14.0","","32.0","","0.0","","","M","","M","1.0","","","","25","","54",""
"1999-01-08","1999","01","08","†","-10.3","","-27.3","","-18.8","","36.8","","0.0","","","M","","M","3.0","","","","","","<31",""
"1999-01-09","1999","01","09","†","-7.0","","-12.3","","-9.7","","27.7","","0.0","","","M","","M","15.0","","","","","","<31",""
"1999-01-10","1999","01","10","†","-12.1","","-19.4","","-15.8","","33.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"1999-01-11","1999","01","11","†","-11.6","","-25.5","","-18.6","","36.6","","0.0","","","M","","M","1.0","","","","24","","43",""
"1999-01-12","1999","01","12","†","-13.1","","-21.3","","-17.2","","35.2","","0.0","","","M","","M","4.0","","","","","","<31",""
"1999-01-13","1999","01","13","†","-14.0","","-27.8","","-20.9","","38.9","","0.0","","","M","","M","4.0","","","","2","","41",""
"1999-01-14","1999","01","14","†","-15.3","","-29.7","","-22.5","","40.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"1999-01-15","1999","01","15","†","-8.2","","-15.3","","-11.8","","29.8","","0.0","","","M","","M","34.0","","","","23","","44",""
"1999-01-16","1999","01","16","†","3.0","","-14.6","","-5.8","","23.8","","0.0","","","M","","M","9.0","","","","23","","54",""
"1999-01-17","1999","01","17","†","4.7","","-8.8","","-2.1","","20.1","","0.0","","","M","","M","6.4","","","","22","","56",""
"1999-01-18","1999","01","18","†","3.7","","-7.7","","-2.0","","20.0","","0.0","","","M","","M","32.0","","","","20","","67",""
"1999-01-19","1999","01","19","†","2.8","","1.4","","2.1","","15.9","","0.0","","","M","","M","10.6","","","","22","","56",""
"1999-01-20","1999","01","20","†","1.4","","-7.3","","-3.0","","21.0","","0.0","","","M","","M","","M","","","27","","32",""
"1999-01-21","1999","01","21","†","-4.5","","-7.3","","-5.9","","23.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"1999-01-22","1999","01","22","†","-3.5","","-11.1","","-7.3","","25.3","","0.0","","","M","","M","9.0","","","","3","","32",""
"1999-01-23","1999","01","23","†","7.8","","-3.8","","2.0","","16.0","","0.0","","","M","","M","15.8","","","","16","","48",""
"1999-01-24","1999","01","24","†","8.1","","-3.3","","2.4","","15.6","","0.0","","","M","","M","6.0","","","","22","","57",""
"1999-01-25","1999","01","25","†","-3.3","","-11.9","","-7.6","","25.6","","0.0","","","M","","M","0.0","","","","25","","46",""
"1999-01-26","1999","01","26","†","-0.5","","-16.0","","-8.3","","26.3","","0.0","","","M","","M","0.0","","","","24","","33",""
"1999-01-27","1999","01","27","†","-2.7","","-13.0","","-7.9","","25.9","","0.0","","","M","","M","0.0","","","","2","","32",""
"1999-01-28","1999","01","28","†","-11.0","","-14.4","","-12.7","","30.7","","0.0","","","M","","M","0.0","","","","2","","35",""
"1999-01-29","1999","01","29","†","-9.3","","-17.8","","-13.6","","31.6","","0.0","","","M","","M","0.0","","","","3","","32",""
"1999-01-30","1999","01","30","†","-6.4","","-21.7","","-14.1","","32.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"1999-01-31","1999","01","31","†","-7.9","","-24.1","","-16.0","","34.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"1999-02-01","1999","02","01","†","0.4","","-13.3","","-6.5","","24.5","","0.0","","","M","","M","","M","","","","","<31",""
"1999-02-02","1999","02","02","†","4.1","","-9.4","","-2.7","","20.7","","0.0","","","M","","M","21.6","","","","17","","41",""
"1999-02-03","1999","02","03","†","4.8","","-0.2","","2.3","","15.7","","0.0","","","M","","M","0.2","","","","17","","37",""
"1999-02-04","1999","02","04","†","5.8","","-4.5","","0.7","","17.3","","0.0","","","M","","M","2.0","","","","16","","43",""
"1999-02-05","1999","02","05","†","2.5","","-12.2","","-4.9","","22.9","","0.0","","","M","","M","0.2","","","","31","","43",""
"1999-02-06","1999","02","06","†","-7.2","","-13.3","","-10.3","","28.3","","0.0","","","M","","M","3.0","","","","","","<31",""
"1999-02-07","1999","02","07","†","-3.1","","-18.0","","-10.6","","28.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"1999-02-08","1999","02","08","†","-5.3","","-21.8","","-13.6","","31.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"1999-02-09","1999","02","09","†","2.4","","-13.7","","-5.7","","23.7","","0.0","","","M","","M","5.0","","","","24","","32",""
"1999-02-10","1999","02","10","†","2.4","","-10.7","","-4.2","","22.2","","0.0","","","M","","M","2.4","","","","28","","46",""
"1999-02-11","1999","02","11","†","-4.7","","-14.9","","-9.8","","27.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"1999-02-12","1999","02","12","†","5.6","","-4.7","","0.5","","17.5","","0.0","","","M","","M","6.8","","","","23","","50",""
"1999-02-13","1999","02","13","†","-0.1","","-11.0","","-5.6","","23.6","","0.0","","","M","","M","3.4","","","","24","","61",""
"1999-02-14","1999","02","14","†","-7.6","","-17.2","","-12.4","","30.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"1999-02-15","1999","02","15","†","-3.6","","-13.6","","-8.6","","26.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"1999-02-16","1999","02","16","†","-0.2","","-11.7","","-6.0","","24.0","","0.0","","","M","","M","0.0","","","","4","","33",""
"1999-02-17","1999","02","17","†","-0.6","","-5.2","","-2.9","","20.9","","0.0","","","M","","M","0.0","","","","5","","37",""
"1999-02-18","1999","02","18","†","3.0","","-5.3","","-1.2","","19.2","","0.0","","","M","","M","","M","","","","","<31",""
"1999-02-19","1999","02","19","†","0.3","","-9.4","","-4.6","","22.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"1999-02-20","1999","02","20","†","1.3","","-9.9","","-4.3","","22.3","","0.0","","","M","","M","0.0","","","","36","","35",""
"1999-02-21","1999","02","21","†","-5.8","","-16.8","","-11.3","","29.3","","0.0","","","M","","M","0.0","","","","35","","39",""
"1999-02-22","1999","02","22","†","-11.1","","-21.6","","-16.4","","34.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"1999-02-23","1999","02","23","†","-8.2","","-22.3","","-15.3","","33.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"1999-02-24","1999","02","24","†","-4.0","","-21.1","","-12.6","","30.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"1999-02-25","1999","02","25","†","-1.3","","-14.1","","-7.7","","25.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"1999-02-26","1999","02","26","†","5.7","","-8.0","","-1.2","","19.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"1999-02-27","1999","02","27","†","4.2","","-8.2","","-2.0","","20.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"1999-02-28","1999","02","28","†","5.0","","-9.7","","-2.4","","20.4","","0.0","","","M","","M","8.8","","","","15","","44",""
"1999-03-01","1999","03","01","†","3.3","","0.9","","2.1","","15.9","","0.0","","","M","","M","23.8","","","","2","","32",""
"1999-03-02","1999","03","02","†","1.1","","-5.3","","-2.1","","20.1","","0.0","","","M","","M","0.0","","","","21","","44",""
"1999-03-03","1999","03","03","†","1.7","","-8.1","","-3.2","","21.2","","0.0","","","M","","M","21.4","","","","5","","35",""
"1999-03-04","1999","03","04","†","7.2","","-7.5","","-0.2","","18.2","","0.0","","","M","","M","13.7","","","","22","","59",""
"1999-03-05","1999","03","05","†","-5.4","","-16.5","","-11.0","","29.0","","0.0","","","M","","M","0.0","","","","29","","41",""
"1999-03-06","1999","03","06","†","-11.6","","-14.6","","-13.1","","31.1","","0.0","","","M","","M","4.0","","","","2","","44",""
"1999-03-07","1999","03","07","†","-6.8","","-15.4","","-11.1","","29.1","","0.0","","","M","","M","0.0","","","","35","","44",""
"1999-03-08","1999","03","08","†","-2.6","","-16.6","","-9.6","","27.6","","0.0","","","M","","M","0.0","","","","1","","37",""
"1999-03-09","1999","03","09","†","-0.2","","-15.8","","-8.0","","26.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"1999-03-10","1999","03","10","†","-1.4","","-12.7","","-7.1","","25.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"1999-03-11","1999","03","11","†","-4.6","","-8.0","","-6.3","","24.3","","0.0","","","M","","M","7.1","","","","","","<31",""
"1999-03-12","1999","03","12","†","-0.2","","-6.5","","-3.4","","21.4","","0.0","","","M","","M","3.9","","","","","","<31",""
"1999-03-13","1999","03","13","†","1.9","","-5.5","","-1.8","","19.8","","0.0","","","M","","M","0.8","","","","","","<31",""
"1999-03-14","1999","03","14","†","1.0","","-11.4","","-5.2","","23.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"1999-03-15","1999","03","15","†","3.7","","-10.0","","-3.2","","21.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"1999-03-16","1999","03","16","†","5.9","","-7.5","","-0.8","","18.8","","0.0","","","M","","M","0.0","","","","22","","41",""
"1999-03-17","1999","03","17","†","7.4","","-1.5","","3.0","","15.0","","0.0","","","M","","M","0.0","","","","25","","32",""
"1999-03-18","1999","03","18","†","4.5","","0.7","","2.6","","15.4","","0.0","","","M","","M","3.4","","","","30","","41",""
"1999-03-19","1999","03","19","†","3.3","","-3.1","","0.1","","17.9","","0.0","","","M","","M","0.0","","","","30","","39",""
"1999-03-20","1999","03","20","†","3.6","","-5.6","","-1.0","","19.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"1999-03-21","1999","03","21","†","4.6","","-7.0","","-1.2","","19.2","","0.0","","","M","","M","4.6","","","","","","<31",""
"1999-03-22","1999","03","22","†","5.4","","0.2","","2.8","","15.2","","0.0","","","M","","M","39.2","","","","21","","63",""
"1999-03-23","1999","03","23","†","3.3","","-2.8","","0.3","","17.7","","0.0","","","M","","M","1.4","","","","24","","63",""
