"Station Name","L'ASSOMPTION"
"Province","QUEBEC"
"Latitude","45.81"
"Longitude","-73.43"
"Elevation","21.00"
"Climate Identifier","7014160"
"WMO Identifier","71524"
"TC Identifier","WEW"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1986-01-01","1986","01","01","","-7.0","","-13.5","","-10.3","","28.3","","0.0","","0.0","","0.0","T","0.0","T","20","","","","",""
"1986-01-02","1986","01","02","","-4.0","","-20.0","","-12.0","","30.0","","0.0","","0.0","","3.0","","3.0","","20","","","","",""
"1986-01-03","1986","01","03","","-11.5","","-17.5","","-14.5","","32.5","","0.0","","0.0","","6.0","","6.0","","22","","","","",""
"1986-01-04","1986","01","04","","-11.5","","-23.5","","-17.5","","35.5","","0.0","","0.0","","1.5","","1.5","","23","","","","",""
"1986-01-05","1986","01","05","","-9.5","","-18.0","","-13.8","","31.8","","0.0","","0.0","","13.4","","13.4","","24","","","","",""
"1986-01-06","1986","01","06","","-7.5","","-16.5","","-12.0","","30.0","","0.0","","0.0","","0.0","T","0.0","T","32","","","","",""
"1986-01-07","1986","01","07","","-16.5","","-28.5","","-22.5","","40.5","","0.0","","0.0","","0.0","T","0.0","T","33","","","","",""
"1986-01-08","1986","01","08","","-4.5","","-25.5","","-15.0","","33.0","","0.0","","0.0","","1.0","","1.0","","33","","","","",""
"1986-01-09","1986","01","09","","1.0","","-25.0","","-12.0","","30.0","","0.0","","0.0","","0.2","","0.2","","33","","","","",""
"1986-01-10","1986","01","10","","0.5","","-2.0","","-0.8","","18.8","","0.0","","0.0","","0.0","T","0.0","T","33","","","","",""
"1986-01-11","1986","01","11","","-0.5","","-18.5","","-9.5","","27.5","","0.0","","0.0","","0.0","T","0.0","T","32","","","","",""
"1986-01-12","1986","01","12","","4.5","","-6.0","","-0.8","","18.8","","0.0","","0.6","","0.8","","1.4","","32","","","","",""
"1986-01-13","1986","01","13","","-9.5","","-12.5","","-11.0","","29.0","","0.0","","0.0","","0.0","T","0.0","T","30","","","","",""
"1986-01-14","1986","01","14","","-19.0","","-29.5","","-24.3","","42.3","","0.0","","0.0","","0.0","","0.0","","29","","","","",""
"1986-01-15","1986","01","15","","-17.0","","-27.5","","-22.3","","40.3","","0.0","","0.0","","0.0","","0.0","","29","","","","",""
"1986-01-16","1986","01","16","","-8.0","","-23.0","","-15.5","","33.5","","0.0","","0.0","","0.0","","0.0","","29","","","","",""
"1986-01-17","1986","01","17","","5.0","","-19.5","","-7.3","","25.3","","0.0","","2.4","","0.0","","2.4","","29","","","","",""
"1986-01-18","1986","01","18","","5.0","","-5.5","","-0.3","","18.3","","0.0","","0.8","","0.0","","0.8","","28","","","","",""
"1986-01-19","1986","01","19","","2.0","E","-3.0","E","-0.5","","18.5","","0.0","","","M","","M","","M","23","","","","",""
"1986-01-20","1986","01","20","","2.0","E","-1.0","E","0.5","","17.5","","0.0","","","M","","M","","M","","M","","","",""
"1986-01-21","1986","01","21","","2.0","E","-2.0","E","0.0","","18.0","","0.0","","","M","","M","","M","","M","","","",""
"1986-01-22","1986","01","22","","4.0","E","-3.0","E","0.5","","17.5","","0.0","","","M","","M","","M","","M","","","",""
"1986-01-23","1986","01","23","","-10.0","E","-18.0","E","-14.0","","32.0","","0.0","","","M","","M","","M","","M","","","",""
"1986-01-24","1986","01","24","","-15.0","E","-19.0","E","-17.0","","35.0","","0.0","","","M","","M","","M","","M","","","",""
"1986-01-25","1986","01","25","","-4.0","E","-21.0","E","-12.5","","30.5","","0.0","","","M","","M","","M","","M","","","",""
"1986-01-26","1986","01","26","","1.0","","-5.0","E","-2.0","","20.0","","0.0","","1.8","","7.4","","9.2","","","M","","","",""
"1986-01-27","1986","01","27","","0.5","","-14.5","","-7.0","","25.0","","0.0","","1.0","","1.4","","2.4","","46","","","","",""
"1986-01-28","1986","01","28","","-17.5","","-25.0","","-21.3","","39.3","","0.0","","0.0","","0.2","","0.2","","43","","","","",""
"1986-01-29","1986","01","29","","-11.5","","-26.0","","-18.8","","36.8","","0.0","","0.0","","0.0","","0.0","","43","","","","",""
"1986-01-30","1986","01","30","","-10.5","","-25.0","","-17.8","","35.8","","0.0","","0.0","","0.0","T","0.0","T","42","","","","",""
"1986-01-31","1986","01","31","","-9.0","","-19.5","","-14.3","","32.3","","0.0","","0.0","","0.0","T","0.0","T","42","","","","",""
"1986-02-01","1986","02","01","","-10.0","","-31.0","","-20.5","","38.5","","0.0","","0.0","","11.2","","11.2","","42","","","","",""
"1986-02-02","1986","02","02","","-5.0","","-14.5","","-9.8","","27.8","","0.0","","0.0","","0.0","T","0.0","T","47","","","","",""
"1986-02-03","1986","02","03","","-6.5","","-18.5","","-12.5","","30.5","","0.0","","0.0","","0.0","","0.0","","50","","","","",""
"1986-02-04","1986","02","04","","-8.0","","-28.5","","-18.3","","36.3","","0.0","","0.0","","3.8","","3.8","","48","","","","",""
"1986-02-05","1986","02","05","","-3.0","","-12.5","","-7.8","","25.8","","0.0","","0.0","","0.0","T","0.0","T","51","","","","",""
"1986-02-06","1986","02","06","","-13.0","","-23.5","","-18.3","","36.3","","0.0","","0.0","","0.0","","0.0","","51","","","","",""
"1986-02-07","1986","02","07","","-14.0","","-31.0","","-22.5","","40.5","","0.0","","0.0","","0.0","","0.0","","50","","","","",""
"1986-02-08","1986","02","08","","-7.5","","-25.0","","-16.3","","34.3","","0.0","","0.0","","0.0","","0.0","","49","","","","",""
"1986-02-09","1986","02","09","","-4.5","","-22.0","","-13.3","","31.3","","0.0","","0.0","","0.0","","0.0","","49","","","","",""
"1986-02-10","1986","02","10","","-6.5","","-20.5","","-13.5","","31.5","","0.0","","0.0","","0.4","","0.4","","49","","","","",""
"1986-02-11","1986","02","11","","-5.5","","-18.5","","-12.0","","30.0","","0.0","","0.0","","0.0","","0.0","","49","","","","",""
"1986-02-12","1986","02","12","","-9.5","","-24.5","","-17.0","","35.0","","0.0","","0.0","","0.0","","0.0","","49","","","","",""
"1986-02-13","1986","02","13","","-5.5","","-12.0","","-8.8","","26.8","","0.0","","0.0","","0.0","T","0.0","T","48","","","","",""
"1986-02-14","1986","02","14","","-5.5","","-15.5","","-10.5","","28.5","","0.0","","0.0","","0.2","","0.2","","48","","","","",""
"1986-02-15","1986","02","15","","-4.5","","-13.5","","-9.0","","27.0","","0.0","","0.0","","0.0","T","0.0","T","48","","","","",""
"1986-02-16","1986","02","16","","-5.5","","-23.5","","-14.5","","32.5","","0.0","","0.0","","0.0","","0.0","","48","","","","",""
"1986-02-17","1986","02","17","","-5.5","","-20.5","","-13.0","","31.0","","0.0","","0.0","","2.4","","2.4","","48","","","","",""
"1986-02-18","1986","02","18","","-3.0","","-7.0","","-5.0","","23.0","","0.0","","0.0","","0.0","","0.0","","49","","","","",""
"1986-02-19","1986","02","19","","-0.5","","-5.5","","-3.0","","21.0","","0.0","","0.0","","0.0","","0.0","","49","","","","",""
"1986-02-20","1986","02","20","","3.0","","-4.0","","-0.5","","18.5","","0.0","","9.2","","0.0","","9.2","","47","","","","",""
"1986-02-21","1986","02","21","","1.0","","-5.5","","-2.3","","20.3","","0.0","","0.8","","1.6","","2.4","","46","","","","",""
"1986-02-22","1986","02","22","","-8.5","","-24.0","","-16.3","","34.3","","0.0","","0.0","","0.0","","0.0","","46","","","","",""
"1986-02-23","1986","02","23","","-5.5","","-19.0","","-12.3","","30.3","","0.0","","0.0","","1.0","","1.0","","46","","","","",""
"1986-02-24","1986","02","24","","-0.5","","-9.5","","-5.0","","23.0","","0.0","","0.0","","1.4","","1.4","","47","","","","",""
"1986-02-25","1986","02","25","","-3.5","","-9.0","","-6.3","","24.3","","0.0","","0.0","","0.2","","0.2","","49","","","","",""
"1986-02-26","1986","02","26","","-9.0","","-19.5","","-14.3","","32.3","","0.0","","0.0","","0.0","T","0.0","T","48","","","","",""
"1986-02-27","1986","02","27","","-10.0","","-18.0","","-14.0","","32.0","","0.0","","0.0","","0.0","","0.0","","47","","","","",""
"1986-02-28","1986","02","28","","-7.5","","-15.0","","-11.3","","29.3","","0.0","","0.0","","0.4","","0.4","","47","","","","",""
"1986-03-01","1986","03","01","","-0.5","","-11.0","","-5.8","","23.8","","0.0","","0.0","","0.0","","0.0","","46","","","","",""
"1986-03-02","1986","03","02","","2.5","","-14.0","","-5.8","","23.8","","0.0","","0.0","","0.0","T","0.0","T","46","","","","",""
"1986-03-03","1986","03","03","","3.5","","-7.5","","-2.0","","20.0","","0.0","","0.0","","0.0","T","0.0","T","46","","","","",""
"1986-03-04","1986","03","04","","3.0","","-4.5","","-0.8","","18.8","","0.0","","0.0","","0.0","","0.0","","46","","","","",""
"1986-03-05","1986","03","05","","3.0","","-3.0","","0.0","","18.0","","0.0","","0.0","","0.0","","0.0","","44","","","","",""
"1986-03-06","1986","03","06","","-7.0","","-14.5","","-10.8","","28.8","","0.0","","0.0","","11.0","","11.0","","44","","","","",""
"1986-03-07","1986","03","07","","-6.5","","-12.0","","-9.3","","27.3","","0.0","","0.0","","1.0","","1.0","","50","","","","",""
"1986-03-08","1986","03","08","","-10.0","","-24.0","","-17.0","","35.0","","0.0","","0.0","","2.5","","2.5","","48","","","","",""
"1986-03-09","1986","03","09","","-3.0","","-14.5","","-8.8","","26.8","","0.0","","0.0","","5.0","","5.0","","50","","","","",""
"1986-03-10","1986","03","10","","-1.5","","-14.5","","-8.0","","26.0","","0.0","","6.0","","12.1","","18.1","","53","","","","",""
"1986-03-11","1986","03","11","","0.5","","-8.5","","-4.0","","22.0","","0.0","","1.6","","0.0","T","1.6","","55","","","","",""
"1986-03-12","1986","03","12","","-3.0","","-14.5","","-8.8","","26.8","","0.0","","0.0","","0.0","","0.0","","56","","","","",""
"1986-03-13","1986","03","13","","-1.0","","-11.5","","-6.3","","24.3","","0.0","","2.0","","1.4","","3.4","","56","","","","",""
"1986-03-14","1986","03","14","","1.0","","-6.0","","-2.5","","20.5","","0.0","","0.4","","0.0","","0.4","","56","","","","",""
"1986-03-15","1986","03","15","","4.0","","-0.5","","1.8","","16.2","","0.0","","2.2","","0.8","","3.0","","55","","","","",""
"1986-03-16","1986","03","16","","2.5","","0.0","","1.3","","16.7","","0.0","","0.8","","0.0","","0.8","","53","","","","",""
"1986-03-17","1986","03","17","","4.0","","-6.0","","-1.0","","19.0","","0.0","","0.0","","0.0","","0.0","","45","","","","",""
"1986-03-18","1986","03","18","","5.0","","-3.5","","0.8","","17.2","","0.0","","6.0","","0.0","","6.0","","45","","","","",""
"1986-03-19","1986","03","19","","9.5","","0.5","","5.0","","13.0","","0.0","","4.6","","0.0","","4.6","","43","","","","",""
"1986-03-20","1986","03","20","","-10.5","","-16.0","","-13.3","","31.3","","0.0","","0.0","","0.0","","0.0","","31","","","","",""
"1986-03-21","1986","03","21","","-5.5","","-19.0","","-12.3","","30.3","","0.0","","0.0","","0.0","","0.0","","31","","","","",""
"1986-03-22","1986","03","22","","1.5","","-10.5","","-4.5","","22.5","","0.0","","0.0","","0.0","","0.0","","30","","","","",""
"1986-03-23","1986","03","23","","5.0","","-1.5","","1.8","","16.2","","0.0","","0.0","","0.2","","0.2","","29","","","","",""
"1986-03-24","1986","03","24","","-2.0","","-10.5","","-6.3","","24.3","","0.0","","0.0","","0.0","","0.0","","28","","","","",""
"1986-03-25","1986","03","25","","0.5","","-7.5","","-3.5","","21.5","","0.0","","0.0","","6.0","","6.0","","28","","","","",""
"1986-03-26","1986","03","26","","14.5","","-5.5","","4.5","","13.5","","0.0","","0.4","","0.0","","0.4","","31","","","","",""
"1986-03-27","1986","03","27","","6.5","","1.5","","4.0","","14.0","","0.0","","0.0","","0.0","","0.0","","19","","","","",""
"1986-03-28","1986","03","28","","6.5","","-3.0","","1.8","","16.2","","0.0","","0.0","T","0.0","","0.0","T","15","","","","",""
"1986-03-29","1986","03","29","","14.5","","2.5","","8.5","","9.5","","0.0","","0.4","","0.0","","0.4","","10","","","","",""
"1986-03-30","1986","03","30","","19.0","","1.5","","10.3","","7.7","","0.0","","2.8","","0.0","","2.8","","4","","","","",""
"1986-03-31","1986","03","31","","13.5","","3.0","","8.3","","9.7","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
"1986-04-01","1986","04","01","","21.5","","2.0","","11.8","","6.2","","0.0","","1.4","","0.0","","1.4","","0","T","","","",""
"1986-04-02","1986","04","02","","12.5","","5.0","","8.8","","9.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1986-04-03","1986","04","03","","9.5","","-2.0","","3.8","","14.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1986-04-04","1986","04","04","","10.0","","0.0","","5.0","","13.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1986-04-05","1986","04","05","","8.0","","-2.5","","2.8","","15.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1986-04-06","1986","04","06","","5.5","","-2.0","","1.8","","16.2","","0.0","","12.8","","0.0","","12.8","","0","","","","",""
"1986-04-07","1986","04","07","","9.0","","2.5","","5.8","","12.2","","0.0","","6.2","","0.0","","6.2","","0","","","","",""
"1986-04-08","1986","04","08","","9.5","","6.0","","7.8","","10.2","","0.0","","1.8","","0.0","","1.8","","0","","","","",""
"1986-04-09","1986","04","09","","5.5","","3.0","","4.3","","13.7","","0.0","","1.2","","0.0","","1.2","","0","","","","",""
"1986-04-10","1986","04","10","","7.0","","1.0","","4.0","","14.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1986-04-11","1986","04","11","","7.0","","0.0","","3.5","","14.5","","0.0","","2.0","","0.0","","2.0","","0","","","","",""
"1986-04-12","1986","04","12","","7.0","","0.5","","3.8","","14.2","","0.0","","1.6","","0.0","","1.6","","0","","","","",""
"1986-04-13","1986","04","13","","10.0","","2.5","","6.3","","11.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1986-04-14","1986","04","14","","14.5","","2.0","","8.3","","9.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1986-04-15","1986","04","15","","15.5","","1.0","","8.3","","9.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1986-04-16","1986","04","16","","17.0","","2.5","","9.8","","8.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1986-04-17","1986","04","17","","17.0","","2.0","","9.5","","8.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1986-04-18","1986","04","18","","15.5","","3.5","","9.5","","8.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1986-04-19","1986","04","19","","19.5","","1.0","","10.3","","7.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1986-04-20","1986","04","20","","14.5","","3.0","","8.8","","9.2","","0.0","","7.2","","0.0","","7.2","","0","","","","",""
"1986-04-21","1986","04","21","","12.5","","9.5","","11.0","","7.0","","0.0","","8.6","","0.0","","8.6","","0","","","","",""
"1986-04-22","1986","04","22","","8.0","","-2.0","","3.0","","15.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1986-04-23","1986","04","23","","13.5","","-4.0","","4.8","","13.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1986-04-24","1986","04","24","","19.5","","-1.5","","9.0","","9.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1986-04-25","1986","04","25","","21.0","","4.0","","12.5","","5.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1986-04-26","1986","04","26","","20.0","","8.5","","14.3","","3.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1986-04-27","1986","04","27","","21.5","","10.5","","16.0","","2.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1986-04-28","1986","04","28","","25.0","","6.5","","15.8","","2.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1986-04-29","1986","04","29","","27.5","","9.0","","18.3","","0.0","","0.3","","0.0","","0.0","","0.0","","0","","","","",""
"1986-04-30","1986","04","30","","21.5","","10.0","","15.8","","2.2","","0.0","","0.0","T","0.0","","0.0","T","0","","","","",""
"1986-05-01","1986","05","01","","23.5","","10.0","","16.8","","1.2","","0.0","","5.6","","0.0","","5.6","","0","","","","",""
"1986-05-02","1986","05","02","","5.5","","1.0","","3.3","","14.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
