"Station Name","L'ASSOMPTION"
"Province","QUEBEC"
"Latitude","45.81"
"Longitude","-73.43"
"Elevation","21.00"
"Climate Identifier","7014160"
"WMO Identifier","71524"
"TC Identifier","WEW"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1997-01-01","1997","01","01","†","-12.5","","-22.2","","-17.4","","35.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"1997-01-02","1997","01","02","†","-8.7","","-14.6","","-11.7","","29.7","","0.0","","","M","","M","4.0","","","","","","<31",""
"1997-01-03","1997","01","03","†","-4.9","","-9.1","","-7.0","","25.0","","0.0","","","M","","M","2.0","","","","","","<31",""
"1997-01-04","1997","01","04","†","-1.5","","-4.9","","-3.2","","21.2","","0.0","","","M","","M","1.0","","","","","","<31",""
"1997-01-05","1997","01","05","†","2.9","","-1.7","","0.6","","17.4","","0.0","","","M","","M","17.0","","","","","","<31",""
"1997-01-06","1997","01","06","†","2.9","","-6.8","","-2.0","","20.0","","0.0","","","M","","M","5.0","","","","28","","46",""
"1997-01-07","1997","01","07","†","-6.8","","-13.0","","-9.9","","27.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"1997-01-08","1997","01","08","†","-10.1","","-13.8","","-12.0","","30.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"1997-01-09","1997","01","09","†","-8.5","","-15.2","","-11.9","","29.9","","0.0","","","M","","M","8.0","","","","","","<31",""
"1997-01-10","1997","01","10","†","-2.7","","-9.2","","-6.0","","24.0","","0.0","","","M","","M","14.0","","","","23","","39",""
"1997-01-11","1997","01","11","†","-3.7","","-11.9","","-7.8","","25.8","","0.0","","","M","","M","0.0","","","","21","","35",""
"1997-01-12","1997","01","12","†","-9.0","","-12.9","","-11.0","","29.0","","0.0","","","M","","M","1.0","","","","24","","41",""
"1997-01-13","1997","01","13","†","-4.4","","-9.3","","-6.9","","24.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"1997-01-14","1997","01","14","†","-1.2","","-9.4","","-5.3","","23.3","","0.0","","","M","","M","0.0","","","","24","","37",""
"1997-01-15","1997","01","15","†","-0.2","","-5.4","","-2.8","","20.8","","0.0","","","M","","M","1.0","","","","23","","46",""
"1997-01-16","1997","01","16","†","2.0","","-21.0","","-9.5","","27.5","","0.0","","","M","","M","9.0","","","","22","","57",""
"1997-01-17","1997","01","17","†","-21.0","","-26.6","","-23.8","","41.8","","0.0","","","M","","M","0.0","","","","26","","43",""
"1997-01-18","1997","01","18","†","-19.4","","-29.7","","-24.6","","42.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"1997-01-19","1997","01","19","†","-7.7","","-26.8","","-17.3","","35.3","","0.0","","","M","","M","0.0","","","","21","","52",""
"1997-01-20","1997","01","20","†","-4.4","","-10.5","","-7.5","","25.5","","0.0","","","M","","M","2.0","","","","22","","41",""
"1997-01-21","1997","01","21","†","-7.7","","-18.2","","-13.0","","31.0","","0.0","","","M","","M","1.0","","","","","","<31",""
"1997-01-22","1997","01","22","†","6.1","","-11.4","","-2.7","","20.7","","0.0","","","M","","M","16.0","","","","22","","54",""
"1997-01-23","1997","01","23","†","5.9","","-20.7","","-7.4","","25.4","","0.0","","","M","","M","0.0","","","","25","","52",""
"1997-01-24","1997","01","24","†","-6.2","","-23.5","","-14.9","","32.9","","0.0","","","M","","M","17.0","","","","","","<31",""
"1997-01-25","1997","01","25","†","3.9","","-10.5","","-3.3","","21.3","","0.0","","","M","","M","18.0","","","","24","","76",""
"1997-01-26","1997","01","26","†","-10.5","","-25.7","","-18.1","","36.1","","0.0","","","M","","M","0.0","","","","27","","52",""
"1997-01-27","1997","01","27","†","-13.5","","-30.7","","-22.1","","40.1","","0.0","","","M","","M","5.9","","","","","","<31",""
"1997-01-28","1997","01","28","†","-5.1","","-15.6","","-10.4","","28.4","","0.0","","","M","","M","12.2","","","","26","","56",""
"1997-01-29","1997","01","29","†","-13.3","","-28.5","","-20.9","","38.9","","0.0","","","M","","M","0.0","","","","27","","32",""
"1997-01-30","1997","01","30","†","-18.5","","-34.7","","-26.6","","44.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"1997-01-31","1997","01","31","†","-5.9","","-18.6","","-12.3","","30.3","","0.0","","","M","","M","5.0","","","","","","<31",""
"1997-02-01","1997","02","01","†","-1.9","","-5.9","","-3.9","","21.9","","0.0","","","M","","M","5.0","","","","","","<31",""
"1997-02-02","1997","02","02","†","1.4","","-5.1","","-1.9","","19.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"1997-02-03","1997","02","03","†","1.1","","-13.1","","-6.0","","24.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"1997-02-04","1997","02","04","†","-4.9","","-14.3","","-9.6","","27.6","","0.0","","","M","","M","5.0","","","","","","<31",""
"1997-02-05","1997","02","05","†","-2.1","","-5.7","","-3.9","","21.9","","0.0","","","M","","M","20.0","","","","","","<31",""
"1997-02-06","1997","02","06","†","-1.5","","-9.8","","-5.7","","23.7","","0.0","","","M","","M","0.0","","","","25","","44",""
"1997-02-07","1997","02","07","†","-0.3","","-18.8","","-9.6","","27.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"1997-02-08","1997","02","08","†","-11.3","","-27.8","","-19.6","","37.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"1997-02-09","1997","02","09","†","-6.6","","-29.6","","-18.1","","36.1","","0.0","","","M","","M","0.0","","","","24","","37",""
"1997-02-10","1997","02","10","†","-2.6","","-10.9","","-6.8","","24.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"1997-02-11","1997","02","11","†","-9.7","","-16.6","","-13.2","","31.2","","0.0","","","M","","M","3.0","","","","","","<31",""
"1997-02-12","1997","02","12","†","-1.4","","-14.3","","-7.9","","25.9","","0.0","","","M","","M","2.0","","","","35","","50",""
"1997-02-13","1997","02","13","†","-12.5","","-27.2","","-19.9","","37.9","","0.0","","","M","","M","","M","","","","","<31",""
"1997-02-14","1997","02","14","†","-7.7","","-22.9","","-15.3","","33.3","","0.0","","","M","","M","11.0","","","","","","<31",""
"1997-02-15","1997","02","15","†","-0.7","","-17.2","","-9.0","","27.0","","0.0","","","M","","M","0.0","","","","28","","37",""
"1997-02-16","1997","02","16","†","-13.6","","-23.5","","-18.6","","36.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"1997-02-17","1997","02","17","†","-12.2","","-32.3","","-22.3","","40.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"1997-02-18","1997","02","18","†","6.7","","-14.5","","-3.9","","21.9","","0.0","","","M","","M","2.0","","","","23","","46",""
"1997-02-19","1997","02","19","†","6.4","","-5.9","","0.3","","17.7","","0.0","","","M","","M","14.0","","","","32","","39",""
"1997-02-20","1997","02","20","†","-1.6","","-13.9","","-7.8","","25.8","","0.0","","","M","","M","0.0","","","","32","","35",""
"1997-02-21","1997","02","21","†","0.4","","-8.0","","-3.8","","21.8","","0.0","","","M","","M","15.0","","","","","","<31",""
"1997-02-22","1997","02","22","†","-2.2","","-12.8","","-7.5","","25.5","","0.0","","","M","","M","7.0","","","","","M","","M"
"1997-02-23","1997","02","23","†","-6.4","","-13.0","","-9.7","","27.7","","0.0","","","M","","M","2.0","","","","","M","","M"
"1997-02-24","1997","02","24","†","-5.1","","-19.3","","-12.2","","30.2","","0.0","","","M","","M","2.0","","","","26","","44",""
"1997-02-25","1997","02","25","†","-5.5","","-23.5","","-14.5","","32.5","","0.0","","","M","","M","0.0","","","","22","","32",""
"1997-02-26","1997","02","26","†","4.2","","-6.6","","-1.2","","19.2","","0.0","","","M","","M","1.0","","","","22","","44",""
"1997-02-27","1997","02","27","†","2.4","","-3.7","","-0.7","","18.7","","0.0","","","M","","M","6.0","","","","2","","41",""
"1997-02-28","1997","02","28","†","0.9","","-5.0","","-2.1","","20.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"1997-03-01","1997","03","01","†","2.8","","-9.8","","-3.5","","21.5","","0.0","","","M","","M","8.0","","","","17","","39",""
"1997-03-02","1997","03","02","†","7.3","","-5.9","","0.7","","17.3","","0.0","","","M","","M","8.0","","","","29","","67",""
"1997-03-03","1997","03","03","†","-3.7","","-11.7","","-7.7","","25.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"1997-03-04","1997","03","04","†","-4.5","","-10.2","","-7.4","","25.4","","0.0","","","M","","M","2.0","","","","","","<31",""
"1997-03-05","1997","03","05","†","2.8","","-5.0","","-1.1","","19.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"1997-03-06","1997","03","06","†","-1.9","","-11.3","","-6.6","","24.6","","0.0","","","M","","M","20.0","","","","2","","54",""
"1997-03-07","1997","03","07","†","-5.1","","-17.3","","-11.2","","29.2","","0.0","","","M","","M","0.0","","","","29","","44",""
"1997-03-08","1997","03","08","†","-2.0","","-17.8","","-9.9","","27.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"1997-03-09","1997","03","09","†","-5.5","","-24.9","","-15.2","","33.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"1997-03-10","1997","03","10","†","4.1","","-10.0","","-3.0","","21.0","","0.0","","","M","","M","8.0","","","","15","","57",""
"1997-03-11","1997","03","11","†","5.5","","-10.2","","-2.4","","20.4","","0.0","","","M","","M","0.0","","","","32","","37",""
"1997-03-12","1997","03","12","†","-1.7","","-17.8","","-9.8","","27.8","","0.0","","","M","","M","0.0","","","","28","","41",""
"1997-03-13","1997","03","13","†","-4.1","","-22.3","","-13.2","","31.2","","0.0","","","M","","M","","M","","","","","<31",""
"1997-03-14","1997","03","14","†","-3.9","","-20.1","","-12.0","","30.0","","0.0","","","M","","M","18.0","","","","4","","33",""
"1997-03-15","1997","03","15","†","-1.9","","-14.9","","-8.4","","26.4","","0.0","","","M","","M","1.7","","","","23","","70",""
"1997-03-16","1997","03","16","†","-5.1","","-16.3","","-10.7","","28.7","","0.0","","","M","","M","0.0","","","","25","","43",""
"1997-03-17","1997","03","17","†","-1.8","","-18.4","","-10.1","","28.1","","0.0","","","M","","M","4.0","","","","16","","41",""
"1997-03-18","1997","03","18","†","-2.7","","-17.6","","-10.2","","28.2","","0.0","","","M","","M","0.0","","","","23","","32",""
"1997-03-19","1997","03","19","†","0.5","","-15.4","","-7.5","","25.5","","0.0","","","M","","M","0.0","","","","23","","41",""
"1997-03-20","1997","03","20","†","2.1","","-6.8","","-2.4","","20.4","","0.0","","","M","","M","0.0","","","","22","","35",""
"1997-03-21","1997","03","21","†","1.7","","-16.8","","-7.6","","25.6","","0.0","","","M","","M","2.0","","","","","","<31",""
"1997-03-22","1997","03","22","†","1.3","","-15.3","","-7.0","","25.0","","0.0","","","M","","M","1.0","","","","34","","33",""
"1997-03-23","1997","03","23","†","-2.0","","-20.5","","-11.3","","29.3","","0.0","","","M","","M","0.0","","","","24","","41",""
"1997-03-24","1997","03","24","†","-2.8","","-17.1","","-10.0","","28.0","","0.0","","","M","","M","0.0","","","","22","","39",""
"1997-03-25","1997","03","25","†","2.0","","-17.1","","-7.6","","25.6","","0.0","","","M","","M","16.0","","","","16","","56",""
"1997-03-26","1997","03","26","†","4.8","","-1.5","","1.7","","16.3","","0.0","","","M","","M","2.0","","","","23","","54",""
"1997-03-27","1997","03","27","†","6.6","","-2.6","","2.0","","16.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"1997-03-28","1997","03","28","†","8.7","","-4.6","","2.1","","15.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"1997-03-29","1997","03","29","†","9.9","","2.1","","6.0","","12.0","","0.0","","","M","","M","5.0","","","","","","<31",""
