"Station Name","L'ASSOMPTION"
"Province","QUEBEC"
"Latitude","45.81"
"Longitude","-73.43"
"Elevation","21.00"
"Climate Identifier","7014160"
"WMO Identifier","71524"
"TC Identifier","WEW"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1978-01-01","1978","01","01","","-12.2","","-23.3","","-17.8","","35.8","","0.0","","0.0","","2.5","","2.5","","25","","","","",""
"1978-01-02","1978","01","02","","-11.1","","-14.4","","-12.8","","30.8","","0.0","","0.0","","0.8","","0.8","","27","","","","",""
"1978-01-03","1978","01","03","","-10.0","","-20.0","","-15.0","","33.0","","0.0","","0.0","","0.0","","0.0","","27","","","","",""
"1978-01-04","1978","01","04","","-13.3","","-26.7","","-20.0","","38.0","","0.0","","0.0","","1.8","","1.8","","27","","","","",""
"1978-01-05","1978","01","05","","-7.2","","-22.2","","-14.7","","32.7","","0.0","","0.0","","0.3","","0.3","","27","","","","",""
"1978-01-06","1978","01","06","","-13.9","","-18.3","","-16.1","","34.1","","0.0","","0.0","","0.3","","0.3","","27","","","","",""
"1978-01-07","1978","01","07","","-1.7","","-18.9","","-10.3","","28.3","","0.0","","0.0","","5.3","","5.3","","27","","","","",""
"1978-01-08","1978","01","08","","7.2","","-12.8","","-2.8","","20.8","","0.0","","52.8","","9.9","","62.7","","30","","","","",""
"1978-01-09","1978","01","09","","2.8","","-17.8","","-7.5","","25.5","","0.0","","1.8","","18.0","","19.8","","30","","","","",""
"1978-01-10","1978","01","10","","-15.0","","-21.1","","-18.1","","36.1","","0.0","","0.0","","1.0","","1.0","","30","","","","",""
"1978-01-11","1978","01","11","","-11.1","","-18.3","","-14.7","","32.7","","0.0","","0.0","","0.0","","0.0","","30","","","","",""
"1978-01-12","1978","01","12","","-13.3","","-22.8","","-18.1","","36.1","","0.0","","0.0","","0.0","","0.0","","30","","","","",""
"1978-01-13","1978","01","13","","-12.8","","-25.0","","-18.9","","36.9","","0.0","","0.0","","3.0","","3.0","","30","","","","",""
"1978-01-14","1978","01","14","","-10.6","","-15.0","","-12.8","","30.8","","0.0","","0.0","","7.1","","7.1","","33","","","","",""
"1978-01-15","1978","01","15","","-12.2","","-13.9","","-13.1","","31.1","","0.0","","0.0","","0.0","","0.0","","35","","","","",""
"1978-01-16","1978","01","16","","-13.9","","-21.1","","-17.5","","35.5","","0.0","","0.0","","0.0","","0.0","","35","","","","",""
"1978-01-17","1978","01","17","","-9.4","","-27.8","","-18.6","","36.6","","0.0","","0.0","","14.0","","14.0","","35","","","","",""
"1978-01-18","1978","01","18","","-6.1","","-19.4","","-12.8","","30.8","","0.0","","0.0","","4.1","","4.1","","43","","","","",""
"1978-01-19","1978","01","19","","-12.2","","-27.2","","-19.7","","37.7","","0.0","","0.0","","0.0","","0.0","","45","","","","",""
"1978-01-20","1978","01","20","","-10.0","","-21.1","","-15.6","","33.6","","0.0","","0.0","","7.1","","7.1","","45","","","","",""
"1978-01-21","1978","01","21","","-7.2","","-13.3","","-10.3","","28.3","","0.0","","0.0","","0.0","","0.0","","45","","","","",""
"1978-01-22","1978","01","22","","-5.0","","-21.7","","-13.4","","31.4","","0.0","","0.0","","0.0","","0.0","","45","","","","",""
"1978-01-23","1978","01","23","","-3.9","","-10.6","","-7.3","","25.3","","0.0","","0.0","","0.0","","0.0","","45","","","","",""
"1978-01-24","1978","01","24","","-1.1","","-7.2","","-4.2","","22.2","","0.0","","0.0","","2.3","","2.3","","45","","","","",""
"1978-01-25","1978","01","25","","1.7","","-6.7","","-2.5","","20.5","","0.0","","24.9","","3.3","","28.2","","40","","","","",""
"1978-01-26","1978","01","26","","5.6","","-1.1","","2.3","","15.7","","0.0","","5.3","","2.3","","7.6","","38","","","","",""
"1978-01-27","1978","01","27","","-5.6","","-7.8","","-6.7","","24.7","","0.0","","0.0","","1.0","","1.0","","35","","","","",""
"1978-01-28","1978","01","28","","-7.8","","-15.6","","-11.7","","29.7","","0.0","","0.0","","0.0","","0.0","","35","","","","",""
"1978-01-29","1978","01","29","","-12.2","","-21.7","","-17.0","","35.0","","0.0","","0.0","","0.3","","0.3","","35","","","","",""
"1978-01-30","1978","01","30","","-10.0","","-16.1","","-13.1","","31.1","","0.0","","0.0","","0.0","T","0.0","T","35","","","","",""
"1978-01-31","1978","01","31","","-12.2","","-18.3","","-15.3","","33.3","","0.0","","0.0","","0.0","T","0.0","T","35","","","","",""
"1978-02-01","1978","02","01","","-7.8","","-21.1","","-14.5","","32.5","","0.0","","0.0","","0.0","T","0.0","T","36","","","","",""
"1978-02-02","1978","02","02","","-13.9","","-26.7","","-20.3","","38.3","","0.0","","0.0","","0.0","","0.0","","35","","","","",""
"1978-02-03","1978","02","03","","-15.6","","-28.9","","-22.3","","40.3","","0.0","","0.0","","0.0","","0.0","","35","","","","",""
"1978-02-04","1978","02","04","","-15.6","","-32.2","","-23.9","","41.9","","0.0","","0.0","","0.0","","0.0","","35","","","","",""
"1978-02-05","1978","02","05","","-15.0","","-32.8","","-23.9","","41.9","","0.0","","0.0","","0.0","","0.0","","35","","","","",""
"1978-02-06","1978","02","06","","-5.6","","-19.4","","-12.5","","30.5","","0.0","","0.0","","7.9","","7.9","","35","","","","",""
"1978-02-07","1978","02","07","","-5.0","","-10.0","","-7.5","","25.5","","0.0","","0.0","","13.5","","13.5","","40","","","","",""
"1978-02-08","1978","02","08","","-5.6","","-17.2","","-11.4","","29.4","","0.0","","0.0","","0.0","","0.0","","58","","","","",""
"1978-02-09","1978","02","09","","-7.2","","-22.8","","-15.0","","33.0","","0.0","","0.0","","0.0","","0.0","","58","","","","",""
"1978-02-10","1978","02","10","","-11.1","","-27.8","","-19.5","","37.5","","0.0","","0.0","","0.0","","0.0","","58","","","","",""
"1978-02-11","1978","02","11","","-7.2","","-19.4","","-13.3","","31.3","","0.0","","0.0","","0.0","","0.0","","58","","","","",""
"1978-02-12","1978","02","12","","-6.1","","-10.6","","-8.4","","26.4","","0.0","","0.0","","0.0","","0.0","","58","","","","",""
"1978-02-13","1978","02","13","","-6.1","","-22.2","","-14.2","","32.2","","0.0","","0.0","","0.0","","0.0","","58","","","","",""
"1978-02-14","1978","02","14","","-7.2","","-24.4","","-15.8","","33.8","","0.0","","0.0","","0.0","","0.0","","58","","","","",""
"1978-02-15","1978","02","15","","-7.2","","-27.8","","-17.5","","35.5","","0.0","","0.0","","0.0","","0.0","","58","","","","",""
"1978-02-16","1978","02","16","","-6.7","","-23.9","","-15.3","","33.3","","0.0","","0.0","","0.0","","0.0","","58","","","","",""
