"Station Name","L'ASSOMPTION"
"Province","QUEBEC"
"Latitude","45.81"
"Longitude","-73.43"
"Elevation","21.00"
"Climate Identifier","7014160"
"WMO Identifier","71524"
"TC Identifier","WEW"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1977-01-01","1977","01","01","","-3.3","","-19.4","","-11.4","","29.4","","0.0","","0.0","","0.0","","0.0","","15","","","","",""
"1977-01-02","1977","01","02","","-4.4","","-12.2","","-8.3","","26.3","","0.0","","0.0","","0.0","","0.0","","15","","","","",""
"1977-01-03","1977","01","03","","-5.6","","-16.7","","-11.2","","29.2","","0.0","","0.0","","2.3","","2.3","","15","","","","",""
"1977-01-04","1977","01","04","","-4.4","","-9.4","","-6.9","","24.9","","0.0","","0.0","","2.8","","2.8","","15","","","","",""
"1977-01-05","1977","01","05","","-3.9","","-11.1","","-7.5","","25.5","","0.0","","0.0","","0.0","","0.0","","17","","","","",""
"1977-01-06","1977","01","06","","-8.3","","-27.2","","-17.8","","35.8","","0.0","","0.0","","3.3","","3.3","","17","","","","",""
"1977-01-07","1977","01","07","","-1.7","","-17.8","","-9.8","","27.8","","0.0","","0.0","","5.8","","5.8","","20","","","","",""
"1977-01-08","1977","01","08","","-15.0","","-20.0","","-17.5","","35.5","","0.0","","0.0","","0.3","","0.3","","25","","","","",""
"1977-01-09","1977","01","09","","-13.9","","-23.3","","-18.6","","36.6","","0.0","","0.0","","0.8","","0.8","","25","","","","",""
"1977-01-10","1977","01","10","","-13.3","","-27.2","","-20.3","","38.3","","0.0","","0.0","","24.6","","24.6","","25","","","","",""
