"Station Name","L'ASSOMPTION"
"Province","QUEBEC"
"Latitude","45.81"
"Longitude","-73.43"
"Elevation","21.00"
"Climate Identifier","7014160"
"WMO Identifier","71524"
"TC Identifier","WEW"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1963-01-01","1963","01","01","","-11.1","","-17.2","","-14.2","","32.2","","0.0","","0.0","","0.5","","0.5","","23","","","","",""
"1963-01-02","1963","01","02","","-5.0","","-13.9","","-9.5","","27.5","","0.0","","0.0","","0.0","","0.0","","23","","","","",""
"1963-01-03","1963","01","03","","-5.0","","-8.3","","-6.7","","24.7","","0.0","","0.0","","1.3","","1.3","","20","","","","",""
"1963-01-04","1963","01","04","","-1.7","","-10.6","","-6.2","","24.2","","0.0","","0.0","","0.0","","0.0","","20","","","","",""
"1963-01-05","1963","01","05","","-1.1","","-6.1","","-3.6","","21.6","","0.0","","0.0","","0.5","","0.5","","20","","","","",""
"1963-01-06","1963","01","06","","-0.6","","-7.2","","-3.9","","21.9","","0.0","","0.0","","0.0","","0.0","","20","","","","",""
"1963-01-07","1963","01","07","","-3.3","","-12.8","","-8.1","","26.1","","0.0","","0.0","","0.0","","0.0","","20","","","","",""
"1963-01-08","1963","01","08","","-0.6","","-6.1","","-3.4","","21.4","","0.0","","0.0","","0.0","","0.0","","20","","","","",""
"1963-01-09","1963","01","09","","2.2","","-3.3","","-0.6","","18.6","","0.0","","1.3","","0.0","","1.3","","18","","","","",""
"1963-01-10","1963","01","10","","3.3","","-1.1","","1.1","","16.9","","0.0","","0.0","","0.0","","0.0","","18","","","","",""
"1963-01-11","1963","01","11","","-8.9","","-10.6","","-9.8","","27.8","","0.0","","0.0","","1.3","","1.3","","15","","","","",""
"1963-01-12","1963","01","12","","-3.3","","-13.9","","-8.6","","26.6","","0.0","","0.0","","15.2","","15.2","","15","","","","",""
"1963-01-13","1963","01","13","","-5.0","","-11.1","","-8.1","","26.1","","0.0","","0.0","","0.0","","0.0","","20","","","","",""
"1963-01-14","1963","01","14","","-8.3","","-14.4","","-11.4","","29.4","","0.0","","0.0","","0.0","","0.0","","18","","","","",""
"1963-01-15","1963","01","15","","-12.8","","-20.0","","-16.4","","34.4","","0.0","","0.0","","0.0","","0.0","","18","","","","",""
"1963-01-16","1963","01","16","","-15.0","","-33.9","","-24.5","","42.5","","0.0","","0.0","","0.0","","0.0","","18","","","","",""
"1963-01-17","1963","01","17","","-10.0","","-22.8","","-16.4","","34.4","","0.0","","0.0","","0.0","","0.0","","18","","","","",""
"1963-01-18","1963","01","18","","-6.7","","-24.4","","-15.6","","33.6","","0.0","","0.0","","0.0","","0.0","","18","","","","",""
"1963-01-19","1963","01","19","","-6.1","","-12.2","","-9.2","","27.2","","0.0","","0.0","","1.8","","1.8","","15","","","","",""
"1963-01-20","1963","01","20","","2.8","","-13.3","","-5.3","","23.3","","0.0","","1.8","","0.0","","1.8","","18","","","","",""
"1963-01-21","1963","01","21","","-11.7","","-16.7","","-14.2","","32.2","","0.0","","0.0","","0.5","","0.5","","15","","","","",""
"1963-01-22","1963","01","22","","-16.1","","-25.6","","-20.9","","38.9","","0.0","","0.0","","3.8","","3.8","","15","","","","",""
"1963-01-23","1963","01","23","","-12.8","","-17.8","","-15.3","","33.3","","0.0","","0.0","","4.3","","4.3","","20","","","","",""
"1963-01-24","1963","01","24","","-15.0","","-28.9","","-22.0","","40.0","","0.0","","0.0","","0.0","","0.0","","20","","","","",""
"1963-01-25","1963","01","25","","-14.4","","-25.6","","-20.0","","38.0","","0.0","","0.0","","1.0","","1.0","","18","","","","",""
"1963-01-26","1963","01","26","","-10.6","","-26.1","","-18.4","","36.4","","0.0","","0.0","","7.1","","7.1","","20","","","","",""
"1963-01-27","1963","01","27","","-8.9","","-18.9","","-13.9","","31.9","","0.0","","0.0","","8.9","","8.9","","23","","","","",""
"1963-01-28","1963","01","28","","-13.3","","-17.8","","-15.6","","33.6","","0.0","","0.0","","0.0","","0.0","","25","","","","",""
"1963-01-29","1963","01","29","","-8.9","","-23.9","","-16.4","","34.4","","0.0","","0.0","","0.0","","0.0","","23","","","","",""
"1963-01-30","1963","01","30","","-6.7","","-13.3","","-10.0","","28.0","","0.0","","0.0","","0.0","","0.0","","23","","","","",""
