"Station Name","L'ASSOMPTION"
"Province","QUEBEC"
"Latitude","45.81"
"Longitude","-73.43"
"Elevation","21.00"
"Climate Identifier","7014160"
"WMO Identifier","71524"
"TC Identifier","WEW"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1962-01-01","1962","01","01","","-13.3","","-16.1","","-14.7","","32.7","","0.0","","0.0","","0.8","","0.5","","10","","","","",""
"1962-01-02","1962","01","02","","-13.3","","-22.8","","-18.1","","36.1","","0.0","","0.0","","0.8","","0.5","","10","","","","",""
"1962-01-03","1962","01","03","","0.6","","-27.2","","-13.3","","31.3","","0.0","","0.0","","3.3","","3.0","","10","","","","",""
"1962-01-04","1962","01","04","","-14.4","","-22.8","","-18.6","","36.6","","0.0","","0.0","","0.0","","0.0","","15","","","","",""
"1962-01-05","1962","01","05","","-11.7","","-28.9","","-20.3","","38.3","","0.0","","0.0","","12.7","","12.7","","15","","","","",""
"1962-01-06","1962","01","06","","-7.2","","-16.7","","-12.0","","30.0","","0.0","","0.0","","12.7","","20.8","","20","","","","",""
"1962-01-07","1962","01","07","","1.1","","-10.6","","-4.8","","22.8","","0.0","","0.0","","1.3","","1.3","","20","","","","",""
"1962-01-08","1962","01","08","","0.6","","-0.6","","0.0","","18.0","","0.0","","0.0","","0.0","T","0.3","","20","","","","",""
"1962-01-09","1962","01","09","","-4.4","","-9.4","","-6.9","","24.9","","0.0","","0.0","","0.0","","0.0","","20","","","","",""
"1962-01-10","1962","01","10","","-11.7","","-15.6","","-13.7","","31.7","","0.0","","0.0","","0.0","","0.0","","20","","","","",""
"1962-01-11","1962","01","11","","-6.7","","-21.7","","-14.2","","32.2","","0.0","","0.0","","0.0","","0.0","","18","","","","",""
"1962-01-12","1962","01","12","","-6.1","","-9.4","","-7.8","","25.8","","0.0","","0.0","","0.0","","0.0","","18","","","","",""
"1962-01-13","1962","01","13","","-5.0","","-15.0","","-10.0","","28.0","","0.0","","0.0","","0.0","","0.0","","18","","","","",""
"1962-01-14","1962","01","14","","0.0","","-17.8","","-8.9","","26.9","","0.0","","0.5","","0.0","","0.5","","18","","","","",""
"1962-01-15","1962","01","15","","4.4","","-4.4","","0.0","","18.0","","0.0","","32.5","","0.0","","32.5","","18","","","","",""
"1962-01-16","1962","01","16","","-5.6","","-12.8","","-9.2","","27.2","","0.0","","0.0","","1.3","","1.5","","15","","","","",""
"1962-01-17","1962","01","17","","-9.4","","-20.0","","-14.7","","32.7","","0.0","","0.0","","0.0","","0.0","","15","","","","",""
"1962-01-18","1962","01","18","","-11.7","","-26.1","","-18.9","","36.9","","0.0","","0.0","","0.0","","0.0","","15","","","","",""
"1962-01-19","1962","01","19","","-11.1","","-21.7","","-16.4","","34.4","","0.0","","0.0","","0.0","","0.0","","15","","","","",""
"1962-01-20","1962","01","20","","-11.1","","-17.8","","-14.5","","32.5","","0.0","","0.0","","0.0","","0.0","","15","","","","",""
"1962-01-21","1962","01","21","","-6.7","","-22.2","","-14.5","","32.5","","0.0","","0.0","","1.3","","1.0","","15","","","","",""
"1962-01-22","1962","01","22","","1.1","","-11.1","","-5.0","","23.0","","0.0","","0.0","","0.8","","0.5","","15","","","","",""
"1962-01-23","1962","01","23","","-5.0","","-8.9","","-7.0","","25.0","","0.0","","0.0","","0.0","T","0.0","T","15","","","","",""
