"Station Name","L'ASSOMPTION"
"Province","QUEBEC"
"Latitude","45.81"
"Longitude","-73.43"
"Elevation","21.00"
"Climate Identifier","7014160"
"WMO Identifier","71524"
"TC Identifier","WEW"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1965-01-01","1965","01","01","","-8.9","","-18.3","","-13.6","","31.6","","0.0","","0.0","","0.0","","0.0","","8","","","","",""
"1965-01-02","1965","01","02","","-8.3","","-22.2","","-15.3","","33.3","","0.0","","0.0","","0.0","","0.0","","8","","","","",""
"1965-01-03","1965","01","03","","0.0","","-16.1","","-8.1","","26.1","","0.0","","0.0","","0.0","","0.0","","8","","","","",""
"1965-01-04","1965","01","04","","-0.6","","-8.9","","-4.8","","22.8","","0.0","","0.0","","0.0","","0.0","","5","","","","",""
"1965-01-05","1965","01","05","","-2.2","","-11.7","","-7.0","","25.0","","0.0","","0.0","","0.5","","0.5","","5","","","","",""
"1965-01-06","1965","01","06","","-5.6","","-8.9","","-7.3","","25.3","","0.0","","0.0","","0.0","","0.0","","5","","","","",""
"1965-01-07","1965","01","07","","-10.6","","-21.1","","-15.9","","33.9","","0.0","","0.0","","0.0","","0.0","","5","","","","",""
"1965-01-08","1965","01","08","","8.9","","-13.3","","-2.2","","20.2","","0.0","","15.7","","0.0","","15.7","","5","","","","",""
"1965-01-09","1965","01","09","","3.3","","-4.4","","-0.6","","18.6","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1965-01-10","1965","01","10","","-10.0","","-15.0","","-12.5","","30.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1965-01-11","1965","01","11","","1.1","","-12.8","","-5.9","","23.9","","0.0","","0.0","","2.8","","2.8","","0","","","","",""
"1965-01-12","1965","01","12","","1.1","","-7.8","","-3.4","","21.4","","0.0","","0.0","","0.8","","0.8","","3","","","","",""
"1965-01-13","1965","01","13","","0.0","","-10.0","","-5.0","","23.0","","0.0","","0.0","","2.5","","2.5","","3","","","","",""
"1965-01-14","1965","01","14","","-16.1","","-26.7","","-21.4","","39.4","","0.0","","0.0","","0.0","","0.0","","8","","","","",""
"1965-01-15","1965","01","15","","-22.8","","-32.8","","-27.8","","45.8","","0.0","","0.0","","0.0","","0.0","","8","","","","",""
"1965-01-16","1965","01","16","","-18.9","","-31.7","","-25.3","","43.3","","0.0","","0.0","","0.0","","0.0","","8","","","","",""
"1965-01-17","1965","01","17","","-18.3","","-29.4","","-23.9","","41.9","","0.0","","0.0","","0.0","","0.0","","8","","","","",""
"1965-01-18","1965","01","18","","-14.4","","-22.2","","-18.3","","36.3","","0.0","","0.0","","0.3","","0.3","","8","","","","",""
"1965-01-19","1965","01","19","","-6.7","","-25.6","","-16.2","","34.2","","0.0","","0.0","","1.5","","1.5","","8","","","","",""
"1965-01-20","1965","01","20","","-4.4","","-15.0","","-9.7","","27.7","","0.0","","0.0","","2.0","","2.0","","8","","","","",""
"1965-01-21","1965","01","21","","-1.7","","-20.0","","-10.9","","28.9","","0.0","","0.0","","0.0","T","0.0","T","10","","","","",""
"1965-01-22","1965","01","22","","0.0","","-12.8","","-6.4","","24.4","","0.0","","0.0","","0.0","","0.0","","10","","","","",""
