"Station Name","L'ASSOMPTION"
"Province","QUEBEC"
"Latitude","45.81"
"Longitude","-73.43"
"Elevation","21.00"
"Climate Identifier","7014160"
"WMO Identifier","71524"
"TC Identifier","WEW"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1996-01-01","1996","01","01","†","-11.9","","-26.7","","-19.3","","37.3","","0.0","","0.0","","","M","1.0","","22","","","","<31",""
"1996-01-02","1996","01","02","†","-17.3","","-29.6","","-23.5","","41.5","","0.0","","0.0","","","M","0.0","","22","","","","<31",""
"1996-01-03","1996","01","03","†","-18.8","","-27.2","","-23.0","","41.0","","0.0","","0.0","","","M","0.0","","22","","3","","32",""
"1996-01-04","1996","01","04","†","-19.0","","-29.6","","-24.3","","42.3","","0.0","","0.0","","","M","0.0","","21","","","","<31",""
"1996-01-05","1996","01","05","†","-20.5","","-27.1","","-23.8","","41.8","","0.0","","0.0","","","M","0.0","","21","","27","","35",""
"1996-01-06","1996","01","06","†","-18.4","","-28.7","","-23.6","","41.6","","0.0","","0.0","","","M","1.2","","22","","","","<31",""
"1996-01-07","1996","01","07","†","-18.4","","-35.5","","-27.0","","45.0","","0.0","","0.0","","","M","0.0","","22","","","","<31",""
"1996-01-08","1996","01","08","†","-13.6","","-30.6","","-22.1","","40.1","","0.0","","0.0","","","M","0.0","","22","","","","<31",""
"1996-01-09","1996","01","09","†","-11.0","","-15.2","","-13.1","","31.1","","0.0","","0.0","","","M","3.0","","22","","","","<31",""
"1996-01-10","1996","01","10","†","-7.7","","-22.0","","-14.9","","32.9","","0.0","","0.0","","","M","1.0","","27","","","","<31",""
