"Station Name","L'ASSOMPTION"
"Province","QUEBEC"
"Latitude","45.81"
"Longitude","-73.43"
"Elevation","21.00"
"Climate Identifier","7014160"
"WMO Identifier","71524"
"TC Identifier","WEW"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2007-01-01","2007","01","01","†","5.0","","-5.9","","-0.5","","18.5","","0.0","","","M","","M","11.0","","8","","17","","43",""
"2007-01-02","2007","01","02","†","3.3","","-3.9","","-0.3","","18.3","","0.0","","","M","","M","0.0","","2","","30","","48",""
"2007-01-03","2007","01","03","†","5.7","","-3.2","","1.3","","16.7","","0.0","","","M","","M","0.0","","2","","22","","44",""
"2007-01-04","2007","01","04","†","8.7","","1.6","","5.2","","12.8","","0.0","","","M","","M","0.0","","1","","21","","32",""
"2007-01-05","2007","01","05","†","8.5","","4.6","","6.6","","11.4","","0.0","","","M","","M","5.0","","1","","","","<31",""
"2007-01-06","2007","01","06","†","10.4","","2.7","","6.6","","11.4","","0.0","","","M","","M","13.0","","1","","18","","57",""
"2007-01-07","2007","01","07","†","5.1","","0.3","","2.7","","15.3","","0.0","","","M","","M","0.0","","1","","24","","37",""
"2007-01-08","2007","01","08","†","4.4","","0.3","","2.4","","15.6","","0.0","","","M","","M","19.0","","4","","19","","50",""
"2007-01-09","2007","01","09","†","2.1","","-5.6","","-1.8","","19.8","","0.0","","","M","","M","0.0","","1","","20","","48",""
"2007-01-10","2007","01","10","†","-5.6","","-13.6","","-9.6","","27.6","","0.0","","","M","","M","0.0","","1","","29","","39",""
"2007-01-11","2007","01","11","†","-0.4","","-14.0","","-7.2","","25.2","","0.0","","","M","","M","0.0","","1","","16","","33",""
