"Station Name","L'ASSOMPTION"
"Province","QUEBEC"
"Latitude","45.81"
"Longitude","-73.43"
"Elevation","21.00"
"Climate Identifier","7014160"
"WMO Identifier","71524"
"TC Identifier","WEW"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2006-01-01","2006","01","01","†","-9.0","","-11.7","","-10.4","","28.4","","0.0","","","M","","M","0.0","","21","","","","<31",""
"2006-01-02","2006","01","02","†","-4.2","","-11.1","","-7.7","","25.7","","0.0","","","M","","M","0.0","","21","","","","<31",""
"2006-01-03","2006","01","03","†","-6.7","","-11.1","","-8.9","","26.9","","0.0","","","M","","M","0.0","","21","","","","<31",""
"2006-01-04","2006","01","04","†","-4.4","","-14.4","","-9.4","","27.4","","0.0","","0.0","","","M","3.0","","21","","","","<31",""
"2006-01-05","2006","01","05","†","-2.6","","-4.7","","-3.7","","21.7","","0.0","","0.0","","","M","6.0","","24","","","","<31",""
"2006-01-06","2006","01","06","†","-2.5","","-11.9","","-7.2","","25.2","","0.0","","","M","","M","0.0","","28","","","","<31",""
"2006-01-07","2006","01","07","†","-10.8","","-18.6","","-14.7","","32.7","","0.0","","","M","","M","0.0","","28","","","","<31",""
"2006-01-08","2006","01","08","†","-6.8","","-13.4","","-10.1","","28.1","","0.0","","","M","","M","1.0","","28","","","","<31",""
"2006-01-09","2006","01","09","†","-0.7","","-6.9","","-3.8","","21.8","","0.0","","0.0","","","M","8.0","","32","","","","<31",""
"2006-01-10","2006","01","10","†","-0.7","","-8.6","","-4.7","","22.7","","0.0","","","M","","M","1.0","","33","","23","","35",""
"2006-01-11","2006","01","11","†","0.5","","-9.2","","-4.4","","22.4","","0.0","","","M","","M","6.0","","31","","","","<31",""
"2006-01-12","2006","01","12","†","3.3","","0.4","","1.9","","16.1","","0.0","","","M","","M","9.0","","27","","24","","37",""
"2006-01-13","2006","01","13","†","6.0","","-4.3","","0.9","","17.1","","0.0","","","M","","M","0.0","","21","","","","<31",""
"2006-01-14","2006","01","14","†","5.4","","-6.9","","-0.8","","18.8","","0.0","","","M","","M","23.9","","18","","32","","44",""
"2006-01-15","2006","01","15","†","-6.9","","-17.8","","-12.4","","30.4","","0.0","","","M","","M","0.0","","17","","34","","43",""
"2006-01-16","2006","01","16","†","-4.9","","-19.4","","-12.2","","30.2","","0.0","","","M","","M","0.0","","17","","","","<31",""
"2006-01-17","2006","01","17","†","-0.7","","-19.0","","-9.9","","27.9","","0.0","","0.0","","","M","1.1","","17","","","","<31",""
"2006-01-18","2006","01","18","†","3.0","","-0.7","","1.2","","16.8","","0.0","","","M","","M","70.5","","18","","24","","67",""
"2006-01-19","2006","01","19","†","0.2","","-2.2","","-1.0","","19.0","","0.0","","","M","","M","0.0","","17","","23","","72",""
"2006-01-20","2006","01","20","†","3.0","","-1.8","","0.6","","17.4","","0.0","","","M","","M","0.0","","17","","","","<31",""
"2006-01-21","2006","01","21","†","1.5","","-9.6","","-4.1","","22.1","","0.0","","0.0","","","M","18.5","","17","","34","","44",""
"2006-01-22","2006","01","22","†","-5.8","","-17.0","","-11.4","","29.4","","0.0","","","M","","M","0.0","","19","","","","<31",""
"2006-01-23","2006","01","23","†","-3.7","","-13.2","","-8.5","","26.5","","0.0","","","M","","M","0.0","","19","","","","<31",""
"2006-01-24","2006","01","24","†","1.4","","-10.7","","-4.7","","22.7","","0.0","","0.0","","","M","4.0","","19","","16","","35",""
"2006-01-25","2006","01","25","†","0.2","","-1.6","","-0.7","","18.7","","0.0","","0.0","","","M","4.0","","23","","","","<31",""
"2006-01-26","2006","01","26","†","-1.6","","-17.2","","-9.4","","27.4","","0.0","","","M","","M","1.0","","26","","","","<31",""
"2006-01-27","2006","01","27","†","-0.1","","-18.7","","-9.4","","27.4","","0.0","","","M","","M","0.0","","25","","24","","37",""
"2006-01-28","2006","01","28","†","4.9","","-3.8","","0.6","","17.4","","0.0","","","M","","M","1.0","","24","","24","","37",""
"2006-01-29","2006","01","29","†","-2.3","","-7.5","","-4.9","","22.9","","0.0","","0.0","","","M","8.0","","21","","5","","39",""
"2006-01-30","2006","01","30","†","-3.9","","-6.7","","-5.3","","23.3","","0.0","","0.0","","","M","3.0","","21","","5","","39",""
"2006-01-31","2006","01","31","†","-0.5","","-4.0","","-2.3","","20.3","","0.0","","0.0","","","M","4.0","","22","","","","<31",""
"2006-02-01","2006","02","01","†","-0.7","","-4.9","","-2.8","","20.8","","0.0","","","M","","M","1.0","","26","","","","<31",""
"2006-02-02","2006","02","02","†","2.1","","-4.6","","-1.3","","19.3","","0.0","","","M","","M","0.0","","24","","","","<31",""
"2006-02-03","2006","02","03","†","4.4","","-2.0","","1.2","","16.8","","0.0","","","M","","M","20.0","","25","","22","","44",""
"2006-02-04","2006","02","04","†","3.7","","1.8","","2.8","","15.2","","0.0","","","M","","M","4.0","","21","","5","","41",""
"2006-02-05","2006","02","05","†","4.0","","-0.8","","1.6","","16.4","","0.0","","","M","","M","14.0","","18","","23","","52",""
"2006-02-06","2006","02","06","†","-0.8","","-9.0","","-4.9","","22.9","","0.0","","","M","","M","0.0","","16","","23","","59",""
"2006-02-07","2006","02","07","†","-5.3","","-11.9","","-8.6","","26.6","","0.0","","","M","","M","","M","16","","25","","33",""
"2006-02-08","2006","02","08","†","-5.4","","-14.3","","-9.9","","27.9","","0.0","","","M","","M","0.0","","16","","","","<31",""
"2006-02-09","2006","02","09","†","-9.2","","-19.4","","-14.3","","32.3","","0.0","","","M","","M","0.0","","15","","","","<31",""
"2006-02-10","2006","02","10","†","-10.8","","-22.0","","-16.4","","34.4","","0.0","","","M","","M","0.0","","15","","","","<31",""
"2006-02-11","2006","02","11","†","-7.6","","-21.8","","-14.7","","32.7","","0.0","","","M","","M","0.0","","15","","","","<31",""
"2006-02-12","2006","02","12","†","-7.3","","-16.9","","-12.1","","30.1","","0.0","","","M","","M","0.0","","16","","2","","32",""
"2006-02-13","2006","02","13","†","-3.3","","-15.9","","-9.6","","27.6","","0.0","","","M","","M","0.0","","16","","22","","37",""
"2006-02-14","2006","02","14","†","-1.7","","-6.6","","-4.2","","22.2","","0.0","","0.0","","","M","2.0","","15","","22","","39",""
"2006-02-15","2006","02","15","†","4.7","","-5.2","","-0.3","","18.3","","0.0","","","M","","M","3.9","","18","","","","<31",""
"2006-02-16","2006","02","16","†","-0.7","","-9.5","","-5.1","","23.1","","0.0","","0.0","","","M","9.1","","17","","3","","32",""
"2006-02-17","2006","02","17","†","4.3","","-16.1","","-5.9","","23.9","","0.0","","","M","","M","15.3","","23","","24","","83",""
"2006-02-18","2006","02","18","†","-16.0","","-18.8","","-17.4","","35.4","","0.0","","","M","","M","0.0","","21","","26","","39",""
"2006-02-19","2006","02","19","†","-6.2","","-19.5","","-12.9","","30.9","","0.0","","","M","","M","0.0","","21","","25","","48",""
"2006-02-20","2006","02","20","†","-2.7","","-9.5","","-6.1","","24.1","","0.0","","","M","","M","0.0","","21","","24","","46",""
"2006-02-21","2006","02","21","†","-1.3","","-11.5","","-6.4","","24.4","","0.0","","","M","","M","0.0","","21","","","","<31",""
"2006-02-22","2006","02","22","†","-0.5","","-13.3","","-6.9","","24.9","","0.0","","","M","","M","0.0","","21","","","","<31",""
"2006-02-23","2006","02","23","†","1.1","","-5.0","","-2.0","","20.0","","0.0","","0.0","","","M","5.0","","24","","","","<31",""
"2006-02-24","2006","02","24","†","-2.0","","-19.9","","-11.0","","29.0","","0.0","","0.0","","","M","8.0","","34","","32","","43",""
"2006-02-25","2006","02","25","†","-10.0","","-22.4","","-16.2","","34.2","","0.0","","","M","","M","0.0","","30","","4","","32",""
"2006-02-26","2006","02","26","†","-9.4","","-20.4","","-14.9","","32.9","","0.0","","","M","","M","0.0","","28","","31","","41",""
"2006-02-27","2006","02","27","†","-9.6","","-20.9","","-15.3","","33.3","","0.0","","","M","","M","0.0","","26","","26","","44",""
"2006-02-28","2006","02","28","†","-9.7","","-14.9","","-12.3","","30.3","","0.0","","","M","","M","0.0","","26","","25","","48",""
"2006-03-01","2006","03","01","†","-6.5","","-19.8","","-13.2","","31.2","","0.0","","","M","","M","1.0","","26","","22","","44",""
