"Station Name","L'ASSOMPTION"
"Province","QUEBEC"
"Latitude","45.81"
"Longitude","-73.43"
"Elevation","21.00"
"Climate Identifier","7014160"
"WMO Identifier","71524"
"TC Identifier","WEW"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1973-01-01","1973","01","01","","2.8","","-3.3","","-0.3","","18.3","","0.0","","0.0","","0.0","T","0.0","T","36","","","","",""
"1973-01-02","1973","01","02","","-4.4","","-9.4","","-6.9","","24.9","","0.0","","0.0","","0.0","","0.0","","36","","","","",""
"1973-01-03","1973","01","03","","-5.0","","-18.3","","-11.7","","29.7","","0.0","","0.0","","2.8","","2.8","","36","","","","",""
"1973-01-04","1973","01","04","","2.8","","-15.6","","-6.4","","24.4","","0.0","","1.0","","3.8","","4.8","","36","","","","",""
"1973-01-05","1973","01","05","","0.6","","-6.1","","-2.8","","20.8","","0.0","","0.0","","0.0","","0.0","","38","","","","",""
"1973-01-06","1973","01","06","","-16.1","","-22.2","","-19.2","","37.2","","0.0","","0.0","","0.0","","0.0","","38","","","","",""
"1973-01-07","1973","01","07","","-17.2","","-26.1","","-21.7","","39.7","","0.0","","0.0","","0.0","","0.0","","38","","","","",""
"1973-01-08","1973","01","08","","-20.6","","-31.7","","-26.2","","44.2","","0.0","","0.0","","0.0","","0.0","","38","","","","",""
"1973-01-09","1973","01","09","","-13.9","","-30.6","","-22.3","","40.3","","0.0","","0.0","","0.8","","0.8","","38","","","","",""
"1973-01-10","1973","01","10","","-7.2","","-21.7","","-14.5","","32.5","","0.0","","0.0","","0.3","","0.3","","38","","","","",""
"1973-01-11","1973","01","11","","-6.1","","-14.4","","-10.3","","28.3","","0.0","","0.0","","0.0","T","0.0","T","38","","","","",""
"1973-01-12","1973","01","12","","-16.7","","-26.1","","-21.4","","39.4","","0.0","","0.0","","0.0","","0.0","","38","","","","",""
"1973-01-13","1973","01","13","","-12.2","","-30.0","","-21.1","","39.1","","0.0","","0.0","","0.0","T","0.0","T","38","","","","",""
"1973-01-14","1973","01","14","","-2.2","","-18.3","","-10.3","","28.3","","0.0","","0.0","","4.6","","4.6","","38","","","","",""
"1973-01-15","1973","01","15","","-0.6","","-3.3","","-2.0","","20.0","","0.0","","0.0","","0.0","T","0.0","T","43","","","","",""
"1973-01-16","1973","01","16","","2.2","","-12.2","","-5.0","","23.0","","0.0","","0.0","T","0.0","","0.0","T","43","","","","",""
"1973-01-17","1973","01","17","","3.3","","0.6","","2.0","","16.0","","0.0","","0.0","","0.0","","0.0","","38","","","","",""
"1973-01-18","1973","01","18","","0.0","","-7.2","","-3.6","","21.6","","0.0","","0.0","","0.0","","0.0","","38","","","","",""
"1973-01-19","1973","01","19","","7.2","","-6.1","","0.6","","17.4","","0.0","","10.7","","0.5","","11.2","","38","","","","",""
"1973-01-20","1973","01","20","","-2.2","","-6.1","","-4.2","","22.2","","0.0","","0.0","","0.0","","0.0","","38","","","","",""
"1973-01-21","1973","01","21","","-8.3","","-18.3","","-13.3","","31.3","","0.0","","0.0","","0.0","","0.0","","38","","","","",""
