"Station Name","L'ASSOMPTION"
"Province","QUEBEC"
"Latitude","45.81"
"Longitude","-73.43"
"Elevation","21.00"
"Climate Identifier","7014160"
"WMO Identifier","71524"
"TC Identifier","WEW"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1972-01-01","1972","01","01","","-8.3","","-31.1","","-19.7","","37.7","","0.0","","0.0","","0.0","T","0.0","T","23","","","","",""
"1972-01-02","1972","01","02","","-3.3","","-15.0","","-9.2","","27.2","","0.0","","0.0","","4.8","","4.8","","23","","","","",""
"1972-01-03","1972","01","03","","0.0","","-5.6","","-2.8","","20.8","","0.0","","0.0","","0.5","","0.5","","23","","","","",""
"1972-01-04","1972","01","04","","-9.4","","-11.1","","-10.3","","28.3","","0.0","","0.0","","1.8","","1.8","","23","","","","",""
"1972-01-05","1972","01","05","","-12.2","","-21.1","","-16.7","","34.7","","0.0","","0.0","","0.0","","0.0","","23","","","","",""
"1972-01-06","1972","01","06","","-8.3","","-28.9","","-18.6","","36.6","","0.0","","0.0","","1.3","","1.3","","23","","","","",""
"1972-01-07","1972","01","07","","-4.4","","-17.8","","-11.1","","29.1","","0.0","","0.0","","1.8","","1.8","","25","","","","",""
"1972-01-08","1972","01","08","","-16.1","","-21.7","","-18.9","","36.9","","0.0","","0.0","","0.0","","0.0","","25","","","","",""
"1972-01-09","1972","01","09","","3.9","","-20.6","","-8.4","","26.4","","0.0","","2.3","","1.8","","4.1","","25","","","","",""
"1972-01-10","1972","01","10","","3.9","","0.0","","2.0","","16.0","","0.0","","0.0","","0.0","","0.0","","23","","","","",""
