"Station Name","L'ASSOMPTION"
"Province","QUEBEC"
"Latitude","45.81"
"Longitude","-73.43"
"Elevation","21.00"
"Climate Identifier","7014160"
"WMO Identifier","71524"
"TC Identifier","WEW"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2014-01-01","2014","01","01","†","-17.4","","-28.2","","-22.8","","40.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"2014-01-02","2014","01","02","†","-23.7","","-29.7","","-26.7","","44.7","","0.0","","","M","","M","0.0","","","","36","","35",""
"2014-01-03","2014","01","03","†","-19.8","","-26.1","","-23.0","","41.0","","0.0","","","M","","M","0.0","","","","36","","33",""
"2014-01-04","2014","01","04","†","-14.3","","-27.3","","-20.8","","38.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"2014-01-05","2014","01","05","†","-0.2","","-14.3","","-7.3","","25.3","","0.0","","","M","","M","12.8","","","","","","<31",""
"2014-01-06","2014","01","06","†","4.9","","-12.8","","-4.0","","22.0","","0.0","","","M","","M","22.2","","","","21","","67",""
"2014-01-07","2014","01","07","†","-12.2","","-17.9","","-15.1","","33.1","","0.0","","","M","","M","0.0","","","","23","","61",""
"2014-01-08","2014","01","08","†","-10.0","","-16.3","","-13.2","","31.2","","0.0","","","M","","M","","M","","","","","<31",""
"2014-01-09","2014","01","09","†","-8.2","","-20.1","","-14.2","","32.2","","0.0","","","M","","M","0.0","","","","23","","32",""
"2014-01-10","2014","01","10","†","-8.6","","-21.1","","-14.9","","32.9","","0.0","","","M","","M","0.0","","","","","","<31",""
