"Station Name","L'ASSOMPTION"
"Province","QUEBEC"
"Latitude","45.81"
"Longitude","-73.43"
"Elevation","21.00"
"Climate Identifier","7014160"
"WMO Identifier","71524"
"TC Identifier","WEW"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2005-01-01","2005","01","01","†","4.9","","-14.5","","-4.8","","22.8","","0.0","","","M","","M","0.0","","7","","29","","39",""
"2005-01-02","2005","01","02","†","-8.0","","-17.9","","-13.0","","31.0","","0.0","","0.0","","","M","9.0","","7","","","","<31",""
"2005-01-03","2005","01","03","†","1.9","","-8.0","","-3.1","","21.1","","0.0","","","M","","M","3.0","","9","","25","","35",""
"2005-01-04","2005","01","04","†","-3.6","","-8.9","","-6.3","","24.3","","0.0","","","M","","M","0.0","","8","","","","<31",""
"2005-01-05","2005","01","05","†","-6.0","","-16.3","","-11.2","","29.2","","0.0","","","M","","M","0.0","","8","","","","<31",""
"2005-01-06","2005","01","06","†","-9.5","","-17.4","","-13.5","","31.5","","0.0","","0.0","","","M","13.0","","8","","","","<31",""
"2005-01-07","2005","01","07","†","-5.2","","-9.6","","-7.4","","25.4","","0.0","","","M","","M","0.0","","16","","27","","37",""
"2005-01-08","2005","01","08","†","-2.6","","-13.0","","-7.8","","25.8","","0.0","","","M","","M","0.0","","16","","","","<31",""
"2005-01-09","2005","01","09","†","-7.1","","-15.6","","-11.4","","29.4","","0.0","","","M","","M","0.0","","16","","","","<31",""
"2005-01-10","2005","01","10","†","1.0","","-9.3","","-4.2","","22.2","","0.0","","","M","","M","4.0","","17","","29","","44",""
"2005-01-11","2005","01","11","†","-9.0","","-19.1","","-14.1","","32.1","","0.0","","","M","","M","0.0","","15","","","","<31",""
"2005-01-12","2005","01","12","†","-3.1","","-16.0","","-9.6","","27.6","","0.0","","0.0","","","M","2.0","","15","","3","","32",""
"2005-01-13","2005","01","13","†","8.6","","-3.4","","2.6","","15.4","","0.0","","","M","","M","7.9","","16","","17","","44",""
"2005-01-14","2005","01","14","†","8.1","","-11.5","","-1.7","","19.7","","0.0","","","M","","M","10.1","","7","","28","","44",""
"2005-01-15","2005","01","15","†","-6.4","","-14.7","","-10.6","","28.6","","0.0","","","M","","M","0.0","","6","","22","","37",""
"2005-01-16","2005","01","16","†","-8.3","","-14.4","","-11.4","","29.4","","0.0","","","M","","M","0.0","","6","","","","<31",""
"2005-01-17","2005","01","17","†","-13.2","","-20.5","","-16.9","","34.9","","0.0","","","M","","M","0.0","","6","","30","","39",""
"2005-01-18","2005","01","18","†","-19.8","","-24.3","","-22.1","","40.1","","0.0","","","M","","M","0.0","","6","","","","<31",""
"2005-01-19","2005","01","19","†","-14.1","","-23.0","","-18.6","","36.6","","0.0","","0.0","","","M","4.0","","6","","","","<31",""
"2005-01-20","2005","01","20","†","-14.1","","-23.9","","-19.0","","37.0","","0.0","","","M","","M","0.0","","9","","32","","32",""
"2005-01-21","2005","01","21","†","-21.6","","-29.0","","-25.3","","43.3","","0.0","","","M","","M","0.0","","9","","","","<31",""
"2005-01-22","2005","01","22","†","-17.6","","-30.5","","-24.1","","42.1","","0.0","","","M","","M","3.0","","9","","3","","41",""
"2005-01-23","2005","01","23","†","-14.2","","-24.0","","-19.1","","37.1","","0.0","","","M","","M","0.0","","8","","1","","41",""
"2005-01-24","2005","01","24","†","-8.9","","-24.1","","-16.5","","34.5","","0.0","","","M","","M","0.0","","7","","","","<31",""
"2005-01-25","2005","01","25","†","-10.2","","-17.6","","-13.9","","31.9","","0.0","","","M","","M","0.0","","7","","","","<31",""
"2005-01-26","2005","01","26","†","-13.7","","-21.6","","-17.7","","35.7","","0.0","","","M","","M","0.0","","8","","2","","32",""
"2005-01-27","2005","01","27","†","-16.0","","-26.4","","-21.2","","39.2","","0.0","","","M","","M","0.0","","8","","","","<31",""
"2005-01-28","2005","01","28","†","-12.4","","-28.1","","-20.3","","38.3","","0.0","","","M","","M","0.0","","8","","","","<31",""
"2005-01-29","2005","01","29","†","-5.2","","-15.7","","-10.5","","28.5","","0.0","","","M","","M","0.0","","8","","","","<31",""
"2005-01-30","2005","01","30","†","-1.6","","-14.1","","-7.9","","25.9","","0.0","","","M","","M","0.0","","8","","","","<31",""
"2005-01-31","2005","01","31","†","-6.6","","-19.9","","-13.3","","31.3","","0.0","","","M","","M","0.0","","8","","","","<31",""
