"","weekNum","SMFlag","SMRating","Low","Med","High","Region"
"1",1,1,0,0.19,0.72,0.09,"AB"
"2",2,1,0,0.18,0.81,0.01,"AB"
"3",3,1,0,0.43,0.57,0,"AB"
"4",4,1,0,0.39,0.61,0,"AB"
"5",5,1,0,0.46,0.54,0,"AB"
"6",6,1,0,0.02,0.97,0.01,"AB"
"7",7,1,0,0.01,0.72,0.27,"AB"
"8",8,1,0,0,0.86,0.14,"AB"
"9",9,1,0,0.04,0.81,0.15,"AB"
"10",10,1,0,0.04,0.87,0.09,"AB"
"11",11,1,0,0.01,0.85,0.14,"AB"
"12",12,1,0,0,0.81,0.19,"AB"
"13",13,1,0,0.126315789473684,0.831578947368421,0.0421052631578947,"AB"
"14",14,1,0,0.0315789473684211,0.894736842105263,0.0736842105263158,"AB"
"15",15,0,0,0,0,0,"AB"
"16",16,0,0,0,0,0,"AB"
"17",17,0,0,0,0,0,"AB"
"18",18,0,0,0,0,0,"AB"
"19",19,0,0,0,0,0,"AB"
"20",20,0,0,0,0,0,"AB"
"21",21,0,0,0,0,0,"AB"
"22",22,0,0,0,0,0,"AB"
"23",23,0,0,0,0,0,"AB"
"24",24,0,0,0,0,0,"AB"
"25",25,0,0,0,0,0,"AB"
"26",26,0,0,0,0,0,"AB"
