"","weekNum","snow","Low","Med","High","Region"
"1",1,0.0625641025641026,0,0,1,"BC"
"2",2,0.0221652421652422,0,0,1,"BC"
"3",3,0.0221652421652422,0,0,1,"BC"
"4",4,0.0198860398860399,0,0,1,"BC"
"5",5,0.0198860398860399,0,0,1,"BC"
"6",6,0.0198860398860399,0,0,1,"BC"
"7",7,0.0726115859449193,0,0,1,"BC"
"8",8,0.0222222222222222,0,0,1,"BC"
"9",9,0.0203228869895537,0,0,1,"BC"
"10",10,0.157264957264957,0,0,1,"BC"
"11",11,0.137340930674264,0,0,1,"BC"
"12",12,0.148300094966762,0,0,1,"BC"
"13",13,0.342716049382716,0,1,0,"BC"
"14",14,0.342716049382716,0,1,0,"BC"
"15",15,0.367996201329535,0,1,0,"BC"
"16",16,0.36653371320038,0,1,0,"BC"
"17",17,0.367996201329535,0,1,0,"BC"
"18",18,0.367996201329535,0,1,0,"BC"
"19",19,0.351889838556505,0,1,0,"BC"
"20",20,0.519791073124406,1,0,0,"BC"
"21",21,0.534491927825261,1,0,0,"BC"
"22",22,0.425982905982906,0,1,0,"BC"
"23",23,0.425982905982906,0,1,0,"BC"
"24",24,0.425982905982906,0,1,0,"BC"
"25",25,0.425982905982906,0,1,0,"BC"
"26",26,0.425982905982906,0,1,0,"BC"
