"","X.1","sciname","locname","howmany","obsdt","comname","db","query","species","genus","family","order","obsdt2","region","X","Y","week","weekNum"
"1",1737,"Actitis macularius","Spring Lake",1,"2017-08-17","Spotted Sandpiper","ncbi","Actitis macularius","Actitis macularia","Actitis","Scolopacidae","Charadriiformes",2017-08-17,"AB",4774906.38974578,2179865.93754734,4,2
"2",1759,"Actitis macularius","Greater St Albert area",2,"2017-08-11","Spotted Sandpiper","ncbi","Actitis macularius","Actitis macularia","Actitis","Scolopacidae","Charadriiformes",2017-08-11,"AB",4809156.34243748,2180908.48391457,5,1
"3",1765,"Actitis macularius","Agassiz--Tuyttens Rd. Wetlands",1,"2017-09-27 07:30","Spotted Sandpiper","ncbi","Actitis macularius","Actitis macularia","Actitis","Scolopacidae","Charadriiformes",2017-09-27,"BC",4101555.75529272,1956174.87191023,3,8
"4",1766,"Actitis macularius","Chilliwack - Hopedale Dyke",1,"2017-12-16 10:24","Spotted Sandpiper","ncbi","Actitis macularius","Actitis macularia","Actitis","Scolopacidae","Charadriiformes",2017-12-16,"BC",4079625.30824611,1952435.21500986,6,19
"5",1769,"Actitis macularius","North Vancouver--Maplewood Conservation Area",1,"2018-01-01 14:15","Spotted Sandpiper","ncbi","Actitis macularius","Actitis macularia","Actitis","Scolopacidae","Charadriiformes",2018-01-01,"BC",4027759.6370909,2005486.20321487,1,22
"6",1774,"Actitis macularius","Hemingway Rd and 206 st stormwater pond CA-AB-Edmonton-773 Hardy Pt NW 53.4897665x-113.6762023",4,"2017-08-20","Spotted Sandpiper","ncbi","Actitis macularius","Actitis macularia","Actitis","Scolopacidae","Charadriiformes",2017-08-20,"AB",4801852.69087346,2166622.14056316,0,3
"7",1805,"Actitis macularius","Edmonton--Strathcona Science PP",4,"2017-08-27","Spotted Sandpiper","ncbi","Actitis macularius","Actitis macularia","Actitis","Scolopacidae","Charadriiformes",2017-08-27,"AB",4823274.09322774,2167543.28267453,0,4
"8",1806,"Actitis macularius","CA-AB-Pembina River Provincial Park - 53.6001x-114.9959 - Sep 25, 2016, 9:46 AM",1,"2017-08-12","Spotted Sandpiper","ncbi","Actitis macularius","Actitis macularia","Actitis","Scolopacidae","Charadriiformes",2017-08-12,"AB",4725198.78550266,2207771.19477827,6,1
"9",1807,"Actitis macularius","Edmonton--William Hawrelak Park",1,"2017-09-01","Spotted Sandpiper","ncbi","Actitis macularius","Actitis macularia","Actitis","Scolopacidae","Charadriiformes",2017-09-01,"AB",4810883.43313614,2167937.84162364,5,4
"10",1829,"Actitis macularius","Sherwood Park--Heritage Wetlands Park",1,"2017-08-12","Spotted Sandpiper","ncbi","Actitis macularius","Actitis macularia","Actitis","Scolopacidae","Charadriiformes",2017-08-12,"AB",4829215.189829,2161734.57221178,6,1
"11",1833,"Actitis macularius","Sherwood Park--Heritage Wetlands Park",1,"2017-08-11","Spotted Sandpiper","ncbi","Actitis macularius","Actitis macularia","Actitis","Scolopacidae","Charadriiformes",2017-08-11,"AB",4829215.189829,2161734.57221178,5,1
"12",1858,"Actitis macularius","Hemingway Rd and 206 st stormwater pond CA-AB-Edmonton-773 Hardy Pt NW 53.4897665x-113.6762023",1,"2017-08-31","Spotted Sandpiper","ncbi","Actitis macularius","Actitis macularia","Actitis","Scolopacidae","Charadriiformes",2017-08-31,"AB",4801852.69087346,2166622.14056316,4,4
"13",1865,"Actitis macularius","Stearman Beach",1,"2018-01-06 11:46","Spotted Sandpiper","ncbi","Actitis macularius","Actitis macularia","Actitis","Scolopacidae","Charadriiformes",2018-01-06,"BC",4013984.20074253,2017088.248918,6,22
"14",1889,"Actitis macularius","Cooking Lake",3,"2017-08-09","Spotted Sandpiper","ncbi","Actitis macularius","Actitis macularia","Actitis","Scolopacidae","Charadriiformes",2017-08-09,"AB",4837650.63291609,2145286.9641471,3,1
"15",1895,"Actitis macularius","Greater Vancouver A, Greater Vancouver CA-BC (49.2490,-123.2479)",1,"2017-12-23 12:39","Spotted Sandpiper","ncbi","Actitis macularius","Actitis macularia","Actitis","Scolopacidae","Charadriiformes",2017-12-23,"BC",4008913.23645622,2008407.66672697,6,20
"16",1903,"Actitis macularius","CA-Alberta-Wimborne - 51.903x-113.737 - 17 Jul 2016 14:22",2,"2017-08-18","Spotted Sandpiper","ncbi","Actitis macularius","Actitis macularia","Actitis","Scolopacidae","Charadriiformes",2017-08-18,"AB",4739346.46378125,2003860.55618598,5,2
"17",1913,"Actitis macularius","Edmonton--Jackie Parker Recreation Area",1,"2017-08-26","Spotted Sandpiper","ncbi","Actitis macularius","Actitis macularia","Actitis","Scolopacidae","Charadriiformes",2017-08-26,"AB",4817219.40748458,2160542.90229571,6,3
"18",1914,"Actitis macularius","yard",1,"2017-10-29 10:00","Spotted Sandpiper","ncbi","Actitis macularius","Actitis macularia","Actitis","Scolopacidae","Charadriiformes",2017-10-29,"BC",4036202.66716551,1999561.44223149,0,13
"19",1923,"Actitis macularius","Ellis Bird Farm",2,"2017-08-10","Spotted Sandpiper","ncbi","Actitis macularius","Actitis macularia","Actitis","Scolopacidae","Charadriiformes",2017-08-10,"AB",4765403.54340959,2051504.66183058,4,1
