"","weekNum","region","Number","Sightings"
"1",1,"AB",9996,237
"3",2,"AB",7213,210
"5",3,"AB",7593,262
"7",4,"AB",9298,323
"9",5,"AB",16141,329
"11",6,"AB",4356,268
"13",7,"AB",15245,275
"15",8,"AB",9906,391
"17",9,"AB",6701,328
"19",10,"AB",9435,320
"21",11,"AB",10481,428
"23",12,"AB",12111,316
"25",13,"AB",6315,188
"27",14,"AB",33,6
"29",15,"AB",2144,7
"31",16,"AB",83,4
"33",17,"AB",75,4
"35",18,"AB",3772,17
"37",19,"AB",3027,6
"39",20,"AB",83,6
"41",21,"AB",9,4
"43",22,"AB",330,19
"45",23,"AB",5933,41
"47",24,"AB",723,18
"49",25,"AB",3798,37
"51",26,"AB",15,3
