"","weekNum","region","Number","Sightings"
"2",1,"BC",0,0
"4",2,"BC",0,0
"6",3,"BC",0,0
"8",4,"BC",0,0
"10",5,"BC",0,0
"12",6,"BC",6723,96
"14",7,"BC",24,11
"16",8,"BC",10444,75
"18",9,"BC",0,0
"20",10,"BC",0,0
"22",11,"BC",0,0
"24",12,"BC",3479,140
"26",13,"BC",23880,154
"28",14,"BC",8591,127
"30",15,"BC",3208,132
"32",16,"BC",6919,98
"34",17,"BC",15645,114
"36",18,"BC",9902,114
"38",19,"BC",10252,105
"40",20,"BC",6858,89
"42",21,"BC",8258,107
"44",22,"BC",15943,112
"46",23,"BC",17158,103
"48",24,"BC",2545,117
"50",25,"BC",2176,108
"52",26,"BC",7705,138
