"","weekNum","region","Number","Sightings"
"1",1,"AB",NA,237
"2",1,"BC",0,0
"3",2,"AB",NA,210
"4",2,"BC",0,0
"5",3,"AB",NA,262
"6",3,"BC",0,0
"7",4,"AB",NA,323
"8",4,"BC",0,0
"9",5,"AB",NA,329
"10",5,"BC",0,0
"11",6,"AB",NA,268
"12",6,"BC",NA,96
"13",7,"AB",NA,275
"14",7,"BC",24,11
"15",8,"AB",NA,391
"16",8,"BC",NA,75
"17",9,"AB",NA,328
"18",9,"BC",0,0
"19",10,"AB",NA,320
"20",10,"BC",0,0
"21",11,"AB",NA,428
"22",11,"BC",0,0
"23",12,"AB",12111,316
"24",12,"BC",NA,140
"25",13,"AB",NA,188
"26",13,"BC",NA,154
"27",14,"AB",33,6
"28",14,"BC",NA,127
"29",15,"AB",2144,7
"30",15,"BC",3208,132
"31",16,"AB",83,4
"32",16,"BC",6919,98
"33",17,"AB",75,4
"34",17,"BC",15645,114
"35",18,"AB",3772,17
"36",18,"BC",NA,114
"37",19,"AB",3027,6
"38",19,"BC",NA,105
"39",20,"AB",83,6
"40",20,"BC",6858,89
"41",21,"AB",9,4
"42",21,"BC",NA,107
"43",22,"AB",330,19
"44",22,"BC",NA,112
"45",23,"AB",NA,41
"46",23,"BC",NA,103
"47",24,"AB",723,18
"48",24,"BC",NA,117
"49",25,"AB",NA,37
"50",25,"BC",NA,108
"51",26,"AB",15,3
"52",26,"BC",NA,138
