"FID_","FID_triang","SP_ID","x","length","Y","N","JT"
,1491,"1492",1492,323.215683,1,0,"BB"
,1491,"1492",1492,665.593914,1,1,"BW"
,1491,"1492",1492,409.291237,1,1,"BW"
,1510,"1511",1511,397.532447,0,1,"WW"
,1510,"1511",1511,295.455086,0,1,"WW"
,1510,"1511",1511,545.057096,0,1,"WW"
,1514,"1515",1515,289.332308,0,1,"WW"
,1514,"1515",1515,149.111567,0,1,"WW"
,1512,"1513",1513,118.685453,0,1,"WW"
,1507,"1508",1508,607.319275,0,1,"WW"
,1507,"1508",1508,886.564368,1,1,"BW"
,1519,"1520",1520,168.768159,0,1,"WW"
,1519,"1520",1520,87.943360,0,1,"WW"
,1525,"1526",1526,73.996705,0,1,"WW"
,1508,"1509",1509,743.549776,0,1,"WW"
,1508,"1509",1509,1306.801500,1,1,"BW"
,1526,"1527",1527,860.373790,0,1,"WW"
,1526,"1527",1527,818.420870,0,1,"WW"
,1529,"1530",1530,117.582321,0,1,"WW"
,1530,"1531",1531,27.835398,0,1,"WW"
,1530,"1531",1531,120.127962,0,1,"WW"
,1509,"1510",1510,1410.689515,0,1,"WW"
,1492,"1493",1493,2275.434729,1,1,"BW"
,1492,"1493",1493,2477.945168,1,1,"BW"
,1534,"1535",1535,982.076066,0,1,"WW"
,1534,"1535",1535,1056.693894,0,1,"WW"
,1537,"1538",1538,508.001857,0,1,"WW"
,1535,"1536",1536,763.071140,0,1,"WW"
,1536,"1537",1537,299.302906,0,1,"WW"
,1554,"1555",1555,12.360322,0,1,"WW"
,1561,"1562",1562,306.000134,0,1,"WW"
,1531,"1532",1532,697.648634,1,1,"BW"
,1531,"1532",1532,693.160363,1,1,"BW"
,1535,"1536",1536,555.477348,1,1,"BW"
,1553,"1554",1554,547.169677,1,1,"BW"
,1557,"1558",1558,175.552192,0,1,"WW"
,1559,"1560",1560,418.505062,0,1,"WW"
,1549,"1550",1550,97.744969,1,1,"BW"
,1543,"1544",1544,102.791133,1,0,"BB"
,1549,"1550",1550,127.416190,1,1,"BW"
,1552,"1553",1553,226.184445,1,1,"BW"
,1553,"1554",1554,391.759680,0,1,"WW"
,1556,"1557",1557,263.642926,0,1,"WW"
,1544,"1545",1545,222.797644,1,1,"BW"
,1550,"1551",1551,98.113677,0,1,"WW"
,1551,"1552",1552,187.140924,1,1,"BW"
,1552,"1553",1553,48.796825,0,1,"WW"
,1538,"1539",1539,1453.445340,1,0,"BB"
,1532,"1533",1533,838.221612,1,1,"BW"
,1532,"1533",1533,277.627361,1,0,"BB"
,1543,"1544",1544,195.389839,1,0,"BB"
,1544,"1545",1545,416.090481,1,1,"BW"
,1415,"1416",1416,1950.091094,1,1,"BW"
,1545,"1546",1546,1614.871232,0,1,"WW"
,1555,"1556",1556,1583.249367,0,1,"WW"
,1556,"1557",1557,1441.910285,0,1,"WW"
,1558,"1559",1559,1406.068882,0,1,"WW"
,1558,"1559",1559,1435.509731,0,1,"WW"
,1415,"1416",1416,3010.705921,1,0,"BB"
,1414,"1415",1415,3237.041667,1,1,"BW"
,1405,"1406",1406,70.914537,1,0,"BB"
